half_life,r_residual,r_ratio,r_partial,n
5,0.45153358161501606,0.4294179323969438,0.4973038437219125,4870
6,0.4574438410067304,0.4345152415039463,0.5054898346492661,4870
7,0.4609036820837462,0.4372556500138983,0.5109635417283719,4870
8,0.4625369055086317,0.4382452730446818,0.5144301419904873,4870
9,0.4627816278515967,0.4379093182374689,0.5163816075068757,4870
10,0.46195775868261996,0.4365577782717363,0.5171743077615633,4870
11,0.46030447198948976,0.43442201057020285,0.5170724791207483,4870
12,0.4580034706822441,0.4316774716364884,0.5162752322925467,4870
13,0.45519451144942646,0.42845888342817046,0.5149345084460767,4870
14,0.4519862154167389,0.42487078115210136,0.5131675114345566,4870
15,0.4484637879200727,0.42099503156303586,0.5110655265779195,4870
16,0.44469462350182615,0.4168962802630973,0.508700277804843,4870
17,0.44073242873396434,0.4126259501356599,0.506128568673145,4870
18,0.4366202902634748,0.4082252112172948,0.5033957094453351,4870
19,0.4323929832047155,0.40372721184681987,0.5005380756673572,4870
20,0.4280787262912627,0.39915877333292693,0.4975850387887696,4870
21,0.42370052958164023,0.39454169055046584,0.4945604378415965,4870
22,0.4192772386972814,0.389893739673053,0.4914837119901089,4870
23,0.41482435052690336,0.38522946571166444,0.48837077970139303,4870
24,0.41035465501213203,0.38056080263660785,0.48523472655755323,4870
25,0.40587874328849816,0.3758975648807114,0.4820863470750247,4870
30,0.3836674788284298,0.3529012683010118,0.46642440384777384,4870
35,0.3621517195723193,0.3308045469802575,0.45131259299444865,4870
40,0.34161927630018135,0.3098441758654609,0.4370377708177895,4870
45,0.32217794933923477,0.29009065413515034,0.4237073146499035,4870
50,0.30384906875341805,0.27153777039382465,0.41134367304226716,4870
55,0.28660911367203074,0.25414149793522556,0.39992543082102433,4870
60,0.2704109918726004,0.23783931754344217,0.3894079962352732,4870
65,0.2551961343591666,0.22256091869852448,0.37973538052588324,4870
70,0.24090170980175993,0.20823443223834973,0.3708473322621227,4870
75,0.22746491109794592,0.1947900260122504,0.3626836705122539,4870
80,0.2148253849715618,0.18216184436840868,0.35518680197766006,4870
85,0.2029264773019893,0.17028890061864835,0.3483030454635973,4870
90,0.19171574100830832,0.15911532601412706,0.3419831895354645,4870
95,0.1811450043398903,0.14859024413890679,0.33618257736978846,4870
100,0.17117019396742447,0.13866744588756005,0.3308609178210335,4870
110,0.15285070750235116,0.12046469045184668,0.32151306631720056,4870
120,0.136474421051358,0.10421467773824364,0.3136908501278298,4870
130,0.12180297147089947,0.08967333044195147,0.30719131023957746,4870
140,0.10863332466021676,0.07663431437570993,0.30184659208432624,4870
150,0.09679060834463575,0.06492095918787615,0.29751555482838327,4870
160,0.08612270021013069,0.05438025199261483,0.2940775213535225,4870
170,0.0764961775783454,0.04487840489121801,0.29142773623475376,4870
180,0.0677932722713281,0.03629756948138774,0.28947410299583953,4870
190,0.05990955198018367,0.028533371600857716,0.2881348468766235,4870
200,0.052752122180619615,0.02149302758142821,0.28733683221973555,4870
210,0.04623820026514536,0.015093871520779028,0.28701433501001977,4870
220,0.040293956575208005,0.009262173454022598,0.2871081273855447,4870
230,0.03485354832284672,0.003932164688372211,0.2875647734192911,4870
240,0.029858294873393785,-0.0009547874924933253,0.2883360667019881,4870
250,0.02525595883669611,-0.005450895242120451,0.28937856276455887,4870
260,0.021000108641507427,-0.009602582399112112,0.2906531753047678,4870
270,0.01704954605325194,-0.013451051493610786,0.2921248162405669,4870
280,0.013367787409987812,-0.01703279748092997,0.29376206712966085,4870
290,0.009922590910791462,-0.020380076213615747,0.29553687447933824,4870
300,0.00668552462232676,-0.023521333094069133,0.2974242646757117,4870
310,0.003631571356224506,-0.026481595728908004,0.2994020762408357,4870
320,0.000738767488738652,-0.029282833418720983,0.30145070827979265,4870
330,-0.002012126658964208,-0.03194428574141054,0.30355288459358,4870
340,-0.004637926949958432,-0.03448276217077501,0.3056934332061917,4870
350,-0.007153297970323842,-0.03691291451007802,0.3078590811227891,4870
360,-0.009570999787109754,-0.039247483844125484,0.3100382640913988,4870
370,-0.011902110683784852,-0.041497523678709236,0.3122209510422724,4870
380,-0.014156227594807353,-0.043672600916215935,0.31439848276484506,4870
390,-0.016341645923981324,-0.045780976294521256,0.31656342427240214,4870
400,-0.018465520387553124,-0.04782976588597731,0.3187094302122518,4870
450,-0.028349095487062118,-0.05736573748273235,0.3289951526288582,4870
500,-0.037322063339967924,-0.06603302367268224,0.3382984381504887,4870
550,-0.045617207137943275,-0.0740583134502394,0.34649997624904433,4870
600,-0.053336595619915564,-0.08153813856298349,0.3536278950405396,4870
650,-0.06052790179687728,-0.08851546748747265,0.3597754595935352,4870
700,-0.0672196457446644,-0.09501494664457019,0.36505815164380384,4870
750,-0.07343600521078901,-0.10105760079767223,0.36959242612739557,4870
800,-0.07920203594736082,-0.10666591973895746,0.37348605276755864,4870
850,-0.08454473104424567,-0.1118647956471779,0.3768344717651217,4870
900,-0.08949250816297581,-0.11668091037364514,0.3797201512003042,4870
950,-0.09407428367100666,-0.12114173158356678,0.38221334502414195,4870
1000,-0.09831860182884845,-0.12527458234596653,0.38437341768923783,4870
