date,baseline_mean,n_readings
2023-12-02,98.07895778137087,12
2023-12-03,97.21312299632496,3
2023-12-07,97.66860622500103,10
2023-12-08,97.58542807220145,2
2023-12-09,97.5861576626315,19
2023-12-10,97.70562436198125,9
2023-12-11,97.52014759078065,8
2023-12-12,97.41218314387663,14
2023-12-13,97.6833336059627,13
2023-12-14,97.95067931371152,38
2023-12-15,97.85309100891685,24
2023-12-16,97.42891601881479,19
2023-12-17,97.48639543963492,29
2023-12-18,97.52394749769331,13
2023-12-19,97.59475945580276,9
2023-12-20,97.61348729553693,11
2023-12-21,97.65872242071009,6
2023-12-22,97.49615865819088,7
2023-12-23,97.62773291710167,10
2023-12-24,97.58406451627793,10
2023-12-25,97.65776066391626,10
2023-12-26,97.4800355203089,7
2023-12-27,97.29106648141129,3
2023-12-28,97.21099322133801,5
2023-12-29,97.83042911877394,2
2023-12-30,97.29818543018739,10
2023-12-31,97.49223882963042,7
2024-01-01,97.47461442512964,8
2024-01-02,97.59890483924289,7
2024-01-03,97.27148562882813,11
2024-01-04,97.64424043156455,7
2024-01-05,97.52095412022751,4
2024-01-06,97.60166471140766,5
2024-01-07,97.68753741184962,3
2024-01-08,97.1889165940316,8
2024-01-09,97.77524372352401,3
2024-01-10,97.27830410145832,7
2024-01-11,97.52061913868434,8
2024-01-12,97.58876735727101,8
2024-01-13,97.72720654363393,5
2024-01-14,97.5764671476275,6
2024-01-15,97.07410784578899,9
2024-01-16,97.42345822384785,5
2024-01-17,97.38344799591934,4
2024-01-18,97.45238715056941,8
2024-01-19,97.3791986364049,9
2024-01-20,97.73285372194854,2
2024-01-21,97.12579276222102,5
2024-01-22,96.94510833564141,4
2024-01-23,97.33510732791606,9
2024-01-24,97.46637417371899,4
2024-01-25,97.07589288688986,1
2024-01-26,97.54599375478516,2
2024-01-27,97.31790174357263,2
2024-01-29,97.92484280999612,4
2024-01-30,97.25350011804743,3
2024-01-31,97.52941803814919,4
2024-02-01,97.29378008879156,3
2024-02-02,97.60199901124706,2
2024-02-03,97.71498333564142,2
2024-02-04,97.51545549534247,3
2024-02-05,97.98061681507353,15
2024-02-07,97.63763701864862,3
2024-02-08,97.92439981474462,1
2024-02-10,97.5388708858422,1
2024-02-11,97.79127148746475,3
2024-02-12,97.21758769482568,2
2024-02-13,97.19109578544061,2
2024-02-14,97.43623674324822,3
2024-02-16,97.4675876948257,1
2024-02-17,97.5522907602047,4
2024-02-18,97.60778915073367,3
2024-02-20,97.26758769482569,1
2024-02-23,97.4910957854406,5
2024-02-24,97.71844793597825,3
2024-02-26,97.6609700855382,4
2024-02-27,97.71137505637047,5
2024-02-28,97.39092515051998,3
2024-02-29,98.38576614998638,9
2024-03-01,97.20932342771701,1
2024-03-02,97.21721282902503,9
2024-03-03,97.29827064477246,9
2024-03-04,97.90932342771701,1
2024-03-05,97.42741847614361,14
2024-03-06,97.45864187930026,7
2024-03-07,97.54810070299831,11
2024-03-08,97.91758769482568,2
2024-03-09,97.38026880012816,5
2024-03-10,97.10612973605788,6
2024-03-11,97.32589288688985,2
