date,fm,sp,surplus,pressure,required_control,control_stock,control_exerted,control_shortfall,surplus_30,required_30,stock_30,shortfall_30
2011-04-21,101.56,101.56,-1093.0,0.0,593.0,1500.0,593.0,0.0,,,,
2011-04-22,101.25,101.55291959021461,-588.0,16.660577461803783,104.66057746180377,1381.4,104.66057746180377,0.0,,,,
2011-04-23,101.08,101.54211809184605,-1037.0,25.416495051532806,562.4164950515328,1362.8398845076395,562.4164950515328,0.0,,,,
2011-04-24,100.79,101.52493969088711,418.0,40.42168299879066,0.0,1253.09978780718,0.0,0.0,,,,
2011-04-25,100.91,101.51089444893621,-1313.0,33.049194691491905,846.049194691492,1278.0377920510364,846.049194691492,0.0,,,,
2011-04-26,100.54,101.4887191890755,-857.0,52.17955539915195,409.1795553991519,1113.2671972717174,409.1795553991519,0.0,,,,
2011-04-27,100.29,101.46134040495853,-1196.0,64.42372227271903,760.423722272719,1039.1659422464527,760.423722272719,0.0,,,,
2011-04-28,99.95,101.42682134240268,-1069.0,81.225173832147,650.225173832147,896.2978789469798,650.225173832147,0.0,,,,
2011-04-29,99.65,101.38623868685549,-1223.0,95.49312777705175,818.4931277770518,778.3268866016108,778.3268866016108,40.16624117544097,,,,
2011-04-30,99.3,101.33858892939402,-620.0,112.12239111667131,232.12239111667134,637.0949715492565,232.12239111667134,0.0,,,,
2011-05-01,99.12,101.28791628821523,-447.0,119.23539585183732,66.23539585183732,607.9285938949371,66.23539585183732,0.0,,,,
2011-05-02,98.99,101.23543180765694,-1304.0,123.49874942113182,927.4987494211318,632.522942846671,632.522942846671,294.9758065744609,,,,
2011-05-03,98.62,101.17569526261198,-1355.0,140.56323944365872,995.5632394436587,523.3678954204033,523.3678954204033,472.1953440232554,,,,
2011-05-04,98.23,101.10841548983083,-1058.0,158.31285194069557,716.3128519406955,438.2269584279146,438.2269584279146,278.0858935127809,,,,
2011-05-05,97.93,101.03582037971401,-447.0,170.8201208842702,117.82012088427018,371.8170275737734,117.82012088427018,0.0,,,,
2011-05-06,97.8,100.96191414010023,-451.0,173.90527770551302,124.90527770551302,370.8166628454439,124.90527770551302,0.0,,,,
2011-05-07,97.67,100.8867267172286,-466.0,176.91996944757278,142.91996944757278,368.4192740474324,142.91996944757278,0.0,,,,
2011-05-08,97.54,100.81028737336514,-858.0,179.86580553508247,537.8658055350825,362.4668946769692,362.4668946769692,175.39891085811325,,,,
2011-05-09,97.29,100.72988389863696,928.0,189.19361442503225,0.0,312.724177848036,0.0,0.0,,,,
2011-05-10,97.56,100.65748365033231,-200.0,170.3616007682769,0.0,356.46969429107526,0.0,0.0,,,,
2011-05-11,97.5,100.58536662409037,-778.0,169.6951643249703,447.6951643249703,399.34030040525374,399.34030040525374,48.354863919716536,,,,
2011-05-12,97.28,100.50987194605976,438.0,177.6429570332868,0.0,341.4854343160979,0.0,0.0,,,,
2011-05-13,97.4,100.4388423726463,373.0,167.13633049554653,0.0,384.65572562977593,0.0,0.0,,,,
2011-05-14,97.51,100.37194752040395,760.0,157.40711362221697,0.0,426.9626111171804,0.0,0.0,,,,
2011-05-15,97.73,100.31160535564285,-379.0,141.98829456035674,20.988294560356735,468.42335889483684,20.988294560356735,0.0,,,,
2011-05-16,97.62,100.25012900435742,391.0,144.6570952396578,0.0,504.8572328048688,0.0,0.0,,,,
2011-05-17,97.73,100.19256917834812,78.0,135.44130480914652,0.0,544.7600881487714,0.0,0.0,,,,
2011-05-18,97.75,100.13678082121311,-351.0,131.27294516672094,0.0,583.8648863857959,0.0,0.0,,,,
2011-05-19,97.65,100.07998266875948,-995.0,133.64904678177135,628.6490467817714,622.18758865808,622.18758865808,6.461458123691386,,,,
2011-05-20,97.37,100.01808657906237,-855.0,145.6447618484301,500.6447618484301,515.3063191533024,500.6447618484301,0.0,-518.4666666666667,340.122297178262,679.2044669456164,43.85461727291531
2011-05-21,97.13,99.95212259043196,-853.0,155.2167424737578,508.2167424737578,434.87124040055033,434.87124040055033,73.34550207320746,-510.46666666666664,337.29618859405394,643.7001749589682,46.299467342022226
2011-05-22,96.89,99.88218361380828,-678.0,164.5700987594554,342.5700987594554,369.1995675124292,342.5700987594554,0.0,-513.4666666666667,345.22650597064234,609.9601605427157,46.299467342022226
2011-05-23,96.7,99.80950243962087,-1085.0,171.02263417914776,756.0226341791478,323.30155641028955,323.30155641028955,432.7210777688582,-515.0666666666667,351.6800439415628,575.3088829394708,60.723503267650834
2011-05-24,96.4,99.73162929627641,-982.0,183.23961129520222,665.2396112952022,282.17521400002585,282.17521400002585,383.0643972951763,-561.7333333333333,373.85469765140283,542.9447304792322,73.49231651082339
2011-05-25,96.12,99.64913956914566,-946.0,194.10267630301107,640.1026763030111,250.09666692002017,250.09666692002017,390.0060093829909,-549.5,366.9898137051202,508.6800263081984,86.49251682358974
2011-05-26,95.86,99.56259550177933,-1202.0,203.64275259786302,905.642752597863,225.07540019761575,225.07540019761575,680.5673524002473,-561.0,383.5385869450772,479.07363307239495,109.17809523693131
2011-05-27,95.52,99.47026249291112,-957.0,217.26443711011171,674.2644371101117,205.55881215414027,205.55881215414027,468.7056249559714,-553.0333333333333,380.66661077299034,451.2867287359846,124.80161606879703
2011-05-28,95.25,99.37387156435726,-1431.0,226.81293603964923,1157.8129360396492,190.3358734802294,190.3358734802294,967.4770625594199,-565.1,397.5862028465737,427.75466188709294,157.05085148744436
2011-05-29,94.85,99.27054619502792,-1516.0,243.13004072653584,1259.1300407265358,178.4619813145789,178.4619813145789,1080.6680594119568,-574.8666666666667,412.2740999448898,407.75916504419183,191.73424542866152
2011-05-30,94.42,99.15975956682233,-1341.0,260.6867761752281,1101.686776175228,169.20034542537155,169.20034542537155,932.4864307498565,-598.9,441.25957944684177,392.162677506729,222.81712645365675
2011-05-31,94.04,99.04282409670704,-1050.0,275.15532531888664,825.1553253188866,161.9762694317898,161.9762694317898,663.1790558870969,-619.0,466.55691042907677,377.29760002462416,244.9230949832267
2011-06-01,93.74,98.9217074269506,-1086.0,284.99390848228353,870.9939084822836,156.34149015679606,156.34149015679606,714.6524183254876,-611.7333333333333,464.67341573111514,361.4248849349616,258.9123153749276
