residence_days,tol,move_window,move_thresh,move_scale,base_rate,down_factor,subject_r90,subject_r180,score,trial_mean_abs_err,trial_worst_abs_err,SURMOUNT-4_mid,STEP-1 extension_mid,STEP-4_mid
14,4.0,21,0.1,0.02,0.01,0.5,-0.6786961604131306,-0.7924914062510678,0.24667726029413978,13.323263702908367,16.55536260608235,11.23156746669569,3.988532403784295,4.21044961482534
21,4.0,21,0.1,0.02,0.01,0.5,-0.6479288154610064,-0.7666134425971046,0.23134393774979517,12.878730885920364,15.9010259992804,11.758874881643292,4.09317198509421,4.305543292792211
14,4.0,14,0.1,0.02,0.01,0.5,-0.6575412412503407,-0.7745397960749133,0.2281174600494281,13.255671696948717,16.43103472619383,11.358004209007603,3.9931789658629127,4.217508399199834
14,3.0,21,0.1,0.02,0.01,0.5,-0.6496846216967082,-0.7672110612356133,0.2260465446806981,13.08361071367554,16.196586274249928,11.527050212644836,4.0413622362510315,4.26077740511215
14,3.0,14,0.1,0.02,0.01,0.5,-0.6304376280908948,-0.7501531998244925,0.20916384466031376,13.021708958118372,16.083960426821356,11.640541614256964,4.046019282206583,4.26776878802066
28,4.0,21,0.1,0.02,0.01,0.5,-0.6080656539394579,-0.7318999803741791,0.20735923529186315,12.42207646369148,15.22648893737651,12.304952931197741,4.201363332076391,4.400759520593237
14,2.5,21,0.1,0.02,0.01,0.5,-0.6239523074832822,-0.7438000562314602,0.20719708784945912,12.886929737944861,15.90166248749259,11.770443093940484,4.084587160030528,4.301852696434043
21,4.0,14,0.1,0.02,0.01,0.5,-0.6197170520477445,-0.741794730050033,0.20585139254887602,12.807591846829592,15.771382256227666,11.88969563235495,4.098418349806468,4.313524780760222
14,4.0,21,0.08,0.02,0.01,0.5,-0.6028809029170924,-0.7256672522602734,0.2032849921374579,12.493153862924146,14.97328335211516,12.68055527510544,4.131767989031123,4.376092058910081
21,3.0,21,0.1,0.02,0.01,0.5,-0.6030847207418385,-0.7255273285149888,0.1997632364352638,12.499147806352788,15.33385281795189,12.224859890376932,4.178070712982339,4.384851979868788
14,2.5,14,0.1,0.02,0.01,0.5,-0.6068341222663354,-0.7281540683030158,0.19223289033365265,12.830217101830627,15.799688989607018,11.872164814225574,4.089246160259942,4.308775862459067
21,4.0,21,0.08,0.02,0.01,0.5,-0.5735002616824854,-0.6976102300812302,0.18306002804165203,12.3360071640032,14.372009036076928,13.147497025678142,4.240513776778527,4.4684870939657895
14,4.0,14,0.08,0.02,0.01,0.5,-0.5776250163011044,-0.7011007190167919,0.17977445287564645,12.479306536927597,14.8264432686906,12.814940358306199,4.1435794574246145,4.3930511555653435
14,3.0,21,0.08,0.02,0.01,0.5,-0.5722683047382942,-0.695892513428745,0.17757099647774788,12.415033209729053,14.63966440659652,12.94716634409338,4.186119250967462,4.425817445228737
28,4.0,14,0.1,0.02,0.01,0.5,-0.5746455106015678,-0.7008127954326173,0.17688552299840643,12.346066238872655,15.083866282570822,12.448672211645452,4.2072254859465374,4.409647702726144
21,3.0,14,0.1,0.02,0.01,0.5,-0.5745457339626504,-0.6991047247829488,0.1736524111403488,12.435119863271176,15.219092555687808,12.339019566189402,4.183412305888329,4.392862113665974
14,4.0,7,0.1,0.02,0.01,0.5,-0.5994229772271734,-0.7199593644234756,0.17320067187942326,13.171822017062782,16.278586500649453,11.511529719666616,3.9992397421405443,4.2273090295347195
21,2.5,21,0.1,0.02,0.01,0.5,-0.5628508396910775,-0.6867993479439484,0.16864812944628063,12.2787898659933,14.86269129249309,12.6125764331775,4.248428596259214,4.450290359856682
14,4.0,21,0.1,0.02,0.0075,0.5,-0.5124866088394476,-0.630991632991671,0.1590128241973623,11.03064126137962,13.286095941449293,13.143289844913522,5.145924177420403,4.773853979230352
14,3.0,14,0.08,0.02,0.01,0.5,-0.5502684970135865,-0.6738497019431466,0.15718736944998546,12.399203298232367,14.50970615989537,13.063135935023116,4.197896355821943,4.442468801334689
14,2.5,21,0.08,0.02,0.01,0.5,-0.5461430331756987,-0.6698230976879199,0.1554425257390534,12.351237223869463,14.367576295925602,13.164535887989127,4.23055598959683,4.466331285671312
28,3.0,21,0.1,0.02,0.01,0.5,-0.5423575760418783,-0.6684610993524879,0.1544151700185835,12.17941701857385,14.435406565181777,12.954605104507497,4.3211092251200105,4.510341867789565
28,4.0,21,0.08,0.02,0.01,0.5,-0.5338629577807378,-0.6594668860711067,0.1527646837607804,12.175143801712782,13.759539798570174,13.622476532247617,4.353176660897237,4.561366078285111
14,3.0,7,0.1,0.02,0.01,0.5,-0.5707365975446516,-0.6926598354686063,0.15251394559032322,12.941492359857909,15.939280475717016,11.785248975269917,4.052179817592507,4.277656392848828
21,4.0,14,0.08,0.02,0.01,0.5,-0.5388381386853053,-0.6637179562158136,0.15023776596519722,12.318751380223908,14.22253451156299,13.281671446286206,4.253670663636184,4.487238591515556
21,3.0,21,0.08,0.02,0.01,0.5,-0.529827030593799,-0.6539288774557326,0.14704623983914275,12.210244554734349,13.85758996599692,13.554192587360092,4.3275952386464995,4.546286814949211
21,4.0,7,0.1,0.02,0.01,0.5,-0.5553595626858425,-0.6795294617345923,0.14500540293931682,12.715553530299024,15.604308914054522,12.0577248004725,4.105217138426711,4.32433387088148
14,4.0,21,0.05,0.02,0.01,1.0,-0.6259617636743184,-0.7726691866590689,0.14238803464241706,15.3586412166499,17.640090469890335,12.37723722323154,2.2771013318041575,3.5709577482607573
21,2.5,14,0.1,0.02,0.01,0.5,-0.5348123151138423,-0.659866005102887,0.14165466369622848,12.276911807915493,14.7619415259304,12.711104734164113,4.253836844420332,4.458297995778604
14,4.0,14,0.05,0.02,0.01,1.0,-0.6181258580736475,-0.7652760940510315,0.1385222774471838,15.282327158273521,17.39570374609933,12.588065782243941,2.2914785023561355,3.6172928229086043
14,2.5,14,0.08,0.02,0.01,0.5,-0.5271647637648248,-0.6503100913931397,0.1379705510678911,12.333782212955892,14.251856843781589,13.265012207114186,4.24228697048735,4.482701154704636
