half_life_days,surplus_window_days,r,abs_r,n
15,30,-0.9497911261788577,0.9497911261788577,3623
15,35,-0.9463895348971219,0.9463895348971219,3618
20,40,-0.9435040846142669,0.9435040846142669,3613
20,35,-0.9417665001097365,0.9417665001097365,3618
20,45,-0.9394254161259507,0.9394254161259507,3608
25,45,-0.9379542959312537,0.9379542959312537,3608
25,50,-0.9376482305116127,0.9376482305116127,3603
15,40,-0.9338224131555157,0.9338224131555157,3613
30,55,-0.9333570492425886,0.9333570492425886,3598
25,55,-0.9330826249602345,0.9330826249602345,3598
25,40,-0.932636692763974,0.932636692763974,3613
30,60,-0.9320585134770691,0.9320585134770691,3593
30,50,-0.9314732197170973,0.9314732197170973,3603
20,50,-0.9301015780238543,0.9301015780238543,3603
20,30,-0.930070786444214,0.930070786444214,3623
35,65,-0.9297037184042714,0.9297037184042714,3588
35,70,-0.9293024563382265,0.9293024563382265,3583
30,65,-0.9287363982740341,0.9287363982740341,3588
40,75,-0.928662924574917,0.928662924574917,3578
35,60,-0.928572529357045,0.928572529357045,3593
40,80,-0.9283161903260381,0.9283161903260381,3573
35,75,-0.9276011097597292,0.9276011097597292,3578
45,85,-0.9272471649414225,0.9272471649414225,3568
40,70,-0.9271445263582863,0.9271445263582863,3583
45,80,-0.9269972403030671,0.9269972403030671,3573
45,90,-0.9260463018753391,0.9260463018753391,3563
40,85,-0.9259473972713123,0.9259473972713123,3568
25,60,-0.9257429159114609,0.9257429159114609,3593
50,90,-0.925513017840622,0.925513017840622,3563
35,55,-0.9250877213645461,0.9250877213645461,3598
30,45,-0.925040406967091,0.925040406967091,3608
45,75,-0.9246847941055287,0.9246847941055287,3578
50,85,-0.9245040584323588,0.9245040584323588,3568
50,95,-0.9244848752212524,0.9244848752212524,3558
30,70,-0.9242389413096654,0.9242389413096654,3583
40,65,-0.9241566517488689,0.9241566517488689,3588
35,80,-0.9241102911457573,0.9241102911457573,3573
55,95,-0.922833484790443,0.922833484790443,3558
45,95,-0.9227827199105327,0.9227827199105327,3558
40,90,-0.9221757387040681,0.9221757387040681,3563
50,80,-0.9220251516301173,0.9220251516301173,3573
55,100,-0.9219984263541208,0.9219984263541208,3553
55,90,-0.9219337524465984,0.9219337524465984,3563
50,100,-0.9217271682744327,0.9217271682744327,3553
25,35,-0.921077873607786,0.921077873607786,3618
45,70,-0.9204770567724396,0.9204770567724396,3583
55,105,-0.9199396368918252,0.9199396368918252,3548
60,100,-0.9196554631615053,0.9196554631615053,3553
40,60,-0.9194274958033585,0.9194274958033585,3593
60,105,-0.9192422177717824,0.9192422177717824,3548
55,85,-0.9190316059038056,0.9190316059038056,3568
60,95,-0.9188221611547189,0.9188221611547189,3558
30,75,-0.918724806049693,0.918724806049693,3578
35,85,-0.9186863570394068,0.9186863570394068,3568
35,50,-0.9182443407030478,0.9182443407030478,3603
60,110,-0.9179104740045324,0.9179104740045324,3543
45,100,-0.9178137926739514,0.9178137926739514,3553
50,105,-0.9177871965728779,0.9177871965728779,3548
50,75,-0.9174746456441314,0.9174746456441314,3578
20,55,-0.9172534793817445,0.9172534793817445,3598
55,110,-0.9170101340960339,0.9170101340960339,3543
25,65,-0.9169775770990172,0.9169775770990172,3588
15,45,-0.9168910976719784,0.9168910976719784,3608
65,110,-0.9165441810755207,0.9165441810755207,3543
65,105,-0.9164692302013037,0.9164692302013037,3548
40,95,-0.9163309827677253,0.9163309827677253,3558
60,90,-0.9162613683706176,0.9162613683706176,3563
65,115,-0.9158845570438314,0.9158845570438314,3538
60,115,-0.9158843061629675,0.9158843061629675,3538
65,100,-0.91544443828156,0.91544443828156,3553
45,65,-0.9147034169245847,0.9147034169245847,3588
55,80,-0.9146590135262953,0.9146590135262953,3573
65,120,-0.9143832850894846,0.9143832850894846,3533
70,115,-0.914056439373371,0.914056439373371,3538
70,120,-0.9137391374384318,0.9137391374384318,3533
70,110,-0.9135056036012273,0.9135056036012273,3543
55,115,-0.9134433542388044,0.9134433542388044,3538
70,125,-0.9131773270185894,0.9131773270185894,3528
65,95,-0.9131632831480896,0.9131632831480896,3558
60,120,-0.9130543781333623,0.9130543781333623,3533
50,110,-0.9130469784317152,0.9130469784317152,3543
30,40,-0.9129671606944461,0.9129671606944461,3613
65,125,-0.9126909833260133,0.9126909833260133,3528
70,105,-0.9121926501850802,0.9121926501850802,3548
40,55,-0.912172570334211,0.912172570334211,3598
75,125,-0.9120518504173469,0.9120518504173469,3528
35,90,-0.9119509177639756,0.9119509177639756,3563
70,130,-0.9118289435095439,0.9118289435095439,3523
60,85,-0.9117377347419608,0.9117377347419608,3568
45,105,-0.9117307829651725,0.9117307829651725,3548
75,130,-0.9117179638580271,0.9117179638580271,3523
75,120,-0.9116005672807714,0.9116005672807714,3533
30,80,-0.9115678896855738,0.9115678896855738,3573
50,70,-0.9110270711346475,0.9110270711346475,3583
75,115,-0.9108636400755756,0.9108636400755756,3538
80,130,-0.9102707235657511,0.9102707235657511,3523
65,130,-0.9102141953725992,0.9102141953725992,3523
75,135,-0.9101108662320172,0.9101108662320172,3518
60,125,-0.9101029083192973,0.9101029083192973,3528
70,100,-0.9099104709479557,0.9099104709479557,3553
80,125,-0.9096933101893352,0.9096933101893352,3528
80,135,-0.9095825838018063,0.9095825838018063,3518
75,110,-0.9092405994084471,0.9092405994084471,3543
70,135,-0.9092024060483568,0.9092024060483568,3518
65,90,-0.9091700354335731,0.9091700354335731,3563
55,120,-0.9091259882949924,0.9091259882949924,3533
40,100,-0.9088334535250209,0.9088334535250209,3553
80,120,-0.9083346264510921,0.9083346264510921,3533
55,75,-0.9082257152021517,0.9082257152021517,3578
