analysis,cutoff_hour,cutoff_hhmm,target,target_label,early_n,late_n,early_mean,late_mean,diff_early_minus_late,raw_r,raw_n,partial_r,partial_n
median_split,26.333333333333332,02:20,calories,Same-day calories,1054,979,2232.100569259962,2169.8784473953015,62.222121864660494,0.0635540809448715,2033,0.04569103312906724,2033
median_split,26.333333333333332,02:20,surplus,Same-day surplus,1054,979,5.475332068311196,-43.68539325842696,49.16072532673816,0.05068292934047205,2033,0.041239142029591606,2033
median_split,26.333333333333332,02:20,steps,Same-day steps,1063,994,3752.3904045155223,3645.4144869215293,106.97591759399302,0.016137441222524706,2057,0.05710482462061011,2033
median_split,26.333333333333332,02:20,tdee,Same-day TDEE,1054,979,2226.6252371916507,2213.563840653728,13.06139653792252,0.03933952283592129,2033,0.013160571890093974,2033
median_split,26.333333333333332,02:20,cal_next,Next-day calories,1054,978,2204.2865275142317,2200.497955010225,3.788572504006879,0.003870392586514374,2032,0.013307889344878645,2032
median_split,26.333333333333332,02:20,steps_next,Next-day steps,1063,993,3790.277516462841,3607.2910372608258,182.9864792020153,0.02760028274702397,2056,0.034689792657626894,2033
median_split,26.333333333333332,02:20,weight_change,Weight change,489,471,-0.0032719836400821947,-0.13842887473460677,0.13515689109452458,0.06295450936056664,960,0.062261013122152875,958
median_split,26.333333333333332,02:20,sleep_hours,Sleep duration,1063,994,8.33456255879586,7.2510764587525145,1.083486100043345,0.35426102678897664,2057,0.28179943353919484,2033
cutoff_sweep,25.0,01:00,calories,Same-day calories,446,1587,2251.542600896861,2188.2526780088215,63.289922888039655,0.053539884948897866,2033,0.014376778922370492,2033
cutoff_sweep,25.0,01:00,surplus,Same-day surplus,446,1587,19.105381165919283,-28.681789540012602,47.787170705931885,0.04080364738726932,2033,0.007522426249234424,2033
cutoff_sweep,25.0,01:00,steps,Same-day steps,447,1610,4146.586129753915,3576.9,569.6861297539149,0.07092366567730801,2057,0.08048612826231497,2033
cutoff_sweep,25.0,01:00,tdee,Same-day TDEE,446,1587,2232.4372197309417,2216.934467548834,15.502752182107542,0.038671633695036865,2033,0.022013167303819893,2033
