date,start_time,duration_min,distance_m,kph,hr_mean,hr_median,hr_max,hr_samples,hr_resid_all,hr_resid_2021p,datauuid
2016-04-18,2016-04-18 21:56:33.471000,37.05,2969.1,4.808,148.90,155.00,172,220,31.41,39.09,2a7688f5-1a58-d1a7-8afb-ef86bd5f1355
2016-04-22,2016-04-22 22:06:45.290000,47.47,3703.7,4.682,160.12,155.00,204,278,43.50,51.04,766dc81e-ef34-1cfd-a76c-811774f56f19
2016-05-13,2016-05-13 21:23:19.198000,62.23,4719.1,4.550,169.58,168.00,206,357,53.88,61.29,b1cc77df-acae-d282-ffec-8417ebbf13ad
2016-05-21,2016-05-21 19:03:58.201000,62.60,4787.9,4.589,166.12,161.00,197,349,50.14,57.60,d6f3691f-40a6-0e81-02d6-fa7915264b73
2016-06-06,2016-06-06 01:12:59.588000,54.67,4739.6,5.202,159.58,160.00,206,323,39.37,47.44,b6e7e6ce-fa18-b21c-b7bd-b09babaec601
2016-06-23,2016-06-23 22:18:21.439000,16.13,1043.2,3.880,165.26,184.00,198,96,54.18,60.92,7fa3c6d6-558b-cdec-da08-b25cce7d780f
2016-06-29,2016-06-29 00:42:09.550000,52.95,3768.9,4.271,137.85,148.00,194,319,24.07,31.20,f5c5c82e-636e-4a1f-55f0-c134df5a647e
2016-07-01,2016-07-01 01:21:59.848000,27.48,1899.2,4.146,141.93,148.00,173,165,29.01,36.02,62e25b92-c53d-11ca-029b-1418a6b3db82
2016-07-10,2016-07-10 00:01:19.371000,34.17,2161.3,3.796,143.70,155.00,165,205,33.20,39.85,03b13814-f944-bd5c-0d5a-c28d4421b171
2016-07-10,2016-07-10 19:41:12.283000,55.33,4043.5,4.385,159.07,157.00,202,327,44.50,51.75,0ddc8092-649d-f0a3-c4b3-a8302d731ef5
2016-07-17,2016-07-17 16:41:06.065000,56.53,3983.9,4.228,149.43,154.00,171,338,35.94,43.03,c50241c8-3674-524a-fc8b-10c66a5c6309
2016-07-17,2016-07-17 18:01:40.449000,52.62,3750.2,4.276,146.72,147.00,208,309,32.89,40.03,44506d9c-9fa3-1b43-fb7b-a55159eced7b
2016-08-05,2016-08-05 01:10:51.818000,55.43,3131.1,3.389,134.17,141.00,190,329,26.47,32.72,383eaa8f-d321-d7f2-979a-df87e796930e
2016-08-05,2016-08-05 22:28:31.988000,33.47,1711.4,3.068,148.92,153.00,201,198,43.44,49.36,b83e09eb-1652-3e45-358c-94d1d6b0b0f6
2016-08-06,2016-08-06 00:01:18.547000,26.10,1472.1,3.384,137.29,148.00,169,156,29.63,35.86,c9723219-db92-0b97-bdff-3364ae0b1b95
2016-08-11,2016-08-11 00:18:12.888000,49.98,3761.3,4.515,147.56,150.00,171,300,32.10,39.47,66907487-b8c6-c754-5e7a-fe2fbff7cef9
2016-08-11,2016-08-11 23:30:39.155000,64.27,4921.4,4.595,193.61,197.00,208,385,77.60,85.05,3f8ad436-df40-457b-4d38-1fdfb0f48c77
2016-08-21,2016-08-21 19:39:39.989000,36.67,2383.0,3.899,170.92,180.00,202,219,59.70,66.46,bf3ff17e-4345-0765-58cb-c7a6b2f10696
2016-08-31,2016-08-31 21:47:34.276000,50.58,2978.4,3.533,155.91,154.00,205,299,47.22,53.61,ff5c4baa-3150-886b-18e5-96143ca53280
2016-08-31,2016-08-31 23:36:02.583000,61.80,4196.4,4.074,167.11,159.00,203,369,54.68,61.61,30df65a3-be40-a5be-f1cc-c2a0818a2701
2016-09-02,2016-09-02 23:38:54.673000,31.28,2259.2,4.333,157.32,152.00,201,189,43.11,50.31,69b6c25c-0739-e7f7-aca1-6d0b5fc79d9a
2016-09-03,2016-09-03 00:32:51.745000,60.50,2896.3,2.872,140.02,140.00,220,350,35.89,41.62,fbdc4475-2ba0-3c1e-1900-1211b9a718ab
2016-09-03,2016-09-03 19:48:51.089000,45.18,3819.9,5.072,165.84,165.00,210,267,46.53,54.47,9a76140d-2a45-dd61-d2f3-f3fe62ca85a6
2016-09-04,2016-09-04 23:22:21.158000,67.83,4596.3,4.066,182.87,189.00,204,406,70.50,77.43,6c42af01-d3f4-8ee3-7e20-9c39e992569d
2016-09-07,2016-09-07 22:24:09.309000,69.52,4534.0,3.913,146.06,153.00,200,415,34.75,41.52,c9d00fa9-13c3-498b-88a3-689e592e7589
2016-09-09,2016-09-09 22:45:15.833000,55.12,4213.7,4.587,155.62,152.00,202,319,39.66,47.11,f6d552c4-89ea-69bd-a2ed-be83de8ed0c2
2016-09-11,2016-09-11 23:44:19.240000,34.23,2431.0,4.261,144.13,146.00,165,208,30.42,37.54,8d9edadf-e53e-3912-5ac5-320c7f961fdf
2016-09-12,2016-09-12 19:21:11.220000,28.42,2272.9,4.799,153.16,156.00,190,171,35.74,43.40,db352ac1-5c93-c1bc-f15b-93efcc917286
2016-09-13,2016-09-13 02:17:43.763000,53.10,3973.0,4.489,150.07,152.00,182,317,34.78,42.13,afc76ad0-1bd4-6950-ea25-6e7ede4981c7
2016-09-13,2016-09-13 23:44:50.896000,32.82,2425.5,4.435,147.99,151.00,168,197,33.08,40.38,bc65e55b-70bf-450f-f8a7-2155768b7796
2016-09-14,2016-09-14 23:40:41.672000,40.23,3028.2,4.516,145.81,147.00,162,241,30.34,37.71,2b1d5112-08b4-7753-c15e-0ba7f623fa28
2016-09-15,2016-09-15 23:29:09.028000,47.12,3381.1,4.306,176.92,189.50,205,284,62.90,70.06,12bc2e03-980f-f600-df47-deff104ab6c2
2016-09-30,2016-09-30 19:17:28.512000,19.43,1445.6,4.463,163.80,152.00,209,115,48.69,56.02,6a55ffb3-5c9e-19f2-d0c5-c1b099f1ee3e
2016-10-03,2016-10-03 00:35:47.344000,15.03,1102.8,4.401,159.45,155.00,196,91,44.77,52.03,bb8301e7-d64b-6296-a6dc-c337e41f67f2
2016-10-09,2016-10-09 23:36:27.127000,23.30,1733.3,4.463,141.92,151.00,168,140,26.81,34.14,5d113f28-cc22-6c39-9fee-9a13027098ea
2016-10-10,2016-10-10 00:19:19.276000,31.75,2202.4,4.162,157.87,152.00,203,189,44.84,51.86,8723423b-1f65-c902-44a9-aca04d1257c9
2016-10-13,2016-10-13 21:01:58.608000,33.77,2577.8,4.580,149.71,151.00,163,204,33.79,41.24,1c649f65-97df-aa4d-5e41-a99a1a0dbd28
2016-10-15,2016-10-15 21:36:26.834000,52.38,3313.3,3.795,130.13,132.00,164,313,19.63,26.28,5b2b018d-c297-a24e-a34e-f24f1c8bb67f
2016-10-16,2016-10-16 22:37:52.779000,40.63,3051.8,4.506,174.48,187.00,208,242,59.08,66.44,f8a15b1b-86f9-da5b-7b80-27ec8d92cd2e
2016-10-17,2016-10-17 00:35:46.910000,42.08,2913.0,4.153,154.08,145.50,197,252,41.11,48.12,dc9aad4b-1282-36ac-ca50-398b588c3c77
