date,start_time,year,exercise_id,exercise_type,exercise_type_code,duration_min,distance_km,latitude,longitude,temperature_c,humidity,humidity_valid,phrase,wind_speed,wind_direction,uv_index,provider
2015-12-04,2015-12-04 19:52:35.874000,2015,03293686-57bc-dad1-bb5f-82ac89acd01f,running,1002,59.23,5.012,35.961796,-83.92411,0.00,85.00,1,Sunny,7.0,NE,0.0,AccuWeather
2015-12-13,2015-12-13 17:47:10.545000,2015,8e3c9848-b2d9-1746-0739-1159077de066,walking,1001,48.60,3.420,35.945614,-83.950485,17.20,77.00,1,Clouds and sun,7.0,N,2.0,AccuWeather
2016-02-06,2016-02-06 19:18:02.224000,2016,f9e7bcc0-1eb7-ed04-2c1b-de0608d7fceb,walking,1001,29.00,2.335,35.960857,-83.88367,8.90,23.00,1,Partly sunny,7.0,N,2.0,AccuWeather
2016-02-27,2016-02-27 19:58:22.059000,2016,d7e05df8-6dfe-3270-0b6c-a742ad8e6037,running,1002,12.03,1.628,35.95721,-83.92038,10.00,40.00,1,Sunny,7.0,W,4.0,AccuWeather
2016-02-29,2016-02-29 20:27:01.274000,2016,d8b406cd-89c8-8470-87e3-84a4dec37702,running,1002,16.10,1.882,35.95657,-83.921165,17.80,29.00,1,Sunny,7.0,SSW,2.0,AccuWeather
2016-03-05,2016-03-05 22:48:19.167000,2016,7d33b8d5-c4c0-03cc-ea70-9ae8aaf2f67b,running,1002,20.15,2.588,35.96145,-83.925354,12.20,44.00,1,Cloudy,7.0,W,0.0,AccuWeather
2016-03-06,2016-03-06 20:27:40.506000,2016,08ca6724-f8e8-445b-0fd0-d4e27d2c07d9,walking,1001,40.70,2.064,35.94599,-83.95127,14.20,39.00,1,Cloudy,7.0,N,2.0,AccuWeather
2016-03-07,2016-03-07 19:39:49.335000,2016,0803868a-c3e9-1bf0-70c4-8905f90ebb2c,running,1002,24.12,2.919,35.9563,-83.92122,18.90,31.00,1,Clouds and sun,7.0,SW,3.0,AccuWeather
2016-03-10,2016-03-10 18:16:20.161000,2016,4c93df8a-826f-6e10-5f20-4a317c795d0f,walking,1001,43.12,3.391,35.923603,-83.9902,26.10,34.00,1,Mostly cloudy,7.0,S,4.0,AccuWeather
2016-03-11,2016-03-11 20:26:59.741000,2016,0956d53f-9569-69b8-1b95-64b591cefb08,running,1002,13.42,1.308,35.95605,-83.92153,23.30,61.00,1,Mostly cloudy,7.0,NNW,2.0,AccuWeather
2016-03-11,2016-03-11 20:42:10.212000,2016,cc115155-4da7-e65b-c361-c0b02e7ae7de,running,1002,12.53,1.662,35.964283,-83.90395,23.30,61.00,1,Mostly cloudy,7.0,NNW,2.0,AccuWeather
2016-03-12,2016-03-12 18:50:24.378000,2016,ac979788-2fa1-1eb5-e827-057754954f29,walking,1001,47.05,3.702,35.945698,-83.950615,25.00,53.00,1,Mostly cloudy,7.0,WSW,4.0,AccuWeather
2016-03-13,2016-03-13 20:23:02.668000,2016,a0de5b9f-b92c-d23e-a738-3099b1f5ebc4,walking,1001,37.07,3.024,35.94535,-83.949715,21.10,67.00,1,Cloudy,7.0,SW,1.0,AccuWeather
2016-03-16,2016-03-16 18:54:24.567000,2016,04ccc097-1d4a-5d0e-307c-9acee17469a8,running,1002,28.10,3.318,35.96057,-83.92414,23.30,20.00,1,Mostly sunny,7.0,WSW,4.0,AccuWeather
2016-03-18,2016-03-18 20:24:43.673000,2016,97eaa9b7-d62c-c8ef-a29b-3c2593294103,walking,1001,56.08,4.429,35.945457,-83.94987,20.60,20.00,1,Mostly sunny,7.0,N,1.0,AccuWeather
2016-03-19,2016-03-19 16:45:12.171000,2016,684ddc1e-72d9-9cd6-3488-113f40cc5b7a,walking,1001,40.82,3.406,35.92418,-83.99062,15.60,51.00,1,Cloudy,7.0,WNW,3.0,AccuWeather
2016-03-20,2016-03-20 17:43:00.134000,2016,b1f191c7-f59f-de32-60a3-28f35d12e629,walking,1001,29.25,2.456,35.94554,-83.95001,9.40,51.00,1,Cloudy,7.0,W,3.0,AccuWeather
2016-03-22,2016-03-22 00:36:22.237000,2016,f2c02095-7118-a782-7554-79c884ac2a55,walking,1001,30.23,2.734,35.964493,-83.925896,9.40,40.00,1,Clear,7.0,W,0.0,AccuWeather
2016-03-23,2016-03-23 18:46:49.835000,2016,7fa47fb5-2639-e56d-1c74-9a61094d609f,walking,1001,40.08,3.491,35.923817,-83.98976,18.70,46.00,1,Mostly sunny,7.0,SW,5.0,AccuWeather
2016-03-25,2016-03-25 23:47:26.194000,2016,e6edf423-63ba-3d1f-34e2-9307de3a24f1,running,1002,28.22,3.716,35.96013,-83.924225,15.00,55.00,1,Partly sunny,7.0,N,0.0,AccuWeather
2016-03-26,2016-03-26 20:29:06.469000,2016,31585f9b-0aa4-7078-c0df-77d6b65cb294,walking,1001,36.52,3.355,35.92374,-83.99004,20.00,52.00,1,Mostly cloudy,7.0,N,1.0,AccuWeather
2016-03-27,2016-03-27 22:00:40.792000,2016,3c455985-1674-5b0f-baf0-a274886814a3,walking,1001,60.08,4.571,35.94537,-83.9498,20.00,68.00,1,Cloudy,7.0,N,0.0,AccuWeather
2016-03-30,2016-03-30 23:48:58.118000,2016,3effda73-b20f-e76e-2bf1-4e1b67d3f020,walking,1001,40.35,3.184,35.94549,-83.94985,21.70,27.00,1,Cloudy,7.0,SSW,0.0,AccuWeather
2016-04-04,2016-04-04 21:53:25.659000,2016,96223d36-b772-13d3-ff08-e4d18bb90d7a,walking,1001,41.10,3.122,35.945297,-83.94978,23.30,29.00,1,Partly sunny,7.0,SW,1.0,AccuWeather
2016-04-06,2016-04-06 22:12:41.981000,2016,0ca84444-0ddf-c6d9-7959-28bc0661e02c,walking,1001,45.57,3.790,35.945526,-83.9501,18.90,31.00,1,Mostly cloudy,7.0,S,0.0,AccuWeather
2016-04-18,2016-04-18 21:56:33.471000,2016,2a7688f5-1a58-d1a7-8afb-ef86bd5f1355,walking,1001,37.05,3.019,35.94531,-83.949715,28.90,15.00,1,Mostly sunny,7.0,N,1.0,AccuWeather
2016-04-21,2016-04-21 17:24:09.640000,2016,4b012ae5-2be8-324c-6775-c05f931c39ae,bike,11007,74.37,10.516,36.33573,-82.26173,23.90,39.00,1,Clouds and sun,7.0,SSW,6.0,AccuWeather
2016-04-21,2016-04-21 19:44:47.036000,2016,4a7a07b4-81ac-204c-c86c-ee494d839e4d,bike,11007,47.37,10.219,36.314827,-82.35372,25.00,32.00,1,Clouds and sun,7.0,SSW,4.0,AccuWeather
2016-04-22,2016-04-22 22:06:45.290000,2016,766dc81e-ef34-1cfd-a76c-811774f56f19,walking,1001,47.47,3.706,35.944984,-83.95019,17.80,80.00,1,Light rain,7.0,N,0.0,AccuWeather
2016-05-13,2016-05-13 21:23:19.198000,2016,b1cc77df-acae-d282-ffec-8417ebbf13ad,walking,1001,62.23,4.721,35.944893,-83.95034,24.30,36.00,1,Partly sunny,7.0,N,1.0,AccuWeather
2016-05-16,2016-05-16 20:54:48.784000,2016,82bdd86d-01e1-ecf1-872d-91ac08fcdc82,running,1002,17.07,2.765,35.9561,-83.921295,20.60,38.00,1,Cloudy,7.0,N,2.0,AccuWeather
2016-05-18,2016-05-18 21:37:29.520000,2016,91baac57-469f-f812-c4bb-43fae0c0bcb7,running,1002,21.13,3.150,35.958908,-83.92321,22.80,64.00,1,Cloudy,7.0,N,1.0,AccuWeather
2016-05-21,2016-05-21 19:03:58.201000,2016,d6f3691f-40a6-0e81-02d6-fa7915264b73,walking,1001,62.60,4.788,35.945435,-83.94985,22.80,57.00,1,Mostly cloudy,7.0,W,5.0,AccuWeather
2016-05-23,2016-05-23 20:31:35.789000,2016,fa37c4ec-890c-548f-e86a-214448b1231a,running,1002,24.22,3.695,35.95704,-83.9205,24.40,31.00,1,Partly sunny,7.0,N,3.0,AccuWeather
2016-05-25,2016-05-25 21:40:23.666000,2016,3acd6efd-3dac-ff1d-14aa-d93c7da023f3,running,1002,26.55,4.030,35.95529,-83.92218,28.90,39.00,1,Clouds and sun,7.0,W,1.0,AccuWeather
2016-06-03,2016-06-03 20:56:48.208000,2016,c4073381-71cd-4a7f-a15a-aa979caff6e7,walking,1001,59.32,4.735,35.945007,-83.95027,86.00,49.00,1,Clouds and sun,0.0,N. 0.0,0.0,AccuWeather
2016-06-06,2016-06-06 01:12:59.588000,2016,b6e7e6ce-fa18-b21c-b7bd-b09babaec601,walking,1001,54.67,4.744,35.958008,-83.933784,20.60,89.00,1,Cloudy,7.0,S,0.0,AccuWeather
2016-06-17,2016-06-17 23:45:43.424000,2016,7ddcceaa-5e72-1131-1d77-d8b42d29194a,running,1002,21.07,3.277,35.956463,-83.92136,26.70,55.00,1,Partly sunny,7.0,N,0.0,AccuWeather
2016-06-20,2016-06-20 23:53:57.371000,2016,70bd79a9-bb6a-6547-7348-756b2e5ece51,running,1002,25.60,4.014,35.95626,-83.92135,30.60,31.00,1,Partly sunny,7.0,WSW,0.0,AccuWeather
2016-06-23,2016-06-23 21:55:58.619000,2016,3922bd18-158e-0bcd-20d3-9e1ffffd0f41,walking,1001,4.82,0.350,35.958393,-83.93525,34.40,38.00,1,Partly sunny,7.0,SW,2.0,AccuWeather
2016-06-23,2016-06-23 22:18:21.439000,2016,7fa3c6d6-558b-cdec-da08-b25cce7d780f,walking,1001,16.13,1.048,35.95722,-83.93869,34.40,38.00,1,Partly sunny,7.0,SW,0.0,AccuWeather
2016-06-24,2016-06-24 23:55:37.403000,2016,18fc47d7-8736-31eb-f898-6de4c4447390,running,1002,26.03,4.040,35.956097,-83.9214,30.00,58.00,1,Partly sunny,7.0,SW,0.0,AccuWeather
2016-06-29,2016-06-29 00:42:09.550000,2016,f5c5c82e-636e-4a1f-55f0-c134df5a647e,walking,1001,52.95,3.857,35.946327,-83.951996,22.20,93.00,1,Cloudy,7.0,N,0.0,AccuWeather
2016-06-29,2016-06-29 23:47:34.787000,2016,ede6414c-c2e5-6470-c8dd-17ed96c26481,running,1002,29.08,4.757,35.955345,-83.92207,28.90,39.00,1,Partly sunny,7.0,N,0.0,AccuWeather
2016-07-01,2016-07-01 01:21:59.848000,2016,62e25b92-c53d-11ca-029b-1418a6b3db82,walking,1001,27.48,1.904,35.95801,-83.93379,28.90,35.00,1,Partly cloudy,7.0,WNW,0.0,AccuWeather
2016-07-01,2016-07-01 02:10:36.926000,2016,5a5fb0aa-e7ea-7dfe-db35-f6b195ba165b,walking,1001,12.85,0.669,35.950443,-83.9394,28.90,35.00,1,Partly cloudy,7.0,WNW,0.0,AccuWeather
2016-07-01,2016-07-01 23:18:52.010000,2016,794aadfc-33af-ac23-6c01-bbd753bb327c,running,1002,30.13,4.792,35.95524,-83.9222,30.60,36.00,1,Partly sunny,7.0,N,0.0,AccuWeather
2016-07-06,2016-07-06 22:02:58.815000,2016,30d28c40-9dc9-cfff-8d04-776f97221b46,running,1002,30.47,4.728,35.955322,-83.922134,32.20,55.00,1,Partly sunny,7.0,SW,1.0,AccuWeather
