dimension,key,total_exercises,weather_rows,coverage_pct,temperature_median_c,temperature_min_c,temperature_max_c,humidity_median,humidity_min,humidity_max,invalid_humidity_rows,notes
overall,all,1809,589,32.56,25.00,-7.00,86.00,51.00,15.00,100.00,1,single start-time weather snapshot per exercise
year,2014,39,0,0.00,,,,,,,,
year,2015,53,2,3.77,,,,,,,,
year,2016,187,80,42.78,,,,,,,,
year,2017,137,45,32.85,,,,,,,,
year,2018,142,124,87.32,,,,,,,,
year,2019,67,1,1.49,,,,,,,,
year,2020,195,121,62.05,,,,,,,,
year,2021,253,176,69.57,,,,,,,,
year,2022,172,29,16.86,,,,,,,,
year,2023,236,11,4.66,,,,,,,,
year,2024,223,0,0.00,,,,,,,,
year,2025,90,0,0.00,,,,,,,,
year,2026,15,0,0.00,,,,,,,,
exercise_type,bike,32,7,21.88,,,,,,,,
exercise_type,hiking,4,0,0.00,,,,,,,,
exercise_type,indoor_bike,1,0,0.00,,,,,,,,
exercise_type,other,20,0,0.00,,,,,,,,
exercise_type,pilates,1,0,0.00,,,,,,,,
exercise_type,running,114,24,21.05,,,,,,,,
exercise_type,walking,1636,558,34.11,,,,,,,,
exercise_type,yoga,1,0,0.00,,,,,,,,
provider,AccuWeather,,127,,,,,,,,,
provider,Accuweather,,1,,,,,,,,,
provider,TWC,,461,,,,,,,,,
