phase,intake_bin,n_days,mean_calories,mean_tdee,mean_tdee_minus_rmr,mean_fat_mass_lbs
falling,<1600,206,1466.4,2297.2,233.6,45.9
falling,1600-1999,334,1777.5,2314.5,227.5,48.2
falling,2000-2499,220,2222.4,2302.7,239.2,50.3
falling,2500-2999,100,2703.3,2301.2,243.8,51.3
falling,3000+,56,3440.2,2247.8,214.0,46.9
stable,<1600,297,1376.3,2141.4,109.5,53.7
stable,1600-1999,812,1820.2,2140.8,128.3,54.8
stable,2000-2499,1090,2217.0,2163.5,163.3,61.3
stable,2500-2999,395,2709.8,2165.8,166.4,61.1
stable,3000+,210,3449.8,2188.5,186.9,56.7
rising,<1600,110,1416.2,2118.8,145.6,53.5
rising,1600-1999,312,1808.4,2110.7,143.1,57.6
rising,2000-2499,424,2232.0,2144.7,170.4,62.8
rising,2500-2999,215,2710.0,2137.1,165.1,59.9
rising,3000+,118,3425.9,2113.2,141.0,57.6
