start_date,end_date,days,mean_calories,mean_carbs_g,mean_protein_g,mean_steps,pre_ratio,run_ratio,post_ratio,run_minus_pre_ratio,post_minus_pre_ratio,post_minus_run_ratio,pre_tdee,run_tdee,post_tdee,post_minus_pre_tdee,fat_delta_30d,long_run,deep_run,low_carb,low_protein,high_steps
2011-05-23,2011-06-01,10,1578.1,201.0,42.6,3406.0,1.2471,1.2526,1.2646,0.0055,0.0175,0.012,2729.6,2738.3,2760.6,31.0,-6.35,True,False,False,True,False
2011-06-04,2011-06-17,14,1546.1,213.4,49.6,3406.0,1.2501,1.2656,1.2537,0.0155,0.0036,-0.0119,2734.2,2764.0,2734.1,-0.1,-6.61,True,True,False,True,False
2011-07-07,2011-07-18,12,1628.2,245.5,50.4,3406.0,1.2636,1.2381,1.1967,-0.0255,-0.0669,-0.0414,2757.5,2698.1,2604.2,-153.3,-5.31,True,False,False,True,False
2011-07-23,2011-07-26,4,1500.2,204.0,52.0,3406.0,1.2455,1.2042,1.1962,-0.0413,-0.0493,-0.0081,2715.2,2622.2,2601.7,-113.5,-3.87,False,True,False,True,False
2011-07-31,2011-08-04,5,1565.4,210.2,46.2,3406.0,1.2285,1.1886,1.2031,-0.0399,-0.0255,0.0145,2676.8,2586.6,2615.1,-61.7,-4.17,False,False,False,True,False
2011-08-08,2011-08-11,4,1604.0,190.8,50.2,3406.0,1.2106,1.1892,1.2084,-0.0214,-0.0022,0.0192,2636.3,2586.5,2625.5,-10.8,-4.02,False,False,False,True,False
2011-08-13,2011-08-15,3,1553.3,224.7,56.7,3406.0,1.2018,1.1959,1.2094,-0.0059,0.0076,0.0135,2616.3,2600.7,2627.0,10.7,-4.11,False,False,False,True,False
2011-08-19,2011-08-22,4,1581.2,197.0,54.5,3406.0,1.1961,1.2068,1.2064,0.0107,0.0103,-0.0004,2602.8,2623.0,2619.1,16.3,-4.26,False,False,False,True,False
2011-08-24,2011-08-26,3,1644.0,237.3,53.3,3406.0,1.1955,1.2125,1.2022,0.017,0.0068,-0.0102,2600.5,2634.7,2609.4,8.9,-3.99,False,False,False,True,False
2011-09-03,2011-09-05,3,1653.0,284.3,42.7,3406.0,1.2022,1.2138,1.1877,0.0117,-0.0145,-0.0262,2613.3,2635.7,2576.0,-37.3,-4.04,False,False,False,True,False
2011-09-07,2011-09-10,4,1609.2,256.8,44.2,3406.0,1.2057,1.2092,1.1796,0.0035,-0.0261,-0.0296,2620.3,2625.2,2557.7,-62.7,-3.88,False,False,False,True,False
2011-09-12,2011-09-16,5,1614.6,241.2,39.2,3406.0,1.2089,1.1995,1.1706,-0.0093,-0.0383,-0.0289,2626.3,2603.0,2537.1,-89.1,-3.52,False,False,False,True,False
2011-10-04,2011-10-07,4,1746.2,245.5,64.0,3406.0,1.1909,1.1643,1.1493,-0.0266,-0.0416,-0.015,2583.3,2523.0,2487.4,-96.0,-2.23,False,False,False,False,False
2011-10-12,2011-10-16,5,1730.4,228.2,64.6,3406.0,1.178,1.1551,1.1463,-0.023,-0.0317,-0.0087,2554.1,2501.4,2479.5,-74.5,-1.44,False,False,False,False,False
