dimension,value,n_runs,mean_run_minus_pre_ratio,mean_post_minus_pre_ratio,mean_post_minus_run_ratio
long_run,False,103,-0.0035,-0.0093,-0.0057
long_run,True,30,0.0076,0.0038,-0.0038
deep_run,False,97,-0.0019,-0.0058,-0.0039
deep_run,True,36,0.0014,-0.0076,-0.009
low_carb,False,95,-0.0031,-0.0095,-0.0064
low_carb,True,38,0.0042,0.0016,-0.0027
low_protein,False,99,-0.0009,-0.0044,-0.0035
low_protein,True,34,-0.0015,-0.0119,-0.0104
high_steps,False,98,0.0009,-0.0022,-0.0032
high_steps,True,35,-0.0065,-0.0177,-0.0112
