date,fat_mass_lbs_filtered,fat_mass_std_filtered,tdee_filtered,tdee_std_filtered,fat_mass_lbs,fat_mass_std,tdee,tdee_std,innovation
2011-04-20,,,,,,,,,
2011-04-21,101.86,5.0,2628.0,500.0,101.56,0.63,2742.0,124.0,
2011-04-22,101.58,5.0,2628.0,496.0,101.25,0.6,2741.0,121.0,
2011-04-23,100.21,0.97,2635.0,490.0,101.08,0.58,2740.0,118.0,-1.285
2011-04-24,99.94,0.98,2635.0,486.0,100.79,0.56,2740.0,115.0,
2011-04-25,100.09,1.01,2635.0,482.0,100.91,0.53,2739.0,112.0,
2011-04-26,99.75,1.06,2635.0,477.0,100.54,0.51,2739.0,109.0,
2011-04-27,100.58,0.74,2414.0,438.0,100.29,0.5,2738.0,106.0,1.849
2011-04-28,100.33,0.8,2416.0,434.0,99.95,0.48,2738.0,103.0,
2011-04-29,100.11,0.86,2419.0,431.0,99.65,0.46,2738.0,101.0,
2011-04-30,99.85,0.94,2421.0,427.0,99.3,0.45,2737.0,98.0,
2011-05-01,99.77,1.03,2423.0,423.0,99.12,0.44,2737.0,95.0,
2011-05-02,99.73,1.12,2425.0,420.0,98.99,0.42,2736.0,93.0,
2011-05-03,99.45,1.22,2427.0,416.0,98.62,0.41,2736.0,90.0,
2011-05-04,98.59,0.79,2575.0,305.0,98.23,0.4,2736.0,88.0,-0.868
2011-05-05,98.06,0.64,2646.0,266.0,97.93,0.39,2735.0,86.0,-0.634
2011-05-06,97.96,0.7,2646.0,264.0,97.8,0.38,2735.0,83.0,
2011-05-07,97.86,0.75,2646.0,262.0,97.67,0.38,2734.0,81.0,
2011-05-08,97.75,0.81,2646.0,261.0,97.54,0.37,2734.0,79.0,
2011-05-09,97.53,0.87,2646.0,259.0,97.29,0.37,2733.0,77.0,
2011-05-10,97.82,0.93,2645.0,257.0,97.56,0.36,2733.0,76.0,
2011-05-11,97.79,1.0,2645.0,256.0,97.5,0.35,2733.0,74.0,
2011-05-12,97.59,1.06,2645.0,254.0,97.28,0.35,2732.0,73.0,
2011-05-13,97.74,1.12,2645.0,253.0,97.4,0.34,2732.0,71.0,
2011-05-14,97.87,1.19,2645.0,251.0,97.51,0.34,2732.0,70.0,
2011-05-15,98.11,1.25,2644.0,250.0,97.73,0.34,2731.0,69.0,
2011-05-16,98.03,1.32,2644.0,248.0,97.62,0.33,2731.0,68.0,
2011-05-17,98.17,1.38,2644.0,247.0,97.73,0.33,2731.0,67.0,
2011-05-18,98.21,1.45,2644.0,245.0,97.75,0.32,2730.0,66.0,
2011-05-19,98.14,1.51,2644.0,244.0,97.65,0.31,2730.0,65.0,
2011-05-20,96.59,0.84,2825.0,153.0,97.37,0.31,2730.0,65.0,-1.798
2011-05-21,96.31,0.87,2823.0,154.0,97.13,0.3,2729.0,64.0,
2011-05-22,95.96,0.67,2832.0,130.0,96.89,0.3,2730.0,63.0,-0.184
2011-05-23,95.74,0.69,2830.0,131.0,96.7,0.3,2730.0,63.0,
2011-05-24,95.4,0.72,2828.0,131.0,96.4,0.29,2731.0,63.0,
2011-05-25,95.09,0.75,2826.0,132.0,96.12,0.29,2732.0,62.0,
2011-05-26,94.79,0.78,2824.0,133.0,95.86,0.28,2733.0,62.0,
2011-05-27,94.42,0.81,2822.0,133.0,95.52,0.28,2735.0,62.0,
2011-05-28,94.12,0.84,2820.0,134.0,95.25,0.27,2738.0,62.0,
2011-05-29,93.69,0.87,2818.0,134.0,94.85,0.26,2740.0,61.0,
2011-05-30,94.49,0.67,2673.0,115.0,94.42,0.26,2743.0,61.0,2.753
2011-05-31,94.51,0.56,2629.0,108.0,94.04,0.25,2746.0,61.0,1.16
2011-06-01,94.2,0.5,2635.0,103.0,93.74,0.25,2749.0,61.0,-0.185
2011-06-02,94.04,0.46,2620.0,101.0,93.43,0.25,2752.0,61.0,0.571
2011-06-03,93.97,0.48,2620.0,102.0,93.31,0.24,2755.0,61.0,
2011-06-04,93.74,0.5,2620.0,104.0,93.04,0.24,2757.0,61.0,
2011-06-05,93.58,0.46,2611.0,101.0,92.75,0.24,2759.0,60.0,0.351
2011-06-06,93.3,0.43,2615.0,99.0,92.47,0.23,2761.0,60.0,-0.19
2011-06-07,92.76,0.41,2651.0,98.0,92.15,0.23,2762.0,60.0,-1.622
2011-06-08,92.15,0.39,2693.0,97.0,91.83,0.23,2762.0,60.0,-2.081
2011-06-09,91.61,0.38,2716.0,96.0,91.44,0.23,2763.0,60.0,-1.217
2011-06-10,91.12,0.37,2726.0,96.0,91.02,0.23,2763.0,60.0,-0.583
2011-06-11,90.72,0.36,2726.0,96.0,90.61,0.23,2764.0,59.0,-0.041
2011-06-12,90.43,0.38,2724.0,97.0,90.32,0.23,2764.0,59.0,
2011-06-13,90.2,0.37,2703.0,96.0,89.93,0.23,2764.0,59.0,1.0
2011-06-14,89.8,0.36,2706.0,96.0,89.54,0.23,2765.0,59.0,-0.185
