date,fat_mass_lbs_filtered,fat_mass_std_filtered,tdee_filtered,tdee_std_filtered,fat_mass_lbs,fat_mass_std,tdee,tdee_std,innovation
2011-04-20,,,,,,,,,
2011-04-21,106.18,5.0,2518.0,500.0,106.0,0.58,2796.0,91.0,
2011-04-22,105.94,5.0,2518.0,498.0,105.68,0.56,2795.0,90.0,
2011-04-23,104.53,0.97,2526.0,495.0,105.5,0.54,2794.0,88.0,-1.358
2011-04-24,104.3,0.98,2526.0,492.0,105.21,0.52,2793.0,87.0,
2011-04-25,104.48,1.01,2526.0,490.0,105.31,0.51,2792.0,85.0,
2011-04-26,104.18,1.06,2526.0,488.0,104.94,0.49,2791.0,84.0,
2011-04-27,104.96,0.74,2320.0,451.0,104.69,0.48,2790.0,83.0,1.704
2011-04-28,104.75,0.8,2321.0,449.0,104.35,0.46,2789.0,81.0,
2011-04-29,104.56,0.87,2322.0,447.0,104.04,0.45,2788.0,80.0,
2011-04-30,104.34,0.95,2323.0,445.0,103.69,0.44,2787.0,78.0,
2011-05-01,104.28,1.03,2324.0,443.0,103.5,0.43,2786.0,77.0,
2011-05-02,104.28,1.13,2325.0,441.0,103.37,0.42,2785.0,75.0,
2011-05-03,104.03,1.23,2326.0,439.0,102.99,0.41,2785.0,74.0,
2011-05-04,103.01,0.79,2535.0,322.0,102.6,0.4,2784.0,73.0,-1.165
2011-05-05,102.45,0.65,2624.0,282.0,102.3,0.39,2783.0,72.0,-0.756
2011-05-06,102.36,0.7,2623.0,281.0,102.16,0.38,2782.0,70.0,
2011-05-07,102.27,0.76,2623.0,280.0,102.03,0.38,2781.0,69.0,
2011-05-08,102.17,0.82,2622.0,279.0,101.89,0.37,2780.0,68.0,
2011-05-09,101.96,0.89,2622.0,278.0,101.64,0.37,2780.0,67.0,
2011-05-10,102.25,0.95,2621.0,277.0,101.88,0.36,2779.0,66.0,
2011-05-11,102.22,1.02,2621.0,276.0,101.82,0.36,2778.0,65.0,
2011-05-12,102.04,1.09,2620.0,275.0,101.59,0.35,2778.0,64.0,
2011-05-13,102.19,1.15,2620.0,274.0,101.7,0.35,2777.0,63.0,
2011-05-14,102.33,1.22,2619.0,273.0,101.79,0.34,2776.0,62.0,
2011-05-15,102.57,1.29,2619.0,272.0,101.99,0.34,2776.0,61.0,
2011-05-16,102.49,1.36,2618.0,271.0,101.88,0.33,2775.0,60.0,
2011-05-17,102.63,1.43,2618.0,270.0,101.97,0.33,2774.0,59.0,
2011-05-18,102.69,1.5,2617.0,269.0,101.99,0.32,2774.0,59.0,
2011-05-19,102.62,1.57,2617.0,268.0,101.88,0.31,2773.0,58.0,
