q_tdee,mean_revert,training_delta_lbs,training_half_life,fm_mae,fm_rmse,fm_max_abs,innov_std,innov_acf1,cal_ratio_err,tdee_dd_std,score
1000,0.005,0.0,275,3.0111,5.2831,15.4311,1.4147,0.3004,0.1005,5.4632,0.6519
1000,0.005,0.045,275,3.0563,5.3722,15.7206,1.4103,0.3037,0.1003,5.4492,0.6571
1000,0.01,0.0,275,2.9454,5.1021,14.8947,1.5412,0.3119,0.1,5.4306,0.6592
500,0.005,0.0,275,2.876,4.997,14.7162,1.444,0.3433,0.0861,3.9568,0.6593
1000,0.002,0.0,275,3.0726,5.405,15.7892,1.2593,0.3051,0.1007,5.4719,0.6601
1000,0.005,0.091,275,3.1024,5.4643,16.0162,1.4069,0.3066,0.1001,5.4442,0.662
500,0.005,0.045,275,2.9233,5.0929,15.0212,1.4404,0.3456,0.0859,3.9443,0.6636
1000,0.01,0.045,275,2.9921,5.1956,15.1922,1.5387,0.3143,0.0999,5.4168,0.6636
500,0.01,0.0,275,2.8347,4.8742,14.3495,1.5733,0.3506,0.0859,3.9134,0.6641
1000,0.002,0.045,275,3.1065,5.4915,16.0729,1.2523,0.3108,0.1005,5.4578,0.6671
500,0.005,0.091,275,2.972,5.1919,15.3328,1.4378,0.3477,0.0857,3.9404,0.6677
500,0.01,0.045,275,2.8829,4.9725,14.6566,1.571,0.3526,0.0857,3.9012,0.668
1000,0.01,0.091,275,3.0399,5.2922,15.4962,1.5369,0.3166,0.0997,5.412,0.668
200,0.005,0.0,275,2.6795,4.5466,13.5427,1.5005,0.3927,0.072,2.4911,0.6707
500,0.01,0.091,275,2.9325,5.074,14.9703,1.5696,0.3544,0.0855,3.8976,0.6719
1000,0.002,0.091,275,3.1458,5.5811,16.3626,1.2465,0.3159,0.1003,5.4527,0.6738
200,0.005,0.045,275,2.728,4.6501,13.8644,1.498,0.3934,0.0723,2.481,0.6744
200,0.005,0.091,275,2.778,4.757,14.193,1.4966,0.394,0.0726,2.4789,0.6781
500,0.002,0.0,275,2.9157,5.1001,15.0154,1.2784,0.3604,0.0863,3.9707,0.6789
200,0.01,0.0,275,2.7088,4.5708,13.5866,1.6289,0.4006,0.0725,2.4368,0.681
1000,0.02,0.0,275,2.9087,4.988,14.5727,1.6304,0.3389,0.0987,5.3014,0.6818
100,0.005,0.0,275,2.5812,4.2732,12.7785,1.552,0.4216,0.0666,1.7111,0.6839
500,0.002,0.045,275,2.9606,5.1941,15.3172,1.2731,0.3639,0.0861,3.958,0.6842
200,0.01,0.045,275,2.7562,4.673,13.8988,1.6269,0.4017,0.0728,2.4271,0.6851
1000,0.02,0.045,275,2.9569,5.0861,14.8725,1.6286,0.3411,0.0986,5.2883,0.6861
100,0.005,0.045,275,2.6306,4.3796,13.1051,1.5499,0.4213,0.0674,1.7025,0.6876
500,0.002,0.091,275,3.0088,5.2913,15.6254,1.2693,0.3666,0.0859,3.9541,0.6889
200,0.01,0.091,275,2.8051,4.7785,14.2178,1.6259,0.403,0.0731,2.4252,0.6894
1000,0.02,0.091,275,3.0062,5.1873,15.179,1.6275,0.3432,0.0984,5.2838,0.6903
100,0.005,0.091,275,2.6815,4.4894,13.4388,1.549,0.421,0.0681,1.7006,0.6914
200,0.002,0.0,275,2.6908,4.5911,13.6743,1.329,0.4178,0.0719,2.5108,0.6961
500,0.02,0.0,275,2.8531,4.8722,14.3253,1.668,0.383,0.0857,3.7621,0.697
200,0.002,0.045,275,2.7396,4.6944,13.9976,1.3265,0.417,0.0722,2.5006,0.6984
200,0.002,0.091,275,2.7898,4.801,14.3278,1.3255,0.4157,0.0725,2.4983,0.7002
500,0.02,0.045,275,2.901,4.9712,14.6231,1.6662,0.3848,0.0855,3.751,0.7008
50,0.005,0.0,275,2.5519,4.147,12.3615,1.605,0.4459,0.0638,1.1622,0.7012
100,0.002,0.0,275,2.5615,4.2524,12.7278,1.3852,0.4407,0.0662,1.7331,0.7012
100,0.002,0.045,275,2.6117,4.3602,13.0611,1.3839,0.4375,0.0669,1.7242,0.7019
100,0.002,0.091,275,2.6635,4.4715,13.4017,1.3844,0.4338,0.0677,1.7223,0.7024
50,0.002,0.091,275,2.5971,4.2665,12.7615,1.4452,0.4438,0.0645,1.1753,0.7027
50,0.002,0.045,275,2.5457,4.1558,12.4241,1.4442,0.4485,0.0638,1.1773,0.7033
50,0.005,0.045,275,2.5996,4.2509,12.679,1.6028,0.4452,0.0643,1.1551,0.7037
50,0.002,0.0,275,2.4961,4.0486,12.0939,1.4451,0.4529,0.0633,1.1848,0.7044
500,0.02,0.091,275,2.9503,5.0732,14.9275,1.6653,0.3866,0.0853,3.7479,0.7047
100,0.01,0.0,275,2.6788,4.4475,13.2377,1.6781,0.4371,0.0674,1.6546,0.706
50,0.005,0.091,275,2.6494,4.3582,13.0036,1.6021,0.4445,0.065,1.1533,0.7071
25,0.002,0.091,275,2.6042,4.2202,12.5249,1.4996,0.4549,0.0625,0.8124,0.7101
100,0.01,0.045,275,2.7254,4.5487,13.5429,1.6761,0.4379,0.0682,1.6466,0.7105
25,0.002,0.045,275,2.5566,4.1169,12.2096,1.4985,0.4594,0.0617,0.8135,0.7107
25,0.002,0.0,275,2.5106,4.017,11.9013,1.4995,0.4637,0.061,0.8187,0.7113
100,0.01,0.091,275,2.7737,4.6531,13.8548,1.6752,0.4387,0.0689,1.6452,0.7152
25,0.005,0.0,275,2.6082,4.2017,12.4108,1.6577,0.4704,0.0616,0.7956,0.7239
25,0.005,0.045,275,2.6518,4.2971,12.7016,1.6554,0.4696,0.0623,0.7909,0.7267
25,0.005,0.091,275,2.6968,4.3957,12.9991,1.6548,0.4691,0.063,0.7902,0.7299
200,0.02,0.0,275,2.847,4.8095,14.1885,1.7337,0.4448,0.0732,2.2805,0.7336
