half_life_days,latent_auc,n_rows,n_binges,strain_features,recovery_features,all_features
2,0.6952,983,157,"ew_restriction_pressure,ew_monotony,ew_low_calorie_day,ew_high_steps",ew_recovery_ease,"ew_restriction_pressure,ew_monotony,ew_low_calorie_day,ew_high_steps,ew_recovery_ease"
2,0.6807,983,157,"ew_restriction_pressure,ew_monotony,ew_low_calorie_day,ew_high_steps",ew_binge_recovery,"ew_restriction_pressure,ew_monotony,ew_low_calorie_day,ew_high_steps,ew_binge_recovery"
3,0.6758,983,157,"ew_restriction_pressure,ew_monotony",ew_recovery_ease,"ew_restriction_pressure,ew_monotony,ew_recovery_ease"
2,0.6693,983,157,"ew_restriction_pressure,ew_monotony,ew_low_calorie_day,ew_high_steps","ew_recovery_ease,ew_binge_recovery","ew_restriction_pressure,ew_monotony,ew_low_calorie_day,ew_high_steps,ew_recovery_ease,ew_binge_recovery"
2,0.6686,983,157,"ew_restriction_pressure,ew_monotony,ew_low_calorie_day,ew_high_steps",,"ew_restriction_pressure,ew_monotony,ew_low_calorie_day,ew_high_steps"
3,0.6639,983,157,"ew_restriction_pressure,ew_monotony",ew_binge_recovery,"ew_restriction_pressure,ew_monotony,ew_binge_recovery"
3,0.6616,983,157,"ew_restriction_pressure,ew_monotony","ew_recovery_ease,ew_binge_recovery","ew_restriction_pressure,ew_monotony,ew_recovery_ease,ew_binge_recovery"
5,0.6422,983,157,"ew_restriction_pressure,ew_monotony",ew_recovery_ease,"ew_restriction_pressure,ew_monotony,ew_recovery_ease"
5,0.6386,983,157,"ew_restriction_pressure,ew_monotony",ew_binge_recovery,"ew_restriction_pressure,ew_monotony,ew_binge_recovery"
3,0.6383,983,157,"ew_restriction_pressure,ew_monotony",,"ew_restriction_pressure,ew_monotony"
5,0.6361,983,157,"ew_restriction_pressure,ew_monotony","ew_recovery_ease,ew_binge_recovery","ew_restriction_pressure,ew_monotony,ew_recovery_ease,ew_binge_recovery"
7,0.6125,983,157,"ew_monotony,ew_low_calorie_day,ew_restriction_streak","ew_recovery_ease,ew_binge_recovery","ew_monotony,ew_low_calorie_day,ew_restriction_streak,ew_recovery_ease,ew_binge_recovery"
7,0.6122,983,157,"ew_monotony,ew_low_calorie_day,ew_restriction_streak",ew_binge_recovery,"ew_monotony,ew_low_calorie_day,ew_restriction_streak,ew_binge_recovery"
7,0.6096,983,157,"ew_monotony,ew_low_calorie_day,ew_restriction_streak",ew_recovery_ease,"ew_monotony,ew_low_calorie_day,ew_restriction_streak,ew_recovery_ease"
10,0.6011,983,157,"ew_monotony,ew_restriction_pressure",ew_binge_recovery,"ew_monotony,ew_restriction_pressure,ew_binge_recovery"
10,0.5987,983,157,"ew_monotony,ew_restriction_pressure","ew_recovery_ease,ew_binge_recovery","ew_monotony,ew_restriction_pressure,ew_recovery_ease,ew_binge_recovery"
5,0.5963,983,157,"ew_restriction_pressure,ew_monotony",,"ew_restriction_pressure,ew_monotony"
10,0.5892,983,157,"ew_monotony,ew_restriction_pressure",ew_recovery_ease,"ew_monotony,ew_restriction_pressure,ew_recovery_ease"
7,0.5752,983,157,"ew_monotony,ew_low_calorie_day,ew_restriction_streak",,"ew_monotony,ew_low_calorie_day,ew_restriction_streak"
14,0.5683,983,157,"ew_monotony,ew_low_calorie_day,ew_restriction_streak",ew_binge_recovery,"ew_monotony,ew_low_calorie_day,ew_restriction_streak,ew_binge_recovery"
14,0.5651,983,157,"ew_monotony,ew_low_calorie_day,ew_restriction_streak","ew_recovery_ease,ew_binge_recovery","ew_monotony,ew_low_calorie_day,ew_restriction_streak,ew_recovery_ease,ew_binge_recovery"
21,0.5582,983,157,"ew_monotony,ew_low_calorie_day",ew_binge_recovery,"ew_monotony,ew_low_calorie_day,ew_binge_recovery"
14,0.5526,983,157,"ew_monotony,ew_low_calorie_day,ew_restriction_streak",ew_recovery_ease,"ew_monotony,ew_low_calorie_day,ew_restriction_streak,ew_recovery_ease"
21,0.5478,983,157,"ew_monotony,ew_low_calorie_day","ew_recovery_ease,ew_binge_recovery","ew_monotony,ew_low_calorie_day,ew_recovery_ease,ew_binge_recovery"
10,0.543,983,157,"ew_monotony,ew_restriction_pressure",,"ew_monotony,ew_restriction_pressure"
21,0.5395,983,157,"ew_monotony,ew_low_calorie_day",ew_recovery_ease,"ew_monotony,ew_low_calorie_day,ew_recovery_ease"
14,0.5331,983,157,"ew_monotony,ew_low_calorie_day,ew_restriction_streak",,"ew_monotony,ew_low_calorie_day,ew_restriction_streak"
21,0.5227,983,157,"ew_monotony,ew_low_calorie_day",,"ew_monotony,ew_low_calorie_day"
