target,model_size,features,loocv_r2,loocv_corr,n_rows
post_minus_pre_ratio,1,phase_code,0.1917,0.4386,130
post_minus_pre_ratio,1,mean_steps,0.0514,0.2342,133
post_minus_pre_ratio,1,pre_tdee,0.0307,0.1844,133
post_minus_pre_ratio,1,deficit_vs_pre_tdee,0.0247,0.1693,133
post_minus_pre_ratio,1,ffm_start,0.0223,0.1648,133
post_minus_pre_ratio,1,relative_deficit,0.0157,0.145,133
post_minus_pre_ratio,1,carb_pct,0.0112,0.1253,133
post_minus_pre_ratio,1,mean_carbs_g,0.0107,0.1223,133
post_minus_pre_ratio,1,pre_ratio,0.0066,0.1136,133
post_minus_pre_ratio,1,mean_protein_g,-0.0093,0.0426,133
post_minus_pre_ratio,1,protein_pct,-0.0107,0.0309,133
post_minus_pre_ratio,1,fm_start,-0.0119,-0.0037,133
post_minus_pre_ratio,1,fat_mass_start,-0.0267,-0.1633,133
post_minus_pre_ratio,1,mean_calories,-0.0307,-0.2535,133
post_minus_pre_ratio,1,run_cal_std,-0.0388,-0.7405,133
post_minus_pre_ratio,1,run_travel_frac,-0.0602,-0.0074,133
post_minus_pre_ratio,1,days,-0.0688,-0.1792,133
post_minus_pre_ratio,2,"phase_code,mean_steps",0.2265,0.4771,130
post_minus_pre_ratio,3,"phase_code,mean_steps,pre_tdee",0.2179,0.4688,130
post_minus_pre_ratio,4,"phase_code,mean_steps,pre_tdee,deficit_vs_pre_tdee",0.2074,0.4585,130
post_minus_run_ratio,1,phase_code,0.1038,0.3248,130
post_minus_run_ratio,1,deficit_vs_pre_tdee,0.0662,0.2633,133
post_minus_run_ratio,1,relative_deficit,0.0656,0.2623,133
post_minus_run_ratio,1,pre_ratio,0.0571,0.2466,133
post_minus_run_ratio,1,pre_tdee,0.0509,0.2328,133
post_minus_run_ratio,1,mean_protein_g,0.0184,0.1565,133
post_minus_run_ratio,1,carb_pct,0.0154,0.1382,133
post_minus_run_ratio,1,mean_steps,0.0137,0.1381,133
post_minus_run_ratio,1,protein_pct,0.0088,0.1261,133
post_minus_run_ratio,1,mean_carbs_g,0.004,0.0934,133
post_minus_run_ratio,1,mean_calories,-0.0169,0.0225,133
post_minus_run_ratio,1,fm_start,-0.0185,-0.0846,133
post_minus_run_ratio,1,run_travel_frac,-0.0189,-0.1746,133
post_minus_run_ratio,1,ffm_start,-0.025,-0.0617,133
post_minus_run_ratio,1,run_cal_std,-0.0273,-0.0228,133
post_minus_run_ratio,1,fat_mass_start,-0.0323,-0.7595,133
post_minus_run_ratio,1,days,-0.0785,-0.2924,133
post_minus_run_ratio,2,"phase_code,pre_ratio",0.1331,0.3695,130
post_minus_run_ratio,3,"phase_code,pre_ratio,pre_tdee",0.1495,0.3933,130
post_minus_run_ratio,4,"phase_code,deficit_vs_pre_tdee,pre_ratio,pre_tdee",0.1589,0.4069,130
run_minus_pre_ratio,1,phase_code,0.1612,0.4026,130
run_minus_pre_ratio,1,ffm_start,0.0537,0.2377,133
run_minus_pre_ratio,1,mean_steps,0.0502,0.2315,133
run_minus_pre_ratio,1,mean_carbs_g,-0.0024,0.0739,133
run_minus_pre_ratio,1,pre_tdee,-0.0093,0.0301,133
run_minus_pre_ratio,1,carb_pct,-0.0106,0.0282,133
run_minus_pre_ratio,1,fm_start,-0.0132,-0.0091,133
run_minus_pre_ratio,1,run_cal_std,-0.0146,0.0089,133
run_minus_pre_ratio,1,fat_mass_start,-0.0164,-0.0059,133
run_minus_pre_ratio,1,deficit_vs_pre_tdee,-0.0204,-0.0689,133
run_minus_pre_ratio,1,mean_calories,-0.0258,-0.1812,133
run_minus_pre_ratio,1,relative_deficit,-0.026,-0.1597,133
run_minus_pre_ratio,1,pre_ratio,-0.0269,-0.3463,133
run_minus_pre_ratio,1,days,-0.0329,-0.044,133
run_minus_pre_ratio,1,protein_pct,-0.0336,-0.3916,133
run_minus_pre_ratio,1,mean_protein_g,-0.0339,-0.4759,133
run_minus_pre_ratio,1,run_travel_frac,-0.1021,0.0323,133
run_minus_pre_ratio,2,"phase_code,mean_steps",0.1985,0.447,130
run_minus_pre_ratio,3,"phase_code,mean_steps,run_cal_std",0.213,0.4635,130
run_minus_pre_ratio,4,"phase_code,mean_steps,pre_tdee,run_cal_std",0.2192,0.4709,130
