start_date,end_date,days,mean_calories,mean_carbs_g,mean_protein_g,mean_steps,pre_ratio,run_ratio,post_ratio,run_minus_pre_ratio,post_minus_pre_ratio,post_minus_run_ratio,pre_tdee,run_tdee,post_tdee,post_minus_pre_tdee,fat_delta_30d,long_run,deep_run,low_carb,low_protein,high_steps,protein_pct,carb_pct,deficit_vs_pre_tdee,relative_deficit,run_cal_std,run_travel_frac,fat_mass_start,ffm_start,fm_start,phase,phase_code
2011-05-23,2011-06-01,10,1578.1,201.0,42.6,4088.4,1.2471,1.2526,1.2646,0.0055,0.0175,0.012,2729.6,2738.3,2760.6,31.0,-6.35,True,False,False,True,False,0.10797794816551551,0.5094734174006718,1151.5,0.42185668229777257,202.78201213234976,0.0,96.71,159.1,99.0,,
2011-06-04,2011-06-17,14,1546.1,213.4,49.6,4798.9,1.2501,1.2656,1.2537,0.0155,0.0036,-0.0119,2734.2,2764.0,2734.1,-0.1,-6.61,True,True,False,True,True,0.12832287691611152,0.5520988293124637,1188.1,0.4345329529661327,165.24241267015847,0.0,93.05,159.0,98.6,,
2011-07-07,2011-07-18,12,1628.2,245.5,50.4,4617.8,1.2636,1.2381,1.1967,-0.0255,-0.0669,-0.0414,2757.5,2698.1,2604.2,-153.3,-5.31,True,False,False,True,True,0.12381771281169389,0.6031200098268026,1129.3,0.40953762466001814,60.60621780282644,0.0,83.09,158.7,97.5,,
2011-07-23,2011-07-26,4,1500.2,204.0,52.0,4176.6,1.2455,1.2042,1.1962,-0.0413,-0.0493,-0.0081,2715.2,2622.2,2601.7,-113.5,-3.87,False,True,False,True,False,0.1386481802426343,0.5439274763364884,1214.9999999999998,0.44748084855627573,38.40464381642755,0.0,78.57,158.6,96.9,falling,-1.0
2011-07-31,2011-08-04,5,1565.4,210.2,46.2,4088.4,1.2285,1.1886,1.2031,-0.0399,-0.0255,0.0145,2676.8,2586.6,2615.1,-61.7,-4.17,False,False,False,True,False,0.11805289382905328,0.5371151143477705,1111.4,0.4151972504482965,74.01891650112152,0.0,76.83,158.6,96.7,falling,-1.0
2011-08-08,2011-08-11,4,1604.0,190.8,50.2,4176.6,1.2106,1.1892,1.2084,-0.0214,-0.0022,0.0192,2636.3,2586.5,2625.5,-10.8,-4.02,False,False,False,True,False,0.12518703241895263,0.4758104738154614,1032.3000000000002,0.39157152069187884,155.18376203714098,0.0,74.83,158.5,96.4,falling,-1.0
2011-08-13,2011-08-15,3,1553.3,224.7,56.7,4323.7,1.2018,1.1959,1.2094,-0.0059,0.0076,0.0135,2616.3,2600.7,2627.0,10.7,-4.11,False,False,False,True,True,0.14601171698963497,0.5786390265885534,1063.0000000000002,0.40629897183044766,61.65495384260159,0.0,73.84,158.4,96.2,falling,-1.0
2011-08-19,2011-08-22,4,1581.2,197.0,54.5,3735.5,1.1961,1.2068,1.2064,0.0107,0.0103,-0.0004,2602.8,2623.0,2619.1,16.3,-4.26,False,False,False,True,False,0.13786997217303312,0.4983556792309638,1021.6000000000001,0.392500384201629,169.5,0.0,72.37,158.4,96.0,falling,-1.0
2011-08-24,2011-08-26,3,1644.0,237.3,53.3,3735.5,1.1955,1.2125,1.2022,0.017,0.0068,-0.0102,2600.5,2634.7,2609.4,8.9,-3.99,False,False,False,True,False,0.12968369829683699,0.5773722627737227,956.5,0.36781388194577963,70.61869440877535,0.0,70.98,158.4,95.8,falling,-1.0
2011-09-03,2011-09-05,3,1653.0,284.3,42.7,3735.5,1.2022,1.2138,1.1877,0.0117,-0.0145,-0.0262,2613.3,2635.7,2576.0,-37.3,-4.04,False,False,False,True,False,0.10332728372655778,0.6879612825166365,960.3000000000002,0.3674664217655838,62.37788069500277,0.0,68.77,158.3,95.5,falling,-1.0
