target,term,coef
run_minus_pre_ratio,intercept,0.022668
run_minus_pre_ratio,fat_mass_start,0.000145
run_minus_pre_ratio,pre_ratio,-0.015911
run_minus_pre_ratio,falling_vs_rising,-0.0238
post_minus_pre_ratio,intercept,0.127695
post_minus_pre_ratio,fat_mass_start,0.000486
post_minus_pre_ratio,pre_ratio,-0.124493
post_minus_pre_ratio,falling_vs_rising,-0.036119
post_minus_run_ratio,intercept,0.105102
post_minus_run_ratio,fat_mass_start,0.00034
post_minus_run_ratio,pre_ratio,-0.10865
post_minus_run_ratio,falling_vs_rising,-0.012309
