date,year,first_start,first_end,second_start,second_end,first_duration_min,second_duration_min,break_min,pair_duration_min,pair_distance_m,pair_steps,source_types
2020-04-05,2020,2020-04-05 15:13:02,2020-04-05 15:49:32,2020-04-05 16:16:17,2020-04-05 16:51:52,36.51,35.38,26.75,71.89,5042.26,3559.0,"1.0,4.0"
2020-04-07,2020,2020-04-07 15:40:39,2020-04-07 16:18:26,2020-04-07 16:46:06,2020-04-07 17:26:49,36.77,36.19,27.67,72.96,5363.0,7328.0,1.0
2020-04-08,2020,2020-04-08 15:03:43,2020-04-08 15:45:39,2020-04-08 15:59:05,2020-04-08 17:06:47,32.71,31.36,13.43,64.07,5058.07,0.0,1.0
2020-04-10,2020,2020-04-10 15:20:06,2020-04-10 15:53:10,2020-04-10 16:30:17,2020-04-10 16:57:34,32.97,25.46,37.12,58.43,4992.82,0.0,1.0
2020-04-13,2020,2020-04-13 15:26:43,2020-04-13 16:00:45,2020-04-13 16:25:44,2020-04-13 17:20:01,33.77,33.72,24.98,67.49,5668.87,0.0,1.0
2020-04-14,2020,2020-04-14 14:54:29,2020-04-14 15:25:38,2020-04-14 15:50:56,2020-04-14 16:23:46,30.98,32.32,25.3,63.3,5546.0,6659.0,1.0
2020-04-16,2020,2020-04-16 15:36:15,2020-04-16 16:04:44,2020-04-16 16:16:43,2020-04-16 16:40:07,28.44,23.38,11.98,51.82,4408.0,5571.0,1.0
2020-04-17,2020,2020-04-17 15:28:57,2020-04-17 15:59:12,2020-04-17 16:20:15,2020-04-17 16:53:35,30.21,32.82,21.05,63.03,5682.0,6733.0,1.0
2020-04-20,2020,2020-04-20 15:14:53,2020-04-20 15:48:25,2020-04-20 16:25:32,2020-04-20 17:01:00,33.51,35.24,37.12,68.75,5716.0,7006.0,1.0
2020-04-21,2020,2020-04-21 14:24:08,2020-04-21 15:00:02,2020-04-21 15:27:13,2020-04-21 16:58:44,32.89,34.52,27.18,67.41,5773.0,6980.0,1.0
2020-04-22,2020,2020-04-22 15:34:21,2020-04-22 16:07:19,2020-04-22 16:37:00,2020-04-22 17:11:09,32.76,34.04,29.68,66.8,5725.0,6903.0,1.0
2020-04-23,2020,2020-04-23 14:32:13,2020-04-23 15:06:24,2020-04-23 15:30:49,2020-04-23 16:20:45,34.15,36.07,24.42,70.22,5699.0,7151.0,1.0
2020-04-27,2020,2020-04-27 15:45:05,2020-04-27 16:18:36,2020-04-27 16:44:21,2020-04-27 17:22:19,33.46,35.63,25.75,69.09,5724.0,7002.0,1.0
2020-04-28,2020,2020-04-28 14:55:15,2020-04-28 15:28:37,2020-04-28 16:04:01,2020-04-28 17:41:50,33.3,36.51,35.4,69.81,5745.0,7085.0,1.0
