date,year,walk_regime,first_start,first_duration_min,second_duration_min,break_min,regime_duration_min,regime_distance_m,regime_steps,source_types
2020-01-09,2020,single_daylight_walk,2020-01-09 15:42:23,20.77,,,20.77,1050.5,0.0,4.0
2020-02-03,2020,borderline_paired_daylight_walk,2020-02-03 16:18:13,39.57,29.72,1.75,69.29,3374.71,0.0,4.0
2020-03-26,2020,single_daylight_walk,2020-03-26 18:05:45,25.81,,,25.81,1314.22,0.0,4.0
2020-04-04,2020,borderline_paired_daylight_walk,2020-04-04 15:21:43,39.52,39.75,1.25,79.27,4356.19,0.0,4.0
2020-04-05,2020,paired_daylight_walk,2020-04-05 15:13:02,36.51,35.38,26.75,71.89,5042.26,3559.0,"1.0,4.0"
2020-04-06,2020,paired_daylight_walk,2020-04-06 16:14:10,31.26,32.93,23.85,64.19,5462.0,6589.0,1.0
2020-04-07,2020,paired_daylight_walk,2020-04-07 15:40:39,36.77,36.19,27.67,72.96,5363.0,7328.0,1.0
2020-04-08,2020,paired_daylight_walk,2020-04-08 15:03:43,32.71,31.36,13.43,64.07,5058.07,0.0,1.0
2020-04-09,2020,single_daylight_walk,2020-04-09 14:48:52,33.57,,,33.57,2766.45,0.0,1.0
2020-04-10,2020,paired_daylight_walk,2020-04-10 15:20:06,32.97,25.46,37.12,58.43,4992.82,0.0,1.0
2020-04-13,2020,paired_daylight_walk,2020-04-13 15:26:43,33.77,33.72,24.98,67.49,5668.87,0.0,1.0
2020-04-14,2020,paired_daylight_walk,2020-04-14 14:54:29,30.98,32.32,25.3,63.3,5546.0,6659.0,1.0
2020-04-15,2020,single_daylight_walk,2020-04-15 16:18:26,44.38,,,44.38,3840.0,4639.0,1.0
2020-04-16,2020,paired_daylight_walk,2020-04-16 15:36:15,28.44,23.38,11.98,51.82,4408.0,5571.0,1.0
2020-04-17,2020,paired_daylight_walk,2020-04-17 15:28:57,30.21,32.82,21.05,63.03,5682.0,6733.0,1.0
2020-04-19,2020,paired_daylight_walk,2020-04-19 16:07:36,31.43,32.95,21.17,64.38,5600.0,6659.0,1.0
2020-04-20,2020,paired_daylight_walk,2020-04-20 15:14:53,33.51,35.24,37.12,68.75,5716.0,7006.0,1.0
2020-04-21,2020,paired_daylight_walk,2020-04-21 14:24:08,32.89,34.52,27.18,67.41,5773.0,6980.0,1.0
2020-04-22,2020,paired_daylight_walk,2020-04-22 15:34:21,32.76,34.04,29.68,66.8,5725.0,6903.0,1.0
2020-04-23,2020,paired_daylight_walk,2020-04-23 14:32:13,34.15,36.07,24.42,70.22,5699.0,7151.0,1.0
2020-04-27,2020,paired_daylight_walk,2020-04-27 15:45:05,33.46,35.63,25.75,69.09,5724.0,7002.0,1.0
2020-04-28,2020,paired_daylight_walk,2020-04-28 14:55:15,33.3,36.51,35.4,69.81,5745.0,7085.0,1.0
2020-05-01,2020,paired_daylight_walk,2020-05-01 15:39:56,32.42,20.43,8.83,52.85,4824.0,5729.0,1.0
2020-05-02,2020,paired_daylight_walk,2020-05-02 14:46:22,32.22,32.15,20.8,64.37,5663.0,6715.0,1.0
2020-05-04,2020,single_daylight_walk,2020-05-04 17:18:10,31.23,,,31.23,2793.0,3289.0,1.0
2020-05-05,2020,paired_daylight_walk,2020-05-05 16:06:30,31.84,32.26,12.93,64.1,5720.0,6688.0,1.0
2020-05-07,2020,paired_daylight_walk,2020-05-07 14:13:56,34.22,31.97,37.25,66.19,5363.0,6812.0,1.0
2020-05-09,2020,paired_daylight_walk,2020-05-09 15:58:06,31.45,31.35,14.13,62.8,5671.0,6624.0,1.0
2020-05-10,2020,paired_daylight_walk,2020-05-10 16:21:18,34.05,34.8,32.33,68.85,5671.0,6899.0,1.0
2020-06-02,2020,paired_daylight_walk,2020-06-02 14:20:47,33.53,33.79,17.35,67.32,5598.0,6761.0,1.0
2020-06-03,2020,single_daylight_walk,2020-06-03 18:32:41,35.44,,,35.44,2322.48,0.0,4.0
2020-06-04,2020,paired_daylight_walk,2020-06-04 15:02:03,35.05,25.2,6.97,60.25,5041.0,6192.0,1.0
2020-06-09,2020,paired_daylight_walk,2020-06-09 15:02:22,25.47,34.58,15.58,60.05,5546.0,5304.0,1.0
2020-06-10,2020,single_daylight_walk,2020-06-10 17:50:51,32.15,,,32.15,2816.0,3347.0,1.0
2020-06-11,2020,single_daylight_walk,2020-06-11 15:04:55,36.02,,,36.02,2819.0,3587.0,1.0
2020-06-14,2020,paired_daylight_walk,2020-06-14 16:05:38,33.2,27.53,22.32,60.73,4864.0,6105.0,1.0
2020-06-16,2020,paired_daylight_walk,2020-06-16 14:59:14,33.32,26.63,24.4,59.95,4995.0,6159.0,1.0
2020-06-18,2020,paired_daylight_walk,2020-06-18 14:32:16,35.39,27.18,25.1,62.57,4952.0,6338.0,1.0
2020-06-20,2020,paired_daylight_walk,2020-06-20 17:35:48,33.43,36.04,18.38,69.47,5756.0,7071.0,1.0
2020-06-22,2020,paired_daylight_walk,2020-06-22 14:30:11,36.13,36.81,17.93,72.94,5734.0,7250.0,1.0
2020-06-23,2020,paired_daylight_walk,2020-06-23 14:26:14,35.42,29.14,14.22,64.56,5037.0,6402.0,1.0
2020-06-25,2020,paired_daylight_walk,2020-06-25 14:26:05,28.02,27.38,12.15,55.4,4277.0,5548.0,1.0
2020-08-16,2020,paired_daylight_walk,2020-08-16 14:36:13,38.78,35.8,22.25,74.58,5575.57,7176.0,"1.0,4.0"
2020-08-19,2020,single_daylight_walk,2020-08-19 16:10:43,35.52,,,35.52,2834.0,3564.0,1.0
2020-08-21,2020,single_daylight_walk,2020-08-21 15:53:06,33.99,,,33.99,2859.91,3388.0,1.0
2020-08-22,2020,single_daylight_walk,2020-08-22 17:35:33,35.49,,,35.49,2879.0,3558.0,1.0
2020-08-24,2020,single_daylight_walk,2020-08-24 18:14:49,33.23,,,33.23,2708.0,3346.0,1.0
2020-08-29,2020,borderline_paired_daylight_walk,2020-08-29 16:13:27,34.07,13.67,16.95,47.74,3716.98,0.0,4.0
2020-08-31,2020,single_daylight_walk,2020-08-31 15:49:46,34.15,,,34.15,2918.66,3455.0,1.0
2020-09-07,2020,single_daylight_walk,2020-09-07 16:01:32,33.99,,,33.99,2851.47,3404.0,1.0
2020-09-14,2020,single_daylight_walk,2020-09-14 15:07:57,35.17,,,35.17,2870.74,3497.0,1.0
2020-09-17,2020,single_daylight_walk,2020-09-17 15:29:09,24.86,,,24.86,1646.46,2204.0,4.0
2020-09-21,2020,single_daylight_walk,2020-09-21 14:45:30,35.89,,,35.89,2536.95,3416.0,4.0
2020-09-22,2020,single_daylight_walk,2020-09-22 15:52:02,38.42,,,38.42,2707.45,3729.0,4.0
2020-09-23,2020,single_daylight_walk,2020-09-23 17:41:08,39.62,,,39.62,2990.46,3958.0,4.0
2020-09-28,2020,single_daylight_walk,2020-09-28 18:57:20,27.42,,,27.42,2202.39,2540.0,1.0
2020-10-01,2020,single_daylight_walk,2020-10-01 15:45:55,26.4,,,26.4,1763.19,2451.0,4.0
2020-10-10,2020,single_daylight_walk,2020-10-10 16:53:00,33.24,,,33.24,2206.54,2970.0,4.0
2020-10-12,2020,single_daylight_walk,2020-10-12 12:42:13,36.8,,,36.8,2867.91,0.0,4.0
