date,window_steps,active_minutes,span_minutes,steps_per_active_min,steps_per_span_min,top30_share,top60_share,walk_regime
2026-02-20,63.0,5,91.0,12.6,0.6923,0.6667,0.6667,single_daylight_walk
2026-02-21,81.0,4,44.0,20.25,1.8409,0.7037,1.0,
2026-02-22,36.0,3,5.0,12.0,7.2,1.0,1.0,
2026-02-23,110.0,5,27.0,22.0,4.0741,1.0,1.0,
2026-02-24,57.0,3,33.0,19.0,1.7273,0.8772,1.0,
2026-02-25,37.0,2,2.0,18.5,18.5,1.0,1.0,
2026-02-27,235.0,13,114.0,18.0769,2.0614,0.7149,0.7149,
2026-02-28,23.0,2,3.0,11.5,7.6667,1.0,1.0,
2026-03-01,76.0,4,76.0,19.0,1.0,0.5658,0.5658,
2026-03-02,3068.0,45,184.0,68.1778,16.6739,0.7314,0.9345,
2026-03-04,86.0,5,27.0,17.2,3.1852,1.0,1.0,
2026-03-05,69.0,7,171.0,9.8571,0.4035,0.7536,0.7536,single_daylight_walk
2026-03-06,284.0,10,77.0,28.4,3.6883,0.8873,0.8873,single_daylight_walk
2026-03-07,1716.0,18,168.0,95.3333,10.2143,0.9481,0.9709,single_daylight_walk
2026-03-08,6.0,1,1.0,6.0,6.0,1.0,1.0,
2026-03-09,4743.0,66,247.0,71.8636,19.2024,0.4881,0.7588,
2026-03-10,1484.0,22,174.0,67.4545,8.5287,0.845,0.845,single_daylight_walk
2026-03-11,56.0,4,47.0,14.0,1.1915,0.7679,1.0,
2026-03-12,360.0,11,262.0,32.7273,1.374,0.5111,0.9167,
2026-03-13,179.0,8,218.0,22.375,0.8211,0.3966,0.486,
2026-03-14,1328.0,47,175.0,28.2553,7.5886,0.5633,0.808,
2026-03-15,610.0,30,172.0,20.3333,3.5465,0.3426,0.4295,
2026-03-16,2701.0,52,187.0,51.9423,14.4439,0.4809,0.7845,
2026-03-17,34.0,3,47.0,11.3333,0.7234,0.8235,1.0,
2026-03-18,64.0,3,153.0,21.3333,0.4183,0.8594,0.8594,
2026-03-19,49.0,3,100.0,16.3333,0.49,0.5102,0.5102,
2026-03-20,19.0,1,1.0,19.0,19.0,1.0,1.0,
2026-03-21,1494.0,25,115.0,59.76,12.9913,0.9598,0.9772,
2026-03-22,1644.0,36,37.0,45.6667,44.4324,0.8893,1.0,
2026-03-23,5393.0,89,209.0,60.5955,25.8038,0.3645,0.5895,
