model,term,coef
overall,intercept,98.431581
overall,fat_mass_lbs,-0.010682
overall,on_tirz,-0.245628
overall,phase_falling,0.064946
overall,phase_rising,0.314949
overall,effective_level,0.01154
on_tirz_only,intercept,98.294726
on_tirz_only,fat_mass_lbs,-0.011454
on_tirz_only,phase_falling,0.024809
on_tirz_only,phase_rising,0.223547
on_tirz_only,effective_level,0.009752
pre_tirz_only,intercept,98.298243
pre_tirz_only,fat_mass_lbs,-0.009131
pre_tirz_only,phase_falling,0.0
pre_tirz_only,phase_rising,0.396298
