date,calories,carbs_g,observed_weight_lbs,glycogen_g,glycogen_correction_lbs,interpolated_weight_lbs,smoothed_weight_lbs,tdee,window_id
2011-04-20,1782,356,,402.0,0.1314,,,,-1
2011-04-21,1649,229,262.0,520.8,-0.8373,262.0,261.16,2803.0,0
2011-04-22,2153,313,,463.1,-0.6153,261.45,260.83,2803.0,0
2011-04-23,1703,224,260.0,507.2,-0.5384,260.0,259.46,2803.0,0
2011-04-24,3158,426,,451.7,-0.7996,259.95,259.15,2803.0,0
2011-04-25,1426,187,,540.7,-0.8424,260.09,259.25,2803.0,0
2011-04-26,1882,206,,441.6,-0.142,259.0,258.85,2803.0,0
2011-04-27,1542,209,261.2,401.8,-0.5201,261.2,260.68,2803.0,0
2011-04-28,1669,231,,382.2,0.1408,260.18,260.32,2803.0,0
2011-04-29,1515,207,,390.5,0.0607,259.93,260.0,2803.0,0
2011-04-30,2117,294,,374.5,0.8768,258.75,259.63,2803.0,0
2011-05-01,2290,351,,452.2,-0.4992,259.93,259.43,2803.0,0
2011-05-02,1432,210,,540.9,-0.9825,260.27,259.28,2803.0,0
2011-05-03,1381,211,,459.5,-0.4043,259.3,258.89,2803.0,0
2011-05-04,1678,249,257.4,415.5,0.1832,257.4,257.58,3070.0,1
2011-05-05,2288,323,257.4,422.3,-0.4965,257.4,256.9,3070.0,1
2011-05-06,2284,243,,501.2,-1.4329,258.11,256.68,3070.0,1
2011-05-07,2268,305,,463.1,-0.7289,257.18,256.46,3070.0,1
2011-05-08,1876,299,,499.0,-1.028,257.25,256.23,3070.0,1
2011-05-09,3661,482,,507.1,-0.7311,256.62,255.89,3070.0,1
2011-05-10,2533,302,,562.8,-1.5534,257.61,256.05,3070.0,1
2011-05-11,1955,221,,542.5,-2.085,257.99,255.9,3070.0,1
2011-05-12,3170,352,,468.9,-1.5036,257.09,255.58,3070.0,1
2011-05-13,3105,344,,547.6,-1.1341,256.75,255.61,3070.0,1
2011-05-14,3492,411,,572.8,-2.2227,257.84,255.62,3070.0,1
2011-05-15,2352,255,,589.1,-1.9764,257.72,255.74,3070.0,1
