date,meal,food_name,calories,carbs,fat,protein,cholest,sodium,sugars,fiber
2011-04-20,Breakfast,"Kellogg's - Raisin Bran Crunch, 1 Cup",190,45,1,3,0,210,20,4
2011-04-20,Breakfast,"Mayfield - 1% Nurture Low Fat Milk, 0.5 cup",55,7,1,4,5,63,6,0
2011-04-20,Lunch,"Simply Apple - Apple Juice, 8 fl oz",120,30,0,0,0,5,28,0
2011-04-20,Lunch,"Annie Chun's™ - Organic Teriyaki Chow Mein Noodles, 1 Box (77g)",661,129,5,24,0,1.772,21,3
2011-04-20,Dinner,"Simply Apple - Apple Juice, 8 fl oz",120,30,0,0,0,5,28,0
2011-04-20,Dinner,"A Taste of Thai - Pad Thai Noodles-Quick Meal, 1 pkg",520,101,8,10,0,521,27,1
2011-04-21,Snacks,"Nestle - Chocolate Turtles, 1 piece",90,10,5,1,0,15,8,0
2011-04-21,Snacks,"3 Musketeers - Mint Mini With Dark Chocolate , 1 piece",26,4,0,0,0,11,4,0
2011-04-21,Breakfast,"Kellogg's - Raisin Bran Crunch, 1 Cup",190,45,1,3,0,210,20,4
2011-04-21,Breakfast,"Mayfield - 1% Nurture Low Fat Milk, 0.5 cup",55,7,1,4,5,63,6,0
2011-04-21,Lunch,"Morningstar Farms - Meal Starters--Chik'n'strips, 1 container (30 sticks ea.)",350,15,9,58,0,1.275,3,3
2011-04-21,Lunch,"Simply Apple - Apple Juice, 8 fl oz",120,30,0,0,0,5,28,0
2011-04-21,Lunch,"Kroger - Asian Style Vegetables, 1 container (3 cups ea.)",120,16,0,4,0,40,8,4
2011-04-21,Lunch,"La Choy - Teriyaki Stir-Fry Sauce, 0.25 container (24 tbsp ea.)",60,18,0,0,0,630,6,0
2011-04-21,Dinner,"Morningstar Farms - Hickory Bbq Riblets, 1 riblet with sauce",220,35,4,18,0,810,24,5
2011-04-21,Dinner,"Dole - 100% Juice - Pineapple Juice, 8 oz",130,30,0,1,0,10,26,0
2011-04-22,Snacks,Starbucks - Iced Caffe Latte - Grande,NA,NA,NA,1,NA,NA,NA,NA
2011-04-22,Snacks,"Generic - Crepes, 1 crepe",104,17,8,1,12,160,4,0
2011-04-22,Snacks,"Bel Gioioso - Fresh Mozarella Cheese, 3 oz",210,3,0,15,60,255,0,0
2011-04-22,Breakfast,"Kellogs Frosted Flakes - Cereal, 1 cup",147,36,0,1,0,187,15,1
2011-04-22,Breakfast,"Mayfield - 1% Nurture Low Fat Milk, 0.5 cup",55,7,1,4,5,63,6,0
2011-04-22,Lunch,"A Taste of Thai - Pad Thai Noodles-Quick Meal, 1 pkg",520,101,8,10,0,521,27,1
2011-04-22,Lunch,"Dole - 100% Juice - Pineapple Juice, 8 oz",130,30,0,1,0,10,26,0
2011-04-22,Lunch,"Godiva Chocolatier - Assorted Truffles Limited Edition, 3 pieces",315,29,21,3,15,60,24,3
2011-04-22,Lunch,"Godiva Chocolatier - Assorted Truffles- Milk & Dark, 1 pieces",53,6,3,1,4,9,5,1
2011-04-22,Dinner,Morningstar,NA,NA,NA,NA,0.5,NA,NA,NA
2011-04-22,Dinner,Kroger - Frozen Stir,NA,NA,NA,NA,0.5,NA,NA,NA
2011-04-22,Dinner,"Buitoni - Alfredo Sauce, 0.3 container (1 1/10 cups ea.)",189,5,16,5,41,473,3,0
2011-04-22,Dinner,"Simply Apple - Apple Juice, 8 fl oz",120,30,0,0,0,5,28,0
