Date,Calories
4/20/2011,1782
4/21/2011,1649
4/22/2011,2153
4/23/2011,1703
4/24/2011,3158
4/25/2011,1426
4/26/2011,1882
4/27/2011,1542
4/28/2011,1669
4/29/2011,1515
4/30/2011,2117
5/1/2011,2290
5/2/2011,1432
5/3/2011,1381
5/4/2011,1679
5/5/2011,2289
5/6/2011,2284
5/7/2011,2268
5/8/2011,1877
5/9/2011,3661
5/10/2011,2533
5/11/2011,1955
5/12/2011,3170
5/13/2011,3106
5/14/2011,3492
5/15/2011,2352
5/16/2011,3122
5/17/2011,2809
5/18/2011,2379
5/19/2011,1735
5/20/2011,1875
5/21/2011,1876
5/22/2011,2053
5/23/2011,1646
5/24/2011,1749
5/25/2011,1787
5/26/2011,1531
5/27/2011,1778
5/28/2011,1307
5/29/2011,1224
5/30/2011,1402
5/31/2011,1696
6/1/2011,1663
6/2/2011,2354
6/3/2011,1838
6/4/2011,1759
6/5/2011,1786
6/6/2011,1701
6/7/2011,1665
6/8/2011,1414
6/9/2011,1303
6/10/2011,1322
6/11/2011,1738
6/12/2011,1419
6/13/2011,1390
6/14/2011,1576
6/15/2011,1468
6/16/2011,1585
6/17/2011,1522
6/18/2011,1841
6/19/2011,1455
6/20/2011,1786
6/21/2011,2687
6/22/2011,1170
6/23/2011,1860
6/24/2011,1731
6/25/2011,2463
6/26/2011,2016
6/27/2011,1890
6/28/2011,1931
6/29/2011,1457
6/30/2011,2279
7/1/2011,1839
7/2/2011,1553
7/3/2011,1705
7/4/2011,2024
7/5/2011,1406
7/6/2011,1801
7/7/2011,1701
7/8/2011,1618
7/9/2011,1600
7/10/2011,1769
7/11/2011,1642
7/12/2011,1623
7/13/2011,1623
7/14/2011,1578
7/15/2011,1581
7/16/2011,1567
7/17/2011,1566
7/18/2011,1672
7/19/2011,2112
7/20/2011,1595
7/21/2011,1680
7/22/2011,2380
7/23/2011,1490
7/24/2011,1489
7/25/2011,1468
7/26/2011,1556
7/27/2011,2078
7/28/2011,2592
7/29/2011,2028
7/30/2011,1922
7/31/2011,1465
8/1/2011,1607
8/2/2011,1661
8/3/2011,1559
8/4/2011,1536
8/5/2011,1913
8/6/2011,1605
8/7/2011,2051
8/8/2011,1636
8/9/2011,1787
8/10/2011,1411
8/11/2011,1582
8/12/2011,2932
8/13/2011,1574
8/14/2011,1484
8/15/2011,1602
8/16/2011,2551
8/17/2011,1366
8/18/2011,1890
8/19/2011,1375
8/20/2011,1790
8/21/2011,1586
8/22/2011,1574
8/23/2011,2033
8/24/2011,1622
8/25/2011,1587
8/26/2011,1723
8/27/2011,2665
8/28/2011,1488
8/29/2011,1679
8/30/2011,1828
8/31/2011,1787
9/1/2011,2350
9/2/2011,2090
9/3/2011,1607
9/4/2011,1628
9/5/2011,1724
9/6/2011,1893
9/7/2011,1556
9/8/2011,1581
9/9/2011,1753
9/10/2011,1549
9/11/2011,1822
9/12/2011,1612
9/13/2011,1576
9/14/2011,1599
9/15/2011,1670
9/16/2011,1616
9/17/2011,2047
9/18/2011,1714
9/19/2011,1565
9/20/2011,2284
9/21/2011,1884
9/22/2011,1899
9/23/2011,2008
9/24/2011,2262
9/25/2011,2206
9/26/2011,1623
9/27/2011,1830
9/28/2011,1791
9/29/2011,1889
9/30/2011,2631
10/1/2011,1377
10/2/2011,1566
10/3/2011,1949
10/4/2011,1792
10/5/2011,1714
10/6/2011,1791
10/7/2011,1688
10/8/2011,1999
10/9/2011,1675
10/10/2011,2070
10/11/2011,1831
10/12/2011,1755
10/13/2011,1777
10/14/2011,1735
10/15/2011,1695
10/16/2011,1691
10/17/2011,3009
10/18/2011,2662
10/19/2011,2887
10/20/2011,2344
10/21/2011,3607
10/22/2011,2410
10/23/2011,2425
10/24/2011,1507
10/25/2011,1876
10/26/2011,1745
10/27/2011,1629
10/28/2011,1897
10/29/2011,2001
10/30/2011,2056
10/31/2011,2027
11/1/2011,2283
11/2/2011,2053
11/3/2011,2551
11/4/2011,1796
11/5/2011,1870
11/6/2011,1768
11/7/2011,1741
11/8/2011,2585
11/9/2011,1932
11/10/2011,2384
11/11/2011,1846
11/12/2011,1806
11/13/2011,2509
11/14/2011,3454
11/15/2011,2338
11/16/2011,2323
11/17/2011,1605
11/18/2011,1473
11/19/2011,1493
11/20/2011,1506
11/21/2011,1653
11/22/2011,2507
11/23/2011,2177
11/24/2011,2269
11/25/2011,2624
11/26/2011,1667
11/27/2011,1907
11/28/2011,2024
11/29/2011,1957
11/30/2011,1642
12/1/2011,1607
12/2/2011,2002
12/3/2011,1955
12/4/2011,1515
12/5/2011,1406
12/6/2011,1807
12/7/2011,1684
12/8/2011,1821
12/9/2011,2326
12/10/2011,1424
12/11/2011,1774
12/12/2011,1544
12/13/2011,1938
12/14/2011,1769
12/15/2011,1669
12/16/2011,1505
12/17/2011,1880
12/18/2011,1726
12/19/2011,1806
12/20/2011,2368
12/21/2011,2088
12/22/2011,1725
12/23/2011,2258
12/24/2011,3777
12/25/2011,3084
12/26/2011,1989
12/27/2011,1524
12/28/2011,1104
12/29/2011,1662
12/30/2011,1462
12/31/2011,2466
1/1/2012,2163
1/2/2012,2104
1/3/2012,3278
1/4/2012,3151
1/5/2012,1530
1/6/2012,1740
1/7/2012,1652
1/8/2012,2633
1/9/2012,1884
1/10/2012,1683
1/11/2012,2873
1/12/2012,1700
1/13/2012,1897
1/14/2012,2062
1/15/2012,2303
1/16/2012,2055
1/17/2012,2170
1/18/2012,1565
1/19/2012,1595
1/20/2012,1393
1/21/2012,1676
1/22/2012,1479
1/23/2012,1807
1/24/2012,1796
1/25/2012,1742
1/26/2012,1660
1/27/2012,2316
1/28/2012,2340
1/29/2012,1810
1/30/2012,1426
1/31/2012,2744
2/1/2012,1505
2/2/2012,1654
2/3/2012,1659
2/4/2012,1670
2/5/2012,1552
2/6/2012,1783
2/7/2012,1524
2/8/2012,1497
2/9/2012,1566
2/10/2012,2265
2/11/2012,1705
2/12/2012,1780
2/13/2012,1866
2/14/2012,1885
2/15/2012,1685
2/16/2012,1765
2/17/2012,1863
2/18/2012,1975
2/19/2012,1769
2/20/2012,2060
2/21/2012,1928
2/22/2012,2152
2/23/2012,1706
2/24/2012,1795
2/25/2012,2437
2/26/2012,2278
2/27/2012,1825
2/28/2012,1992
2/29/2012,2292
3/1/2012,2925
3/2/2012,2355
3/3/2012,2643
3/4/2012,2698
3/5/2012,2942
3/6/2012,2741
3/7/2012,1889
3/8/2012,1920
3/9/2012,1659
3/10/2012,2063
3/11/2012,1752
3/12/2012,1723
3/13/2012,2117
3/14/2012,1861
3/15/2012,2433
3/16/2012,2013
3/17/2012,2535
3/18/2012,2472
