Date,Calories
2018-02-19,1245
2018-02-20,2412
2018-02-21,2082
2018-02-22,2219
2018-02-23,2009
2018-02-24,1979
2018-02-25,2204
2018-02-26,1859
2018-02-27,1962
2018-02-28,2049
2018-03-01,1732
2018-03-02,2927
2018-03-03,2107
2018-03-04,1915
2018-03-05,2110
2018-03-06,1972
2018-03-07,2045
2018-03-08,1983
2018-03-09,2251
2018-03-10,2387
2018-03-11,2415
2018-03-12,2659
2018-03-13,2366
2018-03-14,2407
2018-03-15,1760
2018-03-16,1820
2018-03-17,1997
2018-03-18,2271
2018-03-19,2507
2018-03-20,2276
2018-03-21,2270
2018-03-22,1653
2018-03-23,2135
2018-03-24,1870
2018-03-25,1828
2018-03-26,2095
2018-03-27,1722
2018-03-28,1848
2018-03-29,1957
2018-03-30,2040
2018-03-31,1780
2018-04-01,1923
2018-04-02,2180
2018-04-03,1810
2018-04-04,2200
2018-04-05,1827
2018-04-06,2555
2018-04-07,1778
2018-04-08,1760
2018-04-09,2085
2018-04-10,1544
2018-04-11,2160
2018-04-12,2664
2018-04-13,1412
2018-04-14,1774
2018-04-15,1881
2018-04-16,1960
2018-04-17,1921
2018-04-18,2019
2018-04-19,1833
2018-04-20,2433
2018-04-21,3086
2018-04-22,2816
2018-04-23,1835
2018-04-24,1781
2018-04-25,1910
2018-04-26,2208
2018-04-27,2027
2018-04-28,1972
2018-04-29,2010
2018-04-30,2364
2018-05-01,2800
2018-05-02,2087
2018-05-03,2529
2018-05-04,2669
2018-05-05,2807
2018-05-06,2311
2018-05-07,2199
2018-05-08,1847
2018-05-09,1864
2018-05-10,1804
2018-05-11,1923
2018-05-12,1936
2018-05-13,1779
2018-05-14,1949
2018-05-15,1650
2018-05-16,2131
2018-05-17,1945
2018-05-18,2366
2018-05-19,1888
2018-05-20,1789
2018-05-21,2163
2018-05-22,1833
2018-05-23,1944
2018-05-24,2025
2018-05-25,1936
2018-05-26,2432
2018-05-27,1907
2018-05-28,1774
2018-05-29,1790
2018-05-30,2059
2018-05-31,1770
2018-06-01,2047
2018-06-02,1675
2018-06-03,2370
2018-06-04,2383
2018-06-05,3462
2018-06-06,2236
2018-06-07,1510
2018-06-08,1902
2018-06-09,2215
2018-06-10,2389
2018-06-11,1944
2018-06-12,1625
2018-06-13,1912
2018-06-14,1825
2018-06-15,1902
2018-06-16,1838
2018-06-17,1949
2018-06-18,1906
2018-06-19,1892
2018-06-20,2154
2018-06-21,1767
2018-06-22,1795
2018-06-23,1860
2018-06-24,1717
2018-06-25,2016
2018-06-26,1972
2018-06-27,2062
2018-06-28,2407
2018-06-29,2400
2018-06-30,2522
2018-07-01,3025
2018-07-02,2876
2018-07-03,3089
2018-07-04,3316
2018-07-05,1515
2018-07-06,1984
2018-07-07,1867
2018-07-08,2490
2018-07-09,1719
2018-07-10,2437
2018-07-11,1790
2018-07-12,2496
