Date,Calories
2022-09-01,2035
2022-09-02,2750
2022-09-03,2614
2022-09-04,2526
2022-09-05,2133
2022-09-06,2340
2022-09-07,1872
2022-09-08,1699
2022-09-09,2328
2022-09-10,2303
2022-09-11,1939
2022-09-12,2270
2022-09-13,2854
2022-09-14,2932
2022-09-15,2492
2022-09-16,3154
2022-09-17,2472
2022-09-18,2505
2022-09-19,2302
2022-09-20,2326
2022-09-21,2507
2022-09-22,2615
2022-09-23,2333
2022-09-24,3949
2022-09-25,2435
2022-09-26,1720
2022-09-27,1949
2022-09-28,1861
2022-09-29,1811
2022-09-30,2158
2022-09-01,2035
2022-09-02,2750
2022-09-03,2614
2022-09-04,2526
2022-09-05,2133
2022-09-06,2340
2022-09-07,1872
2022-09-08,1699
2022-09-09,2328
2022-09-10,2303
2022-09-11,1939
2022-09-12,2270
2022-09-13,2854
2022-09-14,2932
2022-09-15,2492
2022-09-16,3154
2022-09-17,2472
2022-09-18,2505
2022-09-19,2302
2022-09-20,2326
2022-09-21,2507
2022-09-22,2615
2022-09-23,2333
2022-09-24,3949
2022-09-25,2435
2022-09-26,1720
2022-09-27,1949
2022-09-28,1861
2022-09-29,1811
2022-09-30,2158
2022-10-01,3246
2022-10-02,2050
2022-10-03,1991
2022-10-04,2230
2022-10-05,2540
2022-10-06,2354
2022-10-07,2761
2022-10-08,2081
2022-10-09,2530
2022-10-10,1795
2022-10-11,1688
2022-10-12,1793
2022-10-13,1702
2022-10-14,1675
2022-10-15,1702
2022-10-16,1710
2022-10-17,1708
2022-10-18,1780
2022-10-19,1874
2022-10-20,2657
2022-10-21,3416
2022-10-22,3630
2022-10-23,3400
2022-10-24,3542
2022-10-25,3688
2022-10-26,2145
2022-10-27,3073
2022-10-28,2784
2022-10-29,2134
2022-10-30,2719
2022-10-31,2062
2022-11-01,2922
2022-11-02,1820
2022-11-03,1918
2022-11-04,2278
2022-11-05,1873
2022-11-06,2553
2022-11-07,2273
2022-11-08,3351
2022-11-09,2198
2022-11-10,2695
2022-11-11,2434
2022-11-12,2542
2022-11-13,1506
2022-11-14,1506
2022-11-15,1741
2022-11-16,1521
2022-11-17,1658
2022-11-18,2201
2022-11-19,1381
2022-11-20,1698
2022-11-21,1583
2022-11-22,2028
2022-11-23,1583
2022-11-24,1717
2022-11-25,2179
2022-11-26,2921
2022-11-27,3120
2022-11-28,2880
2022-11-29,3130
2022-11-30,2378
2022-12-01,2354
2022-12-02,3639
2022-12-03,2281
2022-12-04,2303
2022-12-05,2527
2022-12-06,2522
2022-12-07,2601
2022-12-08,3343
2022-12-09,2762
2022-12-10,2376
2022-12-11,2208
2022-12-12,2836
2022-12-13,2374
2022-12-14,3333
2022-12-15,4527
2022-12-16,2541
2022-12-17,2510
2022-12-18,2857
2022-12-19,2727
2022-12-20,2508
2022-12-21,3614
2022-12-22,2552
2022-12-23,2491
2022-12-24,3060
2022-12-25,2991
2022-12-26,2988
2022-12-27,3047
2022-12-28,2267
2022-12-29,2198
2022-12-30,2026
2022-12-31,3654
2023-01-01,1668
2023-01-02,1368
2023-01-03,1725
2023-01-04,1882
2023-01-05,2149
2023-01-06,1378
2023-01-07,2212
2023-01-08,2234
2023-01-09,1451
2023-01-10,2316
2023-01-11,1588
2023-01-12,2249
2023-01-13,1441
2023-01-14,2614
2023-01-15,2365
2023-01-16,1498
2023-01-17,2583
2023-01-18,1508
2023-01-19,2825
2023-01-20,2951
2023-01-21,1498
2023-01-22,2381
2023-01-23,1498
2023-01-24,2394
2023-01-25,1590
