month,days,items,item_cal_sum,daily_cal_sum,checksums_match
2011-04,11,95,20596,20596,YES
2011-05,31,323,65731,65731,YES
2011-06,30,308,52067,52067,YES
2011-07,31,278,53719,53719,YES
2011-08,31,290,54483,54483,YES
2011-09,30,314,55255,55255,YES
2011-10,31,306,62183,62183,YES
2011-11,30,301,61739,61739,YES
2011-12,31,285,58663,58663,YES
2012-01,31,312,62227,62227,YES
2012-02,29,297,53433,53433,YES
2012-03,31,306,62581,62581,YES
2012-04,30,297,61866,61866,YES
2012-05,31,315,64426,64426,YES
2012-06,30,301,60518,60518,YES
2012-07,31,356,66802,66802,YES
2012-08,31,325,60941,60941,YES
2012-09,30,279,54717,54717,YES
2012-10,31,245,71499,71499,YES
2012-11,30,259,69306,69306,YES
2012-12,31,248,65939,65939,YES
2013-01,31,271,60105,60105,YES
2013-02,28,230,48680,48680,YES
2013-03,31,267,54276,54276,YES
2013-04,30,260,58464,58464,YES
2013-05,31,305,58018,58018,YES
2013-06,30,264,66464,66464,YES
2013-07,31,246,56089,56089,YES
2013-08,31,243,57823,57823,YES
2013-09,30,216,57556,57556,YES
2013-10,31,265,64602,64602,YES
2013-11,30,266,64766,64766,YES
2013-12,31,262,69702,69702,YES
2014-01,31,246,61385,61385,YES
2014-02,28,275,62621,62621,YES
2014-03,31,290,63786,63786,YES
2014-04,30,285,65890,65890,YES
2014-05,31,271,64615,64615,YES
2014-06,30,260,59846,59846,YES
2014-07,31,310,72605,72605,YES
2014-08,31,278,62235,62235,YES
2014-09,30,295,75019,75019,YES
2014-10,31,286,73292,73292,YES
2014-11,30,279,73440,73440,YES
2014-12,31,288,77399,77399,YES
2015-01,31,252,67524,67524,YES
2015-02,28,226,53852,53852,YES
2015-03,31,256,64614,64614,YES
2015-04,30,274,72154,72154,YES
2015-05,31,277,73733,73733,YES
2015-06,30,287,64289,64289,YES
2015-07,31,279,63793,63793,YES
2015-08,31,281,69993,69993,YES
2015-09,30,285,87801,87801,YES
2015-10,31,329,66974,66974,YES
2015-11,30,301,62609,62609,YES
2015-12,31,289,63680,63680,YES
2016-01,31,295,50606,50606,YES
2016-02,29,278,47032,47032,YES
2016-03,31,311,48709,48709,YES
2016-04,30,293,69214,69214,YES
2016-05,31,272,66995,66995,YES
2016-06,30,276,66314,66314,YES
2016-07,31,365,71796,71796,YES
2016-08,31,329,74921,74921,YES
2016-09,30,281,55104,55104,YES
2016-10,31,326,79123,79123,YES
2016-11,30,302,72738,72738,YES
2016-12,31,283,74422,74422,YES
2017-01,31,290,71433,71433,YES
2017-02,28,236,70757,70757,YES
2017-03,31,276,67942,67942,YES
2017-04,30,277,64814,64814,YES
2017-05,31,260,75540,75540,YES
2017-06,30,216,62748,62748,YES
2017-07,31,273,79962,79962,YES
2017-08,31,259,75903,75903,YES
2017-09,30,265,61428,61428,YES
2017-10,31,454,57855,57855,YES
2017-11,30,381,68096,68096,YES
2017-12,31,336,69377,69377,YES
2018-01,31,330,64561,64561,YES
2018-02,28,337,57514,57514,YES
2018-03,31,366,65105,65105,YES
2018-04,30,345,61632,61632,YES
2018-05,31,337,63906,63906,YES
2018-06,30,313,61654,61654,YES
2018-07,31,291,62112,62112,YES
2018-08,31,282,71769,71769,YES
2018-09,30,281,65763,65763,YES
2018-10,31,295,66765,66765,YES
2018-11,30,259,58045,58045,YES
2018-12,31,255,67191,67191,YES
2019-01,31,232,59262,59262,YES
2019-02,28,221,58540,58540,YES
2019-03,31,274,60603,60603,YES
2019-04,30,305,63508,63508,YES
2019-05,31,251,57505,57505,YES
2019-06,30,266,76167,76167,YES
2019-07,31,244,49784,49784,YES
2019-08,31,248,65996,65996,YES
2019-09,30,260,53941,53941,YES
2019-10,31,275,60707,60707,YES
