date,calories,carbs_g,fat_g,protein_g,chol_mg,sodium_mg,sugar_g,fiber_g
2011-04-19,1265,155,46,43,23,2828,54,17
2011-04-20,1782,356,20,42,5,2602,142,8
2011-04-21,1649,229,23,112,82,3558,136,16
2011-04-22,2153,313,54,62,85,2006,137,9
2011-04-23,1703,224,55,82,165,4506,88,24
2011-04-24,3158,426,138,25,5,2034,100,15
2011-04-25,1426,187,57,49,84,2611,40,13
2011-04-26,1882,206,84,75,89,5042,51,23
2011-04-27,1542,209,31,109,90,3415,81,12
2011-04-28,1669,231,49,75,71,3439,76,12
2011-04-29,1515,207,21,32,35,1190,71,16
2011-04-30,2117,294,40,51,112,3492,74,10
2011-05-01,2290,351,83,49,132,2496,144,14
2011-05-02,1432,210,39,69,75,2961,100,17
2011-05-03,1381,211,40,50,47,2296,97,13
2011-05-04,1679,249,56,55,50,4362,127,16
2011-05-05,2289,323,74,72,62,5166,100,31
2011-05-06,2284,243,120,76,85,3937,69,19
2011-05-07,2268,305,84,47,9,3880,83,23
2011-05-08,1877,299,63,33,18,2651,126,8
2011-05-09,3661,482,109,48,75,3753,133,28
2011-05-10,2533,302,125,58,36,6122,79,19
2011-05-11,1955,221,97,160,193,6349,58,29
2011-05-12,3170,352,106,39,90,2805,108,23
2011-05-13,3106,344,107,92,173,5691,72,15
2011-05-14,3492,411,138,52,354,4390,89,22
2011-05-15,2352,255,70,42,59,3168,83,17
2011-05-16,3122,369,157,95,198,4978,162,49
2011-05-17,2809,349,130,81,394,4048,84,24
2011-05-18,2379,342,90,65,35,2811,57,8
2011-05-19,1735,247,71,33,83,4103,125,12
2011-05-20,1875,324,43,42,39,2005,95,5
2011-05-21,1876,203,57,60,92,2598,92,23
2011-05-22,2053,201,106,77,155,4781,44,23
2011-05-23,1646,221,49,44,45,3497,99,13
2011-05-24,1749,158,108,50,97,4845,28,10
2011-05-25,1787,259,63,54,60,3880,134,14
2011-05-26,1531,230,60,40,25,3480,23,8
2011-05-27,1778,180,68,33,44,3583,74,9
2011-05-28,1307,191,39,49,65,2349,74,13
2011-05-29,1224,173,50,30,25,2334,52,8
2011-05-30,1402,217,44,45,35,3134,107,13
2011-05-31,1696,201,72,38,45,4664,67,8
2011-06-01,1663,180,91,43,20,2444,61,10
2011-06-02,2354,336,88,74,134,3050,191,36
2011-06-03,1838,181,101,59,25,1781,97,17
2011-06-04,1759,204,68,64,63,3811,71,13
2011-06-05,1786,259,63,53,85,3666,76,11
2011-06-06,1701,259,52,61,69,3629,114,21
2011-06-07,1665,247,59,40,15,6518,82,14
2011-06-08,1414,208,51,38,25,3602,95,13
2011-06-09,1303,198,33,45,18,3534,115,13
2011-06-10,1322,246,23,30,5,2725,112,8
2011-06-11,1738,265,49,59,49,5110,86,11
2011-06-12,1419,131,81,52,45,2606,46,7
2011-06-13,1390,207,50,29,88,1738,76,4
2011-06-14,1576,206,61,60,84,4865,74,8
2011-06-15,1468,162,51,73,45,4451,74,18
2011-06-16,1585,176,79,46,60,5144,81,7
2011-06-17,1522,222,61,45,45,3635,77,14
2011-06-18,1841,276,48,47,5,286,32,16
2011-06-19,1455,205,59,40,40,3540,104,9
2011-06-20,1786,196,78,56,90,4596,62,12
2011-06-21,2687,296,72,58,90,2898,40,17
2011-06-22,1170,131,50,51,80,3104,37,8
2011-06-23,1860,174,84,101,130,6110,18,10
2011-06-24,1731,195,59,60,70,2283,48,13
2011-06-25,2463,218,250,55,0,1982,50,31
2011-06-26,2016,156,96,115,40,2616,41,28
2011-06-27,1890,187,96,50,40,1794,23,13
2011-06-28,1931,268,59,50,120,2617,90,14
2011-06-29,1457,132,67,29,41,648,46,6
2011-06-30,2279,288,81,53,15,3120,58,20
2011-07-01,1839,181,68,83,153,3079,62,15
2011-07-02,1553,172,61,76,129,3228,57,14
2011-07-03,1705,204,63,61,151,2989,95,8
2011-07-04,2024,209,113,41,86,2047,101,9
2011-07-05,1406,187,55,48,54,4952,32,6
2011-07-06,1801,326,38,38,10,2144,102,16
2011-07-07,1701,294,45,47,5,4284,86,21
2011-07-08,1618,239,64,44,15,2282,88,8
2011-07-09,1600,247,53,50,35,3129,80,17
2011-07-10,1769,206,69,93,115,4784,62,24
2011-07-11,1642,251,49,59,55,2231,96,14
2011-07-12,1623,254,50,47,65,2475,55,11
2011-07-13,1623,264,47,36,10,2040,57,5
2011-07-14,1578,245,64,47,25,4271,64,19
