com.samsung.health.device_profile,6261011,7
manufacturer,providing_step_goal,create_sh_ver,step_source_group,device_type,backsync_step_goal,capability,modify_sh_ver,device_group,update_time,create_time,name,model,connectivity_type,deviceuuid,pkg_name,fixed_name,datauuid
Samsung,,,,,,,,360001,2023-09-22 17:07:48.137,2023-09-20 13:41:08.455,My Device,SM-F946U1,,qLIGTXAOb+,com.sec.android.app.shealth,Z Fold5,e2d5b9db-cf6e-574a-3eca-3198525e60a5,
Samsung,,,,,,,,360001,2023-02-17 15:30:40.741,2023-02-17 00:41:07.851,My Device,SM-S918U,,riNzA2w1UR,com.sec.android.app.shealth,Lucent S23 Ultra,07a78b93-bae2-7e9a-882a-f6ba11fb2dc6,
Combined,,,,,,,,0,2023-02-17 01:21:52.202,2023-02-17 01:21:52.202,Combined,Combined,,VfS0qUERdZ,com.sec.android.app.shealth,Michael's S23 Ultra,7af9722c-cd99-07b7-853a-43ce58e819c5,
all_target,,,,,,,,0,2023-02-17 01:21:55.598,2023-02-17 01:21:55.598,all_target,all_target,,Mk66SbFqK1,com.sec.android.app.shealth,Michael's S23 Ultra,471ca32b-a665-1e9e-7c27-7ac69485dc05,
Samsung Electronics,,,,,,,,360003,2018-03-14 16:00:20.694,2016-09-10 16:47:48.998,Jawbone,jawbone.com,,aWUMf5FQ3m,com.sec.android.app.shealth,Lucent-P,c6e26b43-9ac0-0ca4-1f1b-e72a8a6f5a6b,
Samsung,,,,,,,,360001,2022-05-16 00:42:11.489,2022-05-14 01:55:19.606,My Device,SM-X900,,yJDYx96n2w,com.sec.android.app.shealth,Lucent Tablet S8,a0c1d028-1e1b-5031-dce9-870f3d2e4c10,
Samsung,,,,,,,,360001,2018-03-14 16:00:20.694,2016-08-18 15:23:10.093,My Device,SM-N930T,,J9OOjwOhpg,com.sec.android.app.shealth,Galaxy Note7,694173e3-91a1-7e81-74ed-d7b7a91fcb99,
Samsung Electronics,1,,103,10053,1,683179fe-c0a3-48a0-a589-81d039c45019.capability.json,,360003,2022-06-02 22:14:53.891,2022-04-12 16:42:11.564,Galaxy Watch4 Classic,SM-R895U,,iXhk7/SJsz,com.sec.android.app.shealth,Galaxy Z Fold3,683179fe-c0a3-48a0-a589-81d039c45019,
Samsung,,,,,,,,360001,2018-03-14 16:00:20.694,2015-11-19 02:53:46.893,My Device,SM-N920T,,OBFuvbOf82,com.sec.android.app.shealth,,daf2e585-9875-64bc-52fb-bb81fa092173,
Samsung,,,,,,,,360001,2022-11-24 16:48:15.508,2022-06-12 16:25:24.487,My Device,SM-S908U1,,rmpFWNZh7F,com.sec.android.app.shealth,Lucent S22,6dec060b-fe57-6c36-252b-1032843531df,
Samsung Electronics,1,,103,10053,1,b1b66b35-6258-4548-948f-fc214af64179.capability.json,,360003,2022-11-15 16:39:45.612,2022-10-17 22:25:44.482,Galaxy Watch4 Classic,SM-R895U,,UfcsFBuw6B,com.sec.android.app.shealth,,b1b66b35-6258-4548-948f-fc214af64179,
Samsung,,,,,,,,360001,2018-03-14 16:00:20.694,2017-04-19 17:21:24.608,My Device,SM-G955U,,lR4XsWsS9x,com.sec.android.app.shealth,Galaxy S8+,1815f04e-9fc3-2ae3-e559-67bd61b62a9d,
Samsung,,,,10030,,,,360003,2018-03-14 16:00:20.694,2014-11-12 21:49:38.973,Gear S,,7,VkNqn5W6aG,com.sec.android.app.shealth,,56436a9f-95ba-686f-2662-d60bd07d1c28,
