com.samsung.health.food_info,6261011,6
potassium,vitamin_a,vitamin_c,vitamin_d,cholesterol,description,custom,provider_food_id,metric_serving_amount,sodium,dietary_fiber,total_fat,update_time,create_time,monosaturated_fat,protein,polysaturated_fat,iron,name,sugar,added_sugar,calcium,calorie,serving_description,info_provider,deviceuuid,metric_serving_unit,saturated_fat,trans_fat,pkg_name,carbohydrate,unit_count_per_calorie,datauuid,default_number_of_serving_unit
422.0,2.0,17.0,0.0,0.0,"89 kcal, Per 100g",,default-fatsecret-5388,118,1.0,3.1,0.39,2023-02-17 01:21:52.390,2023-02-17 01:21:52.390,0.038,1.29,0.086,2.0,Banana,14.43,0.0,1.0,105.0,medium (7" to 7-7/8" long),,riNzA2w1UR,g,0.132,,com.sec.android.app.shealth,26.95,1.1222222,8905b2cd-b03a-48b9-90cb-4f6eac27ee1f,1,
170.0,17.0,20.0,0.0,0.0,"30 kcal, Per 100g",,default-fatsecret-35984,152,2.0,0.6,0.23,2023-02-17 01:21:52.390,2023-02-17 01:21:52.390,0.056,0.93,0.076,2.0,Watermelon,9.42,0.0,1.0,46.0,"cup, diced",,riNzA2w1UR,g,0.024,,com.sec.android.app.shealth,11.48,3.347826,73b41d16-c102-47d1-b3f0-cfb6f420e0a2,1,
233.0,0.0,149.0,0.0,0.0,"32 kcal, Per 100g",,default-fatsecret-35976,152,2.0,3.0,0.46,2023-02-17 01:21:52.390,2023-02-17 01:21:52.390,0.065,1.02,0.236,4.0,Strawberries,7.08,0.0,2.0,49.0,"cup, halves",,riNzA2w1UR,g,0.023,,com.sec.android.app.shealth,11.67,3.1020408,6f890fe5-342b-4508-93bc-16a6af65f59a,1,
67.0,6.0,0.0,0.0,210.0,"102 kcal, Per 53g",,default-fatsecret-3096,46,238.0,0.0,6.76,2023-02-17 01:21:52.390,2023-02-17 01:21:52.390,2.754,6.24,1.214,5.0,Fried Egg,0.38,0.0,3.0,89.0,large,,riNzA2w1UR,g,1.88,,com.sec.android.app.shealth,0.43,0.5135135,3c397e1c-1339-4951-a1a1-ad04d9b5ee83,1,
301.0,0.0,2.0,0.0,68.0,"110 kcal, Per 100g",,default-fatsecret-4881229,118,77.0,0.0,1.46,2023-02-17 01:21:52.391,2023-02-17 01:21:52.391,0.354,27.25,0.33,5.0,Skinless Chicken Breast,0.0,0.0,1.0,130.0,"breast, bone and skin removed",,riNzA2w1UR,g,0.389,0.024,com.sec.android.app.shealth,0.0,0.9076923,a7449605-f271-4310-8e3d-815e045ffed4,1,
86.0,0.0,0.0,0.0,0.0,"49 kcal, Per 175g",,default-fatsecret-2479597,177,11.0,0.0,1.42,2023-02-17 01:21:52.391,2023-02-17 01:21:52.391,0.04,0.38,0.004,0.0,Coffee with Cream and Sugar,8.51,0.0,0.0,50.0,coffee cup (6 fl oz),,riNzA2w1UR,g,1.295,,com.sec.android.app.shealth,9.14,3.7,e3cebb2b-c024-4032-8991-77f71967b614,1,
111.0,0.0,0.0,0.0,0.0,"1 kcal, Per 100g",,default-fatsecret-7331,237,5.0,0.0,0.05,2023-02-17 01:21:52.391,2023-02-17 01:21:52.391,0.028,0.28,0.002,0.0,Coffee,0.0,0.0,0.0,2.0,mug (8 fl oz),,riNzA2w1UR,g,0.005,,com.sec.android.app.shealth,0.09,88.5,6bb3d94d-c667-43bb-945d-dd4339ef9a64,1,
0.0,0.0,0.0,0.0,0.0,"0 kcal, Per 100g",,default-fatsecret-37922,237,5.0,0.0,0.0,2023-02-17 01:21:52.391,2023-02-17 01:21:52.391,0.0,0.0,0.0,0.0,Water,0.0,0.0,0.0,0.0,cup (8 fl oz),,riNzA2w1UR,g,0.0,,com.sec.android.app.shealth,0.0,,cf2d9656-9d09-474d-ac03-ba2e1717e0ea,1,
,0.0,0.0,0.0,0.0,"140 kcal, Per 1 can",,default-fatsecret-3650710,12,45.0,0.0,0.0,2023-02-17 01:21:52.391,2023-02-17 01:21:52.391,0.0,0.0,0.0,0.0,Coco-Cola Classic (12 oz)(Coca-Cola),39.0,0.0,0.0,140.0,serving,,riNzA2w1UR,oz,0.0,0.0,com.sec.android.app.shealth,39.0,,46d9bd19-716c-4b28-8937-300cc5e6d011,1,
366.0,9.0,1.0,0.0,20.0,"50 kcal, Per 100g",,default-fatsecret-800,244,100.0,0.0,4.81,2023-02-17 01:21:52.391,2023-02-17 01:21:52.391,1.366,8.05,0.178,0.0,2% Fat Milk,12.35,0.0,28.0,122.0,cup,,riNzA2w1UR,g,3.067,,com.sec.android.app.shealth,11.42,2.0,c349d121-6098-462b-a523-6eb101b6e331,1,
0.0,2.0,0.0,,10.0,MyFitnessPal Snacks,,100005-Thu Feb 01 00:00:00 EST 2018,0,50.0,5.0,2.5,2018-02-03 17:56:33.345,2018-02-03 17:56:33.345,0.0,7.0,0.0,2.0,MyFitnessPal Snacks,6.0,,20.0,90.0,,,EHdtKydEi4,,2.0,0.0,com.myfitnesspal.android,12.0,,89c1d24d-3efb-4398-b5af-961319ca2063,,
0.0,2.0,0.0,,10.0,MyFitnessPal Snacks,,100005-Mon Apr 09 00:00:00 CDT 2018,0,160.0,8.0,22.5,2018-04-11 23:56:20.480,2018-04-11 23:56:20.480,0.0,13.6,0.0,20.0,MyFitnessPal Snacks,9.0,,22.0,585.0,,,9wVta8KBzt,,8.0,0.0,com.myfitnesspal.android,27.6,,08b5c824-61e5-4820-80f7-8345c81d2273,,
0.0,2.0,0.0,,10.0,MyFitnessPal Dinner,,100003-Sun Mar 25 00:00:00 EDT 2018,0,50.0,5.0,2.5,2018-03-28 03:08:57.337,2018-03-28 03:08:57.337,0.0,7.6,0.0,2.0,MyFitnessPal Dinner,6.0,,20.0,185.0,,,EHdtKydEi4,,2.0,0.0,com.myfitnesspal.android,14.6,,768b29d4-047d-402e-a293-cb003ad5be46,,
366.0,9.0,1.0,,20.0,"50 kcal, Per 100g",,default-fatsecret-800,244,100.0,0.0,4.81,2015-11-19 02:53:47.017,2015-11-19 02:53:47.017,1.366,8.05,0.178,0.0,2% Fat Milk,12.35,,28.0,122.0,cup,,OBFuvbOf82,g,3.067,,com.sec.android.app.shealth,11.42,2.0,6f5b0e73-932c-45ae-a20a-0c093df4fc52,1,
0.0,242.0,8.0,,45.0,MyFitnessPal Breakfast,,100001-Sat Feb 24 00:00:00 EST 2018,0,1015.0,23.0,58.0,2018-02-26 23:03:33.233,2018-02-26 23:03:33.233,0.0,21.0,0.0,30.0,MyFitnessPal Breakfast,8.0,,52.0,700.0,,,EHdtKydEi4,,28.0,0.0,com.myfitnesspal.android,37.0,,4a0c946d-5e5a-429e-9671-d688385a0aca,,
170.0,17.0,20.0,,0.0,"30 kcal, Per 100g",,default-fatsecret-35984,152,2.0,0.6,0.23,2016-11-04 16:33:07.848,2016-11-04 16:33:07.848,0.056,0.93,0.076,2.0,Watermelon,9.42,,1.0,46.0,"cup, diced",,Q2GTsbBv8Q,g,0.024,,com.sec.android.app.shealth,11.48,3.347826,1b0fe480-a2e7-4f09-ab4c-64e219193c51,1,
450.0,27.0,25.0,,32.0,MyFitnessPal Snacks,,100005-Fri Feb 16 00:00:00 EST 2018,0,370.0,20.0,20.0,2018-02-18 18:55:08.108,2018-02-18 18:55:08.108,2.0,41.0,1.0,33.0,MyFitnessPal Snacks,13.0,,82.0,450.0,,,EHdtKydEi4,,13.0,0.0,com.myfitnesspal.android,37.0,,5172bedf-a534-4dd5-a077-1d42aaeaa6a1,,
