com.samsung.shealth.activity.day_summary,6261011,6
movement_type,create_sh_ver,energy_type,exercise_time,step_count,exercise_calorie_target,active_time,target,others_time,modify_sh_ver,update_time,floors_target,create_time,floor_count,dynamic_active_time_target,exercise_time_target,goal,longest_active_time,score,move_hourly_count,duration_type,move_hourly_target,distance,dynamic_active_time,calorie,extra_data,deviceuuid,run_time,pkg_name,walk_time,longest_idle_time,datauuid,day_time
,,,,1264,,842554,90,0,,2023-02-17 04:49:39.898,,2023-02-17 01:21:55.437,,,,-1,52693,15,,,,948.22986,,69.91993,5d2fe4ae-79b1-4e32-96b5-100e1bdcdca1.extra_data.json,riNzA2w1UR,800,com.sec.android.app.shealth,841754,37800000,5d2fe4ae-79b1-4e32-96b5-100e1bdcdca1,1676505600000,
,,,,9481,,6024869,90,0,,2023-02-17 01:22:45.304,,2023-02-17 01:21:55.534,,,,-1,2151204,111,,,,7666.048,,663.1763,9621b46b-f5aa-44ab-b145-2dbfb551391a.extra_data.json,riNzA2w1UR,400,com.sec.android.app.shealth,6024469,43620000,9621b46b-f5aa-44ab-b145-2dbfb551391a,1674345600000,
,,,,7863,,4941907,90,0,,2023-02-17 01:22:49.398,,2023-02-17 01:21:55.624,,,,-1,4315109,91,,,,6479.268,,568.59796,49d848a4-6ba7-43f4-8c5a-84ef8d6b9d33.extra_data.json,riNzA2w1UR,0,com.sec.android.app.shealth,4941907,28320000,49d848a4-6ba7-43f4-8c5a-84ef8d6b9d33,1674604800000,
,,,,1541,,1027847,90,0,,2023-02-17 01:22:51.382,,2023-02-17 01:21:55.673,,,,-1,60000,18,,,,1128.4197,,66.67999,70301a49-4c90-49e2-b88a-816b8a21e0e9.extra_data.json,riNzA2w1UR,0,com.sec.android.app.shealth,1027847,43860000,70301a49-4c90-49e2-b88a-816b8a21e0e9,1674864000000,
,,,,4322,,2849274,90,0,,2023-02-17 01:22:52.836,,2023-02-17 01:21:55.702,,,,-1,120000,52,,,,3158.6392,,184.59981,28cd297e-aaba-4f9f-beda-11cb66f53752.extra_data.json,riNzA2w1UR,0,com.sec.android.app.shealth,2849274,30480000,28cd297e-aaba-4f9f-beda-11cb66f53752,1675036800000,
,,,,541,,360847,90,0,,2023-02-17 01:22:54.711,,2023-02-17 01:21:55.769,,,,-1,60000,6,,,,401.35995,,17.989998,02ab4c4d-89bd-48d0-8fe7-d7b555f1596b.extra_data.json,riNzA2w1UR,0,com.sec.android.app.shealth,360847,31140000,02ab4c4d-89bd-48d0-8fe7-d7b555f1596b,1675382400000,
,,,,7532,,4597420,90,0,,2023-02-17 01:22:57.789,,2023-02-17 01:21:55.833,,,,-1,2254669,84,,,,5939.1294,,542.09296,1fd821c9-a10b-4977-b3f4-52c5d8687955.extra_data.json,riNzA2w1UR,0,com.sec.android.app.shealth,4597420,41040000,1fd821c9-a10b-4977-b3f4-52c5d8687955,1675728000000,
,,,,293,,195431,90,0,,2023-02-17 01:22:58.027,,2023-02-17 01:21:55.852,,,,-1,25346,3,,,,217.91998,,15.629999,7a00f966-c0f7-4727-b560-18b916c6858b.extra_data.json,riNzA2w1UR,0,com.sec.android.app.shealth,195431,28020000,7a00f966-c0f7-4727-b560-18b916c6858b,1675814400000,
,,,,5810,,3830281,90,0,,2023-02-17 01:23:01.546,,2023-02-17 01:21:55.938,,,,-1,120000,70,,,,4327.191,,311.75,0a16681a-082f-431d-bafc-e52ce934ca04.extra_data.json,riNzA2w1UR,0,com.sec.android.app.shealth,3830281,35340000,0a16681a-082f-431d-bafc-e52ce934ca04,1676246400000,
,,,,1827,,1164488,,0,,2016-08-23 15:22:36.635,,2016-08-18 04:00:43.980,,,,60,120000,31,,,,1436.22,,82.56999,f782b697-0caf-4630-809e-9059df8956d4.extra_data.json,OBFuvbOf82,8000,com.sec.android.app.shealth,1156488,21060000,f782b697-0caf-4630-809e-9059df8956d4,1471478400000,
