com.samsung.shealth.best_records,6242001,2
source_id,device_type,update_time,create_time,source_pkg_name,date,type,value,is_shown,extra_type,deviceuuid,pkg_name,controller_id,datauuid
c4073381-71cd-4a7f-a15a-aa979caff6e7,-1,2023-06-20 14:24:02.433,2016-06-03 21:56:09.794,,1464973008208,5,56.569077,,-1,OBFuvbOf82,com.sec.android.app.shealth,tracker.sport_walking,0f8036c4-36e5-4a0f-bcb9-a336467eb328,
0956d53f-9569-69b8-1b95-64b591cefb08,-1,2023-06-20 14:24:02.402,2016-03-15 15:18:38.242,,1457710019741,4,12.128,,1002,OBFuvbOf82,com.sec.android.app.shealth,tracker.sport_others,41e4af71-2fe4-472f-af14-5f9fcf27658f,
467e7368-2b2e-4fd3-9427-d6ce4fe6811c,-1,2023-06-20 14:24:02.411,2022-02-11 03:48:57.327,,1464446989122,2,253.0,,13001,yEjG51P5jF,com.sec.android.app.shealth,tracker.sport_others,46a496ce-d6bb-4dd0-8d38-52f9dcd3e9be,
,-100003,2023-08-04 05:18:37.069,2023-08-04 05:18:37.069,,1398297600000,0,6440.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,34118418-e04c-4bc6-bd36-f3cc45d0d0ce,
,-100003,2023-08-04 05:18:37.085,2023-08-04 05:18:37.085,,1469059200000,0,20747.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,154969ad-5c66-46a6-baf5-25153256c865,
,-1,2023-08-04 13:27:35.199,2023-08-04 13:27:35.199,,1484265600000,6,14.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,e698cb7c-f055-4f82-9ffb-fc4745cf7127,
,-1,2023-08-04 13:27:35.273,2023-08-04 13:27:35.273,,1592870400000,6,107.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,2d08df7b-f23d-4ffc-90cd-c86db6ad70d9,
142f55c5-a747-8a0d-7a87-ba2e1cf99aa5,-1,2023-06-20 14:24:02.404,2016-06-08 17:58:02.862,,1461757806355,1,6843000.0,,11007,OBFuvbOf82,com.sec.android.app.shealth,tracker.sport_others,32e1fd8d-9127-4af2-89aa-b5af53e685dd,
8c420ba0-677a-525f-de31-35c881e58ca5,-1,2023-06-20 14:24:02.427,2017-05-21 22:48:31.457,,1495380207440,2,1089.622,,-1,lR4XsWsS9x,com.sec.android.app.shealth,tracker.sport_cycling,89f4b2d1-a397-4c6b-9dc2-fafd65ddb190,
a14ba40f-4e37-4f0e-906f-d0a3f70340db,-1,2023-06-20 14:24:02.428,2020-04-06 20:45:27.020,,1586189650029,5,82.082535,,-1,cfxbbbfj2r,com.sec.android.app.shealth,tracker.sport_walking,4851a338-cbd2-49d6-9b56-e470251d9032,
,-100003,2023-08-04 05:18:37.071,2023-08-04 05:18:37.071,,1398384000000,0,10170.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,fa3506a3-2054-4ddb-8a30-49ebbc1491cd,
,-100003,2023-08-04 05:18:37.090,2023-08-04 05:18:37.090,,1478304000000,0,25659.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,b0b85ca4-9ad8-4d67-a15c-e799b41ce751,
,-1,2023-08-04 13:27:35.204,2023-08-04 13:27:35.204,,1487548800000,6,16.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,c44da202-101a-4bbd-98f6-43fdb2de7af1,
4b012ae5-2be8-324c-6775-c05f931c39ae,-1,2023-06-20 14:24:02.416,2016-04-21 18:38:34.582,,1461245049640,3,10516.037,,-1,OBFuvbOf82,com.sec.android.app.shealth,tracker.sport_cycling,e76231e1-a43b-40ac-b3f3-0bb99581e73d,
a40f92c4-63d1-f36c-4efd-c86f22a29706,-1,2023-06-20 14:24:02.431,2017-04-26 00:03:00.960,,1489494444916,2,669.483,,1001,lR4XsWsS9x,com.sec.android.app.shealth,tracker.sport_others,b3274fbe-aa73-4c9d-8223-59310434f81a,
1c1c7c5e-4079-4084-866d-b1d98c326787,-1,2023-06-20 14:24:02.406,2020-05-07 19:57:38.554,,1588865133460,5,109.95257,,-1,cfxbbbfj2r,com.sec.android.app.shealth,tracker.sport_walking,80fd9452-965d-4e84-8768-632597b8c561,
,-100003,2023-08-04 05:18:37.074,2023-08-04 05:18:37.074,,1398470400000,0,10659.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,1d37a807-ee2a-4e32-99e9-7f35b0dcce63,
,-1,2023-08-04 13:27:35.134,2023-08-04 13:27:35.134,,1479772800000,6,6.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,02fd76ed-8ea7-4339-8797-6c5fadc1d86b,
,-1,2023-08-04 13:27:35.225,2023-08-04 13:27:35.225,,1491696000000,6,18.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,9f5d7958-26b3-40cb-9ada-a9b8c62f0e3f,
5d732387-7e88-4b3c-b13b-5a83eb511297,-1,2023-06-20 14:24:02.423,2020-04-06 21:42:24.654,,1586192957354,5,105.62896,,-1,cfxbbbfj2r,com.sec.android.app.shealth,tracker.sport_walking,59636902-20f9-4c42-9207-d639efa5f2e1,
37918bc9-75c4-4dde-835b-2f454c6f3642,-1,2023-06-20 14:24:02.408,2020-06-09 20:19:48.345,,1591717414492,5,168.8373,,-1,cfxbbbfj2r,com.sec.android.app.shealth,tracker.sport_walking,bfdb7a78-ead8-4175-bc4d-ddd22162f118,
899e18ba-4ed2-d9ae-7fc8-0305d3171ad4,-1,2023-06-20 14:24:02.424,2020-06-13 07:29:31.672,,1489414997750,1,1.1430239E7,,-1,cfxbbbfj2r,com.sec.android.app.shealth,tracker.sport_walking,f1f6a627-4c69-4eb5-adef-8da7bc0ca51a,
,-100003,2023-08-04 05:18:37.075,2023-08-04 05:18:37.075,,1398988800000,0,17822.0,,-1,VfS0qUERdZ,com.sec.android.app.shealth,tracker.pedometer,38fb1bc1-1900-4d79-9fa1-396c8cca221d,
