com.samsung.shealth.exercise,6261011,14
live_data_internal,mission_value,race_target,subset_data,start_longitude,routine_datauuid,total_calorie,completion_status,pace_info_id,activity_type,pace_live_data,sensing_status,source_type,mission_type,tracking_status,program_id,title,reward_status,heart_rate_sample_count,start_latitude,mission_extra_value,program_schedule_id,heart_rate_deviceuuid,location_data_internal,custom_id,additional_internal,com.samsung.health.exercise.duration,com.samsung.health.exercise.additional,com.samsung.health.exercise.create_sh_ver,com.samsung.health.exercise.mean_caloricburn_rate,com.samsung.health.exercise.location_data,com.samsung.health.exercise.start_time,com.samsung.health.exercise.exercise_type,com.samsung.health.exercise.custom,com.samsung.health.exercise.max_altitude,com.samsung.health.exercise.incline_distance,com.samsung.health.exercise.mean_heart_rate,com.samsung.health.exercise.count_type,com.samsung.health.exercise.mean_rpm,com.samsung.health.exercise.min_altitude,com.samsung.health.exercise.modify_sh_ver,com.samsung.health.exercise.max_heart_rate,com.samsung.health.exercise.update_time,com.samsung.health.exercise.create_time,com.samsung.health.exercise.max_power,com.samsung.health.exercise.max_speed,com.samsung.health.exercise.mean_cadence,com.samsung.health.exercise.min_heart_rate,com.samsung.health.exercise.count,com.samsung.health.exercise.distance,com.samsung.health.exercise.max_caloricburn_rate,com.samsung.health.exercise.calorie,com.samsung.health.exercise.max_cadence,com.samsung.health.exercise.decline_distance,com.samsung.health.exercise.vo2_max,com.samsung.health.exercise.time_offset,com.samsung.health.exercise.deviceuuid,com.samsung.health.exercise.max_rpm,com.samsung.health.exercise.comment,com.samsung.health.exercise.live_data,com.samsung.health.exercise.mean_power,com.samsung.health.exercise.mean_speed,com.samsung.health.exercise.pkg_name,com.samsung.health.exercise.altitude_gain,com.samsung.health.exercise.altitude_loss,com.samsung.health.exercise.exercise_custom_type,com.samsung.health.exercise.end_time,com.samsung.health.exercise.datauuid,com.samsung.health.exercise.sweat_loss
,0,,,,,,0,,,,,,0,,,,1,31,,,,,,,,1834000,,,,0056c182-ff92-e13c-1c4e-eee1492aa108.com.samsung.health.exercise.location_data.json,2015-06-13 00:52:02.118,1002,,258.41,,149.0,,,226.375,,178.0,2015-11-19 02:54:33.464,2015-06-13 01:40:18.061,,3.284,,88.0,,4156.51,,343.555,,,,UTC-0400,VkNqn5W6aG,,,0056c182-ff92-e13c-1c4e-eee1492aa108.com.samsung.health.exercise.live_data.json,,2.274,com.sec.android.app.shealth,,,,2015-06-13 01:22:36.118,0056c182-ff92-e13c-1c4e-eee1492aa108,,
,0,,,,,65.66,0,,,,,4,0,,,,0,0,,0.0,,,,,,1002532,,,,5c086a62-46fc-9017-1906-199492ce0713.com.samsung.health.exercise.location_data.json,2018-04-22 03:45:42.196,1001,,,,0.0,,,,,0.0,2018-04-22 04:03:26.503,2018-04-22 04:03:26.503,,1.3888888,0.0,0.0,,1037.849,,65.66,0.0,,,UTC-0600,PEzvKidhug,,,5c086a62-46fc-9017-1906-199492ce0713.com.samsung.health.exercise.live_data.json,,1.182209,com.sec.android.app.shealth,,,,2018-04-22 04:02:24.728,5c086a62-46fc-9017-1906-199492ce0713,,
,,,,,,,,,,,,,,,,,1,26,,,,,,,,1533000,,,,,2014-11-25 02:07:20.777,1002,,,,124.0,,,,,165.0,2015-11-19 02:54:31.662,2014-11-25 02:40:16.843,,2.929,,31.0,,2971.11,,244.0,,,,UTC-0400,VkNqn5W6aG,,,2c7b44f0-48f4-b284-5ed5-216dbe0b1b29.com.samsung.health.exercise.live_data.json,,1.939,com.sec.android.app.shealth,,,,2014-11-25 02:32:53.777,2c7b44f0-48f4-b284-5ed5-216dbe0b1b29,,
,9656,,,,,,1,,,,,1,1,,,,1,2787,,0.0,,,,,,2842000,,,,4a7a07b4-81ac-204c-c86c-ee494d839e4d.com.samsung.health.exercise.location_data.json,2016-04-21 19:44:47.036,11007,,519.846,168.42,120.0,,,462.099,,142.0,2016-04-21 22:42:04.697,2016-04-21 20:32:08.643,,5.687,,76.0,,10218.512,,273.0,,448.666,,UTC-0400,ROm+XQMkto,,,4a7a07b4-81ac-204c-c86c-ee494d839e4d.com.samsung.health.exercise.live_data.json,,3.211,com.sec.android.app.shealth,,,,2016-04-21 20:32:08.560,4a7a07b4-81ac-204c-c86c-ee494d839e4d,,
,0,,,,,39.18,0,,,,,4,0,,,,0,0,,0.0,,,14e56072-7ba3-93d1-4a18-722afcb394d2.location_data_internal.json,,,633912,,,,14e56072-7ba3-93d1-4a18-722afcb394d2.com.samsung.health.exercise.location_data.json,2017-05-20 16:37:10.069,1001,,,,0.0,,,,,0.0,2017-05-20 16:48:43.359,2017-05-20 16:48:43.359,,1.131328,0.0,0.0,,618.553,,39.18,0.0,,,UTC-0500,PEzvKidhug,,,14e56072-7ba3-93d1-4a18-722afcb394d2.com.samsung.health.exercise.live_data.json,,1.0393851,com.sec.android.app.shealth,,,,2017-05-20 16:47:43.981,14e56072-7ba3-93d1-4a18-722afcb394d2,,
,0,,,,,,0,,,,,1,0,,,,1,3833,,0.0,,,,,,3856000,,,,3f8ad436-df40-457b-4d38-1fdfb0f48c77.com.samsung.health.exercise.location_data.json,2016-08-11 23:30:39.155,1001,,271.314,479.364,193.0,,,261.495,,208.0,2016-08-12 00:34:56.682,2016-08-12 00:34:54.078,,1.568,,147.0,,4929.686,,268.0,,486.93,,UTC-0400,ROm+XQMkto,,,3f8ad436-df40-457b-4d38-1fdfb0f48c77.com.samsung.health.exercise.live_data.json,,1.413,com.sec.android.app.shealth,,,,2016-08-12 00:34:54.034,3f8ad436-df40-457b-4d38-1fdfb0f48c77,,
,0,,,,,76.41,0,,,,,4,0,,,,0,0,,0.0,,,,,,1169484,,,,f303960b-8add-8cc8-8b69-db4959ebf8e4.com.samsung.health.exercise.location_data.json,2018-04-02 22:58:34.917,1001,,,,0.0,,,,,0.0,2018-04-02 23:19:04.276,2018-04-02 23:19:04.276,,1.1944444,0.0,0.0,,1058.374,,76.41,0.0,,,UTC-0400,PEzvKidhug,,,f303960b-8add-8cc8-8b69-db4959ebf8e4.com.samsung.health.exercise.live_data.json,,1.0170764,com.sec.android.app.shealth,,,,2018-04-02 23:18:04.401,f303960b-8add-8cc8-8b69-db4959ebf8e4,,
,0,,,,,,0,,,,,4,0,,,,1,0,,0.0,,,,,,1159320,,,,4a19d94b-e8da-811e-214f-262fe7d10a82.com.samsung.health.exercise.location_data.json,2016-07-28 00:43:20.142,1001,,,0.0,0.0,,,,,0.0,2016-11-04 16:35:41.192,2016-07-28 01:02:40.197,,1.4722222,,0.0,,1369.63,,78.0,,0.0,,UTC-0400,ROm+XQMkto,,,4a19d94b-e8da-811e-214f-262fe7d10a82.com.samsung.health.exercise.live_data.json,,1.351045,com.sec.android.app.shealth,,,,2016-07-28 01:02:39.462,4a19d94b-e8da-811e-214f-262fe7d10a82,,
d31931c1-a0fb-68b6-45c4-89f145375bbb.live_data_internal.json,2700000,,,,,145.92807,1,,,,,1,2,,,,1,3529,,0.0,,,d31931c1-a0fb-68b6-45c4-89f145375bbb.location_data_internal.json,,,3632070,,,,d31931c1-a0fb-68b6-45c4-89f145375bbb.com.samsung.health.exercise.location_data.json,2017-04-02 19:58:20.782,1001,,290.278,337.385,148.0,,,264.204,,167.0,2017-04-02 20:58:58.733,2017-04-02 20:58:54.600,,2.33,0.0,76.0,,5047.701,,145.888,0.0,297.162,,UTC-0400,PEzvKidhug,,,d31931c1-a0fb-68b6-45c4-89f145375bbb.com.samsung.health.exercise.live_data.json,,1.3897587,com.sec.android.app.shealth,,,,2017-04-02 20:58:54.449,d31931c1-a0fb-68b6-45c4-89f145375bbb,,
,0,,,,,42.15,0,,,,,4,0,,,,0,0,,0.0,,,e26493b8-ef3d-0124-95ac-27165c02d54c.location_data_internal.json,,,672786,,,,e26493b8-ef3d-0124-95ac-27165c02d54c.com.samsung.health.exercise.location_data.json,2017-04-26 02:05:30.771,1001,,,,0.0,,,,,0.0,2017-04-26 02:17:43.907,2017-04-26 02:17:43.907,,1.3518771,0.0,0.0,,691.181,,42.15,0.0,,,UTC-0400,PEzvKidhug,,,e26493b8-ef3d-0124-95ac-27165c02d54c.com.samsung.health.exercise.live_data.json,,1.1201948,com.sec.android.app.shealth,,,,2017-04-26 02:16:43.557,e26493b8-ef3d-0124-95ac-27165c02d54c,,
