com.samsung.shealth.exercise.weather,6261011,3
uv_index,sunset_time,start_time,latitude,custom,wind_direction,phrase,sundown_time,temperature_scale,content_provider,update_time,create_time,type,longitude,temperature,humidity,time_offset,deviceuuid,exercise_id,pkg_name,wind_speed_unit,forecast_time,wind_speed,icon_info_id,datauuid
0.0,,2016-04-06 22:12:41.981,35.945526,,S,Mostly cloudy,,1,AccuWeather,2016-04-06 22:58:15.530,2016-04-06 22:58:15.530,0,-83.9501,18.9,31,UTC+0000,ROm+XQMkto,0ca84444-0ddf-c6d9-7959-28bc0661e02c,com.sec.android.app.shealth,km/h,,7.0,3,f6156caf-928a-0231-b076-0a4914cd92cc,
7.0,,2018-04-12 19:05:02.580,35.925594,,,Sunny/Wind,,1,TWC,2018-04-12 19:18:08.381,2018-04-12 19:18:08.381,0,-86.871124,26.0,26,UTC+0000,PEzvKidhug,f1c9d608-de97-df15-e89e-cf8f77966584,com.sec.android.app.shealth,,,,1,dbcde34d-5418-4e06-f518-f64b86fca821,
0.0,,2016-10-17 00:35:46.910,35.972073,,S,Clear,,1,AccuWeather,2016-10-17 01:17:52.239,2016-10-17 01:17:52.239,0,-83.922,23.9,49,UTC+0000,ROm+XQMkto,dc9aad4b-1282-36ac-ca50-398b588c3c77,com.sec.android.app.shealth,km/h,,7.0,18,5f913052-f66b-e1dd-ec10-8d3858f40e0a,
10.0,,2021-06-12 18:29:54.090,35.93992,,,Partly Cloudy,,1,TWC,2021-06-12 19:08:08.549,2021-06-12 19:07:58.043,0,-83.958176,31.0,58,UTC-0400,C2yRtg360R,996e8001-d60d-ad5f-7aae-aabd805b71c8,com.sec.android.app.shealth,,,,2,a156a3b2-a3bc-d900-75b1-0d99685f2f6c,
7.0,,2021-05-27 19:20:44.050,35.939262,,,Partly Cloudy,,1,TWC,2021-05-27 19:43:21.287,2021-05-27 19:43:19.063,0,-83.958305,31.0,42,UTC-0400,C2yRtg360R,8c989c25-7640-3d2d-f546-bd71cb39af41,com.sec.android.app.shealth,,,,2,459966fc-950b-8106-b916-4cb73924b4c4,
2.0,,2021-05-06 21:44:38.530,35.93005,,,Sunny,,1,TWC,2021-05-06 22:05:21.292,2021-05-06 22:05:18.490,0,-83.9583,21.0,30,UTC-0400,C2yRtg360R,98e3e224-494a-890c-1775-2c4870a3f527,com.sec.android.app.shealth,,,,1,e656201a-44ec-dd65-fa79-6ae7f254fac0,
,0,2020-05-01 19:39:57.737,35.93971,,W. 260,Sunny,0,1,TWC,2020-05-01 19:39:57.738,2020-05-01 19:39:57.738,1,-83.95831,22.0,32,UTC-0400,cfxbbbfj2r,73088719-7de5-4423-846e-825a8036978d,com.sec.android.app.shealth,km/h,0,10.0,1,d8c594e3-6d39-40c8-afe0-188be4b793a9,
0.0,,2017-10-22 23:10:37.436,35.958252,,N,Mostly cloudy,,1,AccuWeather,2017-10-22 23:44:35.901,2017-10-22 23:44:35.901,0,-83.93479,22.2,68,UTC+0000,PEzvKidhug,ad1c5341-4c45-2ac7-973e-237bef472896,com.sec.android.app.shealth,km/h,,7.0,3,996ce8fc-fc54-cbe1-427f-449e2410d1e9,
0.0,,2016-03-22 00:36:22.237,35.964493,,W,Clear,,1,AccuWeather,2016-03-22 01:06:36.343,2016-03-22 01:06:36.343,0,-83.925896,9.4,40,UTC+0000,ROm+XQMkto,f2c02095-7118-a782-7554-79c884ac2a55,com.sec.android.app.shealth,km/h,,7.0,18,73017d97-ba1b-4d40-d063-1cfb35063440,
0.0,,2017-02-20 23:29:23.258,35.957783,,N,Cloudy,,1,AccuWeather,2017-02-20 23:47:42.740,2017-02-20 23:47:42.740,0,-83.93457,18.7,50,UTC+0000,PEzvKidhug,4383ea3e-2564-9b85-1197-079705dcbd11,com.sec.android.app.shealth,km/h,,7.0,3,6832bd89-0dcf-3231-fabe-d2602d11b6fa,
