com.samsung.shealth.food_frequent,6242001,1
eveningsnack_count,update_time,create_time,morningsnack_count,dinner_count,breakfast_count,deviceuuid,pkg_name,afternoonsnack_count,datauuid,food_info_id,lunch_count
0.87,2023-02-17 01:21:52.433,2023-02-17 01:21:52.433,0.87,0.87,0.87,riNzA2w1UR,com.sec.android.app.shealth,0.87,4d086a5b-8325-4caf-848e-eca44d64c574,3c397e1c-1339-4951-a1a1-ad04d9b5ee83,0.87,
0.75,2023-02-17 01:21:52.433,2023-02-17 01:21:52.433,0.75,0.75,0.75,riNzA2w1UR,com.sec.android.app.shealth,0.75,000abe58-554b-4e7d-8723-c50e5e1903d1,6bb3d94d-c667-43bb-945d-dd4339ef9a64,0.75,
0.71,2020-10-16 23:26:05.950,2020-10-16 23:26:05.950,0.71,0.71,0.71,KwIsSebkfa,com.sec.android.app.shealth,0.71,ab047b83-bca5-47ae-b48f-5ac66c4e68ec,c17cd400-00a3-4e76-ad5e-61ce88c310fc,0.71,
0.87,2020-10-16 23:26:05.949,2020-10-16 23:26:05.949,0.87,0.87,0.87,KwIsSebkfa,com.sec.android.app.shealth,0.87,846ed6d0-34f6-4148-9032-61ada437dcda,bff09a3e-042b-48fa-9462-48370092fde5,0.87,
0.99,2019-08-21 16:20:11.378,2019-08-21 16:20:11.378,0.99,0.99,0.99,cfxbbbfj2r,com.sec.android.app.shealth,0.99,fc3e1702-dcaf-4f2b-a0b3-200f623ef86c,8081ff04-7b80-46ef-bd8f-a367a8e56137,0.99,
0.79,2023-02-17 01:21:52.433,2023-02-17 01:21:52.433,0.79,0.79,0.79,riNzA2w1UR,com.sec.android.app.shealth,0.79,7fef2eb9-8a18-412c-92d4-ba5687cbe682,e3cebb2b-c024-4032-8991-77f71967b614,0.79,
0.83,2023-02-17 01:21:52.433,2023-02-17 01:21:52.433,0.83,0.83,0.83,riNzA2w1UR,com.sec.android.app.shealth,0.83,e6578cd0-4a1e-44ac-8455-15d95c94964e,a7449605-f271-4310-8e3d-815e045ffed4,0.83,
0.67,2023-02-17 01:21:52.433,2023-02-17 01:21:52.433,0.67,0.67,0.67,riNzA2w1UR,com.sec.android.app.shealth,0.67,1611bfc7-b8e2-4a7e-a5eb-7b7362ca2b4c,46d9bd19-716c-4b28-8937-300cc5e6d011,0.67,
0.79,2016-11-04 16:33:07.914,2016-11-04 16:33:07.914,0.79,0.79,0.79,Q2GTsbBv8Q,com.sec.android.app.shealth,0.79,d53fad3f-8629-43cc-b235-885161846e80,1b9721cd-53ac-4d52-9960-859a1300ab24,0.79,
0.91,2016-11-04 16:33:07.913,2016-11-04 16:33:07.913,0.91,0.91,0.91,Q2GTsbBv8Q,com.sec.android.app.shealth,0.91,ff2714cb-de47-443e-a50f-28cd452adc93,3feb673b-4385-4351-af69-d68b9f3904b1,0.91,
0.71,2019-08-21 16:20:11.381,2019-08-21 16:20:11.381,0.71,0.71,0.71,cfxbbbfj2r,com.sec.android.app.shealth,0.71,c1d14ca5-5009-4290-92a5-b94994084df8,1df64bb6-883f-44cb-b09d-8da48f6d5799,0.71,
0.75,2019-08-21 16:20:11.380,2019-08-21 16:20:11.380,0.75,0.75,0.75,cfxbbbfj2r,com.sec.android.app.shealth,0.75,8c27094f-79fb-4cab-a9d6-54a9dc244db6,584fb820-da85-4438-b155-a78892ebd8a9,0.75,
0.71,2023-02-17 01:21:52.433,2023-02-17 01:21:52.433,0.71,0.71,0.71,riNzA2w1UR,com.sec.android.app.shealth,0.71,a6cf43de-3675-4049-91ac-edf5bfe55162,cf2d9656-9d09-474d-ac03-ba2e1717e0ea,0.71,
0.95,2016-11-04 16:33:07.912,2016-11-04 16:33:07.912,0.95,0.95,0.95,Q2GTsbBv8Q,com.sec.android.app.shealth,0.95,755abe68-9f6d-4a07-8280-4c67d0d9b531,1b0fe480-a2e7-4f09-ab4c-64e219193c51,0.95,
0.67,2015-04-27 16:30:09.429,2015-04-27 16:30:09.429,0.67,0.67,0.67,ScgltublDV,com.sec.android.app.shealth,0.67,cb8306a9-228c-4b86-af03-7d67f53c54e8,3b0709e1-dbad-4da0-a832-40257ddfb4fe,0.67,
