com.samsung.shealth.report,6242001,3
timezone,start_date,update_time,create_time,type,is_empty,version,deviceuuid,content,pkg_name,datauuid,compressed_content
America/New_York,1521950400000,2018-04-01 17:27:37.890,2018-04-01 17:26:36.880,0,0,1,EHdtKydEi4,X,com.sec.android.app.shealth,cdf9e8fb-92a8-44c4-a80f-c3b230af9b79,cdf9e8fb-92a8-44c4-a80f-c3b230af9b79.compressed_content.json,
America/New_York,1535860800000,2018-09-15 17:18:26.163,2018-09-13 17:15:09.096,0,0,2,Mz5pMh3q+T,X,com.sec.android.app.shealth,95e3befb-261e-4346-92ca-7398eda64044,95e3befb-261e-4346-92ca-7398eda64044.compressed_content.json,
America/New_York,1469332800000,2019-07-22 16:18:12.708,2019-03-06 18:49:19.942,0,0,1,4V/TlqPcbG,X,com.sec.android.app.shealth,ae301d63-b703-498e-85ba-9bb7984a628e,ae301d63-b703-498e-85ba-9bb7984a628e.compressed_content.json,
America/New_York,1553400000000,2019-04-06 17:52:10.988,2019-03-31 17:51:00.505,0,0,2,4V/TlqPcbG,X,com.sec.android.app.shealth,7b055832-2cdf-45ae-9a76-0370e9994874,7b055832-2cdf-45ae-9a76-0370e9994874.compressed_content.json,
America/New_York,1597550400000,2020-08-25 17:31:06.562,2020-08-23 17:29:42.364,0,0,2,cfxbbbfj2r,X,com.sec.android.app.shealth,980c42ed-d22b-413d-9206-f17c4ea232bf,980c42ed-d22b-413d-9206-f17c4ea232bf.compressed_content.json,
America/New_York,1463284800000,2017-08-24 22:48:43.401,2017-04-19 17:25:55.701,0,0,1,lR4XsWsS9x,X,com.sec.android.app.shealth,a155bf93-a0a5-41ea-b654-ffb45b487103,a155bf93-a0a5-41ea-b654-ffb45b487103.compressed_content.json,
America/New_York,1473566400000,2017-08-24 22:48:42.113,2017-04-19 17:25:55.325,0,0,1,lR4XsWsS9x,X,com.sec.android.app.shealth,f5f8c1da-1ce5-4d1b-917b-2065e2f36da8,f5f8c1da-1ce5-4d1b-917b-2065e2f36da8.compressed_content.json,
America/Chicago,1576994400000,2019-12-29 19:29:12.233,2019-12-29 19:29:10.675,0,0,2,cfxbbbfj2r,X,com.sec.android.app.shealth,0f074d3d-83f2-48eb-b394-7ea2c80d53a7,0f074d3d-83f2-48eb-b394-7ea2c80d53a7.compressed_content.json,
America/New_York,1478404800000,2021-08-24 23:55:10.382,2020-10-19 22:34:22.233,0,0,1,KwIsSebkfa,X,com.sec.android.app.shealth,f716fffc-9e5b-43c2-baeb-3dac7399c86e,f716fffc-9e5b-43c2-baeb-3dac7399c86e.compressed_content.json,
America/New_York,1471752000000,2021-08-24 23:55:11.363,2020-10-19 22:34:22.667,0,0,1,KwIsSebkfa,X,com.sec.android.app.shealth,a486f5f5-09af-4b2a-97af-083fc8ed9814,a486f5f5-09af-4b2a-97af-083fc8ed9814.compressed_content.json,
America/New_York,1586059200000,2020-04-12 17:29:16.984,2020-04-12 17:29:15.365,0,0,2,cfxbbbfj2r,X,com.sec.android.app.shealth,f4e71d9e-2f36-4163-829c-f5327eb9ee6a,f4e71d9e-2f36-4163-829c-f5327eb9ee6a.compressed_content.json,
America/New_York,1505620800000,2017-09-24 17:28:09.455,2017-09-24 17:26:47.078,0,0,1,EHdtKydEi4,X,com.sec.android.app.shealth,52d90275-6d41-435a-8bda-275396fcd881,52d90275-6d41-435a-8bda-275396fcd881.compressed_content.json,
America/New_York,1485666000000,2017-02-05 19:43:46.223,2017-02-05 19:43:45.240,0,0,1,Q2GTsbBv8Q,X,com.sec.android.app.shealth,eb947098-3a94-40b5-b104-257404989a14,eb947098-3a94-40b5-b104-257404989a14.compressed_content.json,
America/New_York,1538884800000,2018-10-20 17:14:35.773,2018-10-14 17:14:16.044,0,0,2,Mz5pMh3q+T,X,com.sec.android.app.shealth,896f4af6-095f-4f92-b2c5-27a442a3042e,896f4af6-095f-4f92-b2c5-27a442a3042e.compressed_content.json,
America/New_York,1477195200000,2021-08-24 23:55:10.487,2020-10-19 22:34:22.325,0,0,1,KwIsSebkfa,X,com.sec.android.app.shealth,f27e16dc-1818-4c4b-94d0-25d3f67e3342,f27e16dc-1818-4c4b-94d0-25d3f67e3342.compressed_content.json,
America/New_York,1457240400000,2019-07-22 16:18:13.582,2019-03-06 18:49:21.361,0,0,1,4V/TlqPcbG,X,com.sec.android.app.shealth,b522d23e-8dfd-4b24-938d-53ae0975d9cd,b522d23e-8dfd-4b24-938d-53ae0975d9cd.compressed_content.json,
America/New_York,1475985600000,2017-04-11 04:07:19.814,2016-11-18 16:06:51.770,0,0,1,Q2GTsbBv8Q,X,com.sec.android.app.shealth,f63b8489-0757-492b-833a-897b5566e27f,f63b8489-0757-492b-833a-897b5566e27f.compressed_content.json,
America/New_York,1473566400000,2022-04-05 20:38:08.108,2021-08-25 22:18:39.778,0,0,1,yEjG51P5jF,X,com.sec.android.app.shealth,a5fa1fb2-6a10-42ff-8e65-e55072a3e668,a5fa1fb2-6a10-42ff-8e65-e55072a3e668.compressed_content.json,
America/New_York,1465099200000,2019-02-27 15:42:32.028,2018-09-12 14:37:12.685,0,0,1,Mz5pMh3q+T,X,com.sec.android.app.shealth,52f15c1b-e5b2-4461-a55e-f93bb0ef0abd,52f15c1b-e5b2-4461-a55e-f93bb0ef0abd.compressed_content.json,
America/New_York,1459656000000,2019-02-27 15:42:32.681,2018-09-12 14:37:13.444,0,0,1,Mz5pMh3q+T,X,com.sec.android.app.shealth,2b91c8b1-a534-401b-97a9-c7c78d3ce816,2b91c8b1-a534-401b-97a9-c7c78d3ce816.compressed_content.json,
America/New_York,1459051200000,2016-04-03 17:37:01.926,2016-04-03 17:36:29.027,0,,1,OBFuvbOf82,X,com.sec.android.app.shealth,d68c7342-cacf-4540-931c-7ca43ba0266f,d68c7342-cacf-4540-931c-7ca43ba0266f.compressed_content.json,
