com.samsung.shealth.tracker.pedometer_day_summary,6242001,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
82,d10af11f-2786-4b6c-9ed4-2865f883ddad.binning_data.json,50205,0,0,2016-03-15 19:25:11.698,com.sec.android.app.shealth,2016-03-15 19:25:11.698,,1.5359808,63.57,3.4100003,82,VfS0qUERdZ,com.sec.android.app.shealth,0,d10af11f-2786-4b6c-9ed4-2865f883ddad.achievement.json,d10af11f-2786-4b6c-9ed4-2865f883ddad,1434844800000,
2472,78ab1678-04f1-4beb-bd1b-10ea69b96e98.binning_data.json,1295490,0,126,2016-03-15 19:26:14.207,com.sec.android.app.shealth,2016-03-15 19:26:14.207,,1.6033535,2077.1301,121.07,2346,VfS0qUERdZ,com.sec.android.app.shealth,0,78ab1678-04f1-4beb-bd1b-10ea69b96e98.achievement.json,78ab1678-04f1-4beb-bd1b-10ea69b96e98,1447977600000,
7186,2b192184-53bf-4f5b-8e98-b0a8bd1f3365.binning_data.json,3514235,10000,661,2016-03-11 05:00:46.041,com.sec.android.app.shealth,2016-03-11 05:00:46.041,,3.0,5868.22,342.21,6525,OBFuvbOf82,com.sec.android.app.shealth,4850,2b192184-53bf-4f5b-8e98-b0a8bd1f3365.achievement.json,2b192184-53bf-4f5b-8e98-b0a8bd1f3365,1457568000000,
8087,5fe84dc9-60a0-49f8-bff8-ded4d68cf870.binning_data.json,0,0,150,2016-03-15 19:24:04.020,com.sec.android.app.shealth,2016-03-15 19:24:04.020,,0.0,6433.17,361.07205,7867,VfS0qUERdZ,com.sec.android.app.shealth,0,5fe84dc9-60a0-49f8-bff8-ded4d68cf870.achievement.json,5fe84dc9-60a0-49f8-bff8-ded4d68cf870,1414281600000,
4843,d568b9ff-a617-457b-a1ef-206a442cdbb8.binning_data.json,0,0,53,2016-03-15 19:24:13.487,com.sec.android.app.shealth,2016-03-15 19:24:13.487,,0.0,3955.9338,224.6966,4767,VfS0qUERdZ,com.sec.android.app.shealth,0,d568b9ff-a617-457b-a1ef-206a442cdbb8.achievement.json,d568b9ff-a617-457b-a1ef-206a442cdbb8,1418947200000,
4677,968e9fc6-abac-47ca-bf27-6e0382d72611.binning_data.json,0,0,0,2016-03-15 19:23:40.065,com.sec.android.app.shealth,2016-03-15 19:23:40.065,,0.0,3905.05,276.79,4677,VfS0qUERdZ,com.sec.android.app.shealth,0,968e9fc6-abac-47ca-bf27-6e0382d72611.achievement.json,968e9fc6-abac-47ca-bf27-6e0382d72611,1403481600000,
9973,5ba6f57e-6281-4ede-b34e-955dd898ae0b.binning_data.json,5464068,0,121,2016-03-15 19:26:16.502,com.sec.android.app.shealth,2016-03-15 19:26:16.502,,1.4311094,7819.68,427.72998,9852,VfS0qUERdZ,com.sec.android.app.shealth,0,5ba6f57e-6281-4ede-b34e-955dd898ae0b.achievement.json,5ba6f57e-6281-4ede-b34e-955dd898ae0b,1448409600000,
10505,a8904eb3-8d0f-4250-af49-e58b84e326d9.binning_data.json,5652248,10000,252,2016-01-31 05:00:05.497,com.sec.android.app.shealth,2016-01-31 05:00:05.497,,3.6944444,8343.85,456.25,10253,OBFuvbOf82,com.sec.android.app.shealth,0,a8904eb3-8d0f-4250-af49-e58b84e326d9.achievement.json,a8904eb3-8d0f-4250-af49-e58b84e326d9,1454112000000,
3397,fe39bdf7-8027-4dab-b314-18868a7a20b7.binning_data.json,0,0,0,2016-03-15 19:23:44.500,com.sec.android.app.shealth,2016-03-15 19:23:44.500,,0.0,2403.9,142.58,3397,VfS0qUERdZ,com.sec.android.app.shealth,0,fe39bdf7-8027-4dab-b314-18868a7a20b7.achievement.json,fe39bdf7-8027-4dab-b314-18868a7a20b7,1404950400000,
155,6d12bb32-622e-4cf3-9ee6-b0a8d72e6d21.binning_data.json,0,0,0,2016-03-15 19:23:32.626,com.sec.android.app.shealth,2016-03-15 19:23:32.626,,0.0,116.1,6.681,155,VfS0qUERdZ,com.sec.android.app.shealth,0,6d12bb32-622e-4cf3-9ee6-b0a8d72e6d21.achievement.json,6d12bb32-622e-4cf3-9ee6-b0a8d72e6d21,1400889600000,
197,f19b0b66-6298-426b-af29-702f6604b59c.binning_data.json,83736,6000,43,2015-12-26 07:45:46.987,com.sec.android.app.shealth,2015-12-26 07:45:46.987,,3.6944444,198.53,14.11,154,ROm+XQMkto,com.sec.android.app.shealth,0,f19b0b66-6298-426b-af29-702f6604b59c.achievement.json,f19b0b66-6298-426b-af29-702f6604b59c,1451001600000,
1986,b3a37ede-0f17-418f-b7be-313470797425.binning_data.json,613634,0,84,2016-03-15 19:26:04.260,com.sec.android.app.shealth,2016-03-15 19:26:04.260,,2.6075294,1600.07,96.759995,1902,VfS0qUERdZ,com.sec.android.app.shealth,0,b3a37ede-0f17-418f-b7be-313470797425.achievement.json,b3a37ede-0f17-418f-b7be-313470797425,1446076800000,
4994,8fddae67-079b-4c20-a594-5858330e17fa.binning_data.json,0,0,0,2016-03-15 19:23:48.506,com.sec.android.app.shealth,2016-03-15 19:23:48.506,,0.0,3381.06,207.47,4994,VfS0qUERdZ,com.sec.android.app.shealth,0,8fddae67-079b-4c20-a594-5858330e17fa.achievement.json,8fddae67-079b-4c20-a594-5858330e17fa,1406332800000,
3002,5bb7790f-aa32-451d-999a-a5645e49037e.binning_data.json,1445357,0,66,2016-03-15 19:24:57.166,com.sec.android.app.shealth,2016-03-15 19:24:57.166,,1.690488,2443.36,132.56999,2936,VfS0qUERdZ,com.sec.android.app.shealth,0,5bb7790f-aa32-451d-999a-a5645e49037e.achievement.json,5bb7790f-aa32-451d-999a-a5645e49037e,1431216000000,
4501,14449b46-0a99-48c8-b44d-0ed4fc429578.binning_data.json,2431223,10000,83,2015-11-14 05:00:03.910,com.sec.android.app.shealth,2015-11-14 05:00:03.910,,2.7222223,3572.3,197.38,4418,TiXFQW5DKB,com.sec.android.app.shealth,0,14449b46-0a99-48c8-b44d-0ed4fc429578.achievement.json,14449b46-0a99-48c8-b44d-0ed4fc429578,1447372800000,
59,b3ba6538-9a7b-46b0-9dd0-c5b043a250f9.binning_data.json,42174,0,0,2016-03-15 19:25:03.721,com.sec.android.app.shealth,2016-03-15 19:25:03.721,,0.0,50.67,2.94,59,VfS0qUERdZ,com.sec.android.app.shealth,0,b3ba6538-9a7b-46b0-9dd0-c5b043a250f9.achievement.json,b3ba6538-9a7b-46b0-9dd0-c5b043a250f9,1433116800000,
11594,d1f24c27-da81-4157-8c7e-54a2c0562632.binning_data.json,6327317,6000,11,2015-11-23 04:23:00.053,com.sec.android.app.shealth,2015-11-22 21:31:27.262,,1.8333335,8852.94,484.21,11583,VkNqn5W6aG,com.sec.android.app.shealth,9245,d1f24c27-da81-4157-8c7e-54a2c0562632.achievement.json,d1f24c27-da81-4157-8c7e-54a2c0562632,1448150400000,
9084,8b36d03a-2edb-4765-993c-d565ea0fbfe0.binning_data.json,4575969,0,589,2016-03-15 19:24:57.778,com.sec.android.app.shealth,2016-03-15 19:24:57.778,,1.6214027,7419.4897,425.18,8495,VfS0qUERdZ,com.sec.android.app.shealth,0,8b36d03a-2edb-4765-993c-d565ea0fbfe0.achievement.json,8b36d03a-2edb-4765-993c-d565ea0fbfe0,1431388800000,
3241,6647c733-5247-46c9-9f03-effed4c13d0c.binning_data.json,0,0,10,2016-03-15 19:24:13.710,com.sec.android.app.shealth,2016-03-15 19:24:13.710,,0.0,2615.7976,146.18141,3209,VfS0qUERdZ,com.sec.android.app.shealth,0,6647c733-5247-46c9-9f03-effed4c13d0c.achievement.json,6647c733-5247-46c9-9f03-effed4c13d0c,1419033600000,
6744,a1dfc8bc-5087-4a51-a422-e62d3122d990.binning_data.json,3653946,10000,159,2015-12-18 05:00:04.820,com.sec.android.app.shealth,2015-12-18 05:00:04.820,,3.1944444,5320.65,304.77,6585,OBFuvbOf82,com.sec.android.app.shealth,0,a1dfc8bc-5087-4a51-a422-e62d3122d990.achievement.json,a1dfc8bc-5087-4a51-a422-e62d3122d990,1450310400000,
4402,4e74c869-dd54-489b-9b01-1a069ec156cb.binning_data.json,2230069,10000,123,2015-11-02 05:00:06.026,com.sec.android.app.shealth,2015-11-01 17:00:13.402,,3.3055556,3548.84,195.91,4279,TiXFQW5DKB,com.sec.android.app.shealth,0,4e74c869-dd54-489b-9b01-1a069ec156cb.achievement.json,4e74c869-dd54-489b-9b01-1a069ec156cb,1446336000000,
5958,9f384b56-f735-4c5e-b00c-fa0f4fffb935.binning_data.json,200726,0,570,2016-03-15 19:24:56.078,com.sec.android.app.shealth,2016-03-15 19:24:56.078,,24.720043,4961.96,299.71,5378,VfS0qUERdZ,com.sec.android.app.shealth,0,9f384b56-f735-4c5e-b00c-fa0f4fffb935.achievement.json,9f384b56-f735-4c5e-b00c-fa0f4fffb935,1430870400000,
4720,ec066c1e-6473-4b3a-bdc3-ee511d90741a.binning_data.json,2472428,10000,164,2015-12-01 05:00:02.892,com.sec.android.app.shealth,2015-11-30 17:00:16.876,,5.055555,3834.37,215.01999,4556,OBFuvbOf82,com.sec.android.app.shealth,0,ec066c1e-6473-4b3a-bdc3-ee511d90741a.achievement.json,ec066c1e-6473-4b3a-bdc3-ee511d90741a,1448841600000,
1307,dad727bf-9002-48e1-a1cc-6a75a0fdc8da.binning_data.json,762254,6000,2,2016-02-05 18:26:58.465,com.sec.android.app.shealth,2016-02-05 18:26:58.465,,2.1944444,994.88,56.61,1305,ROm+XQMkto,com.sec.android.app.shealth,0,dad727bf-9002-48e1-a1cc-6a75a0fdc8da.achievement.json,dad727bf-9002-48e1-a1cc-6a75a0fdc8da,1454544000000,
3094,47e18872-c609-4298-ad4d-785f2f8a6015.binning_data.json,1173315,0,398,2016-03-15 19:26:01.922,com.sec.android.app.shealth,2016-03-15 19:26:01.922,,2.3101463,2710.53,168.56,2696,VfS0qUERdZ,com.sec.android.app.shealth,0,47e18872-c609-4298-ad4d-785f2f8a6015.achievement.json,47e18872-c609-4298-ad4d-785f2f8a6015,1445644800000,
2091,6ed8a4da-d806-4336-b05e-704a5ad73d19.binning_data.json,997602,10000,116,2016-03-15 04:01:12.244,com.sec.android.app.shealth,2016-03-14 16:00:04.267,,3.6388888,1720.62,96.22,1975,OBFuvbOf82,com.sec.android.app.shealth,0,6ed8a4da-d806-4336-b05e-704a5ad73d19.achievement.json,6ed8a4da-d806-4336-b05e-704a5ad73d19,1457913600000,
4905,69bbc32e-6fbf-4259-adb9-5b4107a8d48c.binning_data.json,3037209,0,238,2016-03-15 19:24:37.330,com.sec.android.app.shealth,2016-03-15 19:24:37.330,,0.0,4034.1602,231.62,4667,VfS0qUERdZ,com.sec.android.app.shealth,0,69bbc32e-6fbf-4259-adb9-5b4107a8d48c.achievement.json,69bbc32e-6fbf-4259-adb9-5b4107a8d48c,1425168000000,
13314,67e8c9ed-b8cc-483e-ba3a-abab2e8847c2.binning_data.json,0,0,270,2016-03-15 19:24:04.326,com.sec.android.app.shealth,2016-03-15 19:24:04.326,,0.0,10280.79,589.151,12954,VfS0qUERdZ,com.sec.android.app.shealth,0,67e8c9ed-b8cc-483e-ba3a-abab2e8847c2.achievement.json,67e8c9ed-b8cc-483e-ba3a-abab2e8847c2,1414454400000,
7922,4824dc1d-9638-45a6-b3c7-0639e18a55e4.binning_data.json,0,0,70,2016-03-15 19:24:19.450,com.sec.android.app.shealth,2016-03-15 19:24:19.450,,0.0,6132.29,349.05002,7812,VfS0qUERdZ,com.sec.android.app.shealth,0,4824dc1d-9638-45a6-b3c7-0639e18a55e4.achievement.json,4824dc1d-9638-45a6-b3c7-0639e18a55e4,1421884800000,
3298,fba20b15-f91a-472f-b4b7-63bc985055c4.binning_data.json,1487024,0,63,2016-03-15 19:25:34.127,com.sec.android.app.shealth,2016-03-15 19:25:34.127,,1.8110459,2693.07,149.93,3226,VfS0qUERdZ,com.sec.android.app.shealth,0,fba20b15-f91a-472f-b4b7-63bc985055c4.achievement.json,fba20b15-f91a-472f-b4b7-63bc985055c4,1439942400000,
3965,9726abdf-f0e2-4840-a106-675d3992546d.binning_data.json,2007976,10000,191,2015-11-12 05:00:02.774,com.sec.android.app.shealth,2015-11-12 05:00:02.774,,4.4444447,3164.42,183.36,3774,TiXFQW5DKB,com.sec.android.app.shealth,0,9726abdf-f0e2-4840-a106-675d3992546d.achievement.json,9726abdf-f0e2-4840-a106-675d3992546d,1447200000000,
1522,6ea10cb8-38ec-45f8-be4d-bddbbeabab37.binning_data.json,0,0,20,2016-03-15 19:24:42.848,com.sec.android.app.shealth,2016-03-15 19:24:42.848,,0.0,1243.21,68.74,1502,VfS0qUERdZ,com.sec.android.app.shealth,0,6ea10cb8-38ec-45f8-be4d-bddbbeabab37.achievement.json,6ea10cb8-38ec-45f8-be4d-bddbbeabab37,1426982400000,
6304,bf07fd5e-2874-49e0-a16f-eeba46d35137.binning_data.json,0,0,1540,2016-03-15 19:24:49.727,com.sec.android.app.shealth,2016-03-15 19:24:49.727,,0.0,5489.5796,369.22098,4744,VfS0qUERdZ,com.sec.android.app.shealth,0,bf07fd5e-2874-49e0-a16f-eeba46d35137.achievement.json,bf07fd5e-2874-49e0-a16f-eeba46d35137,1429488000000,
2053,131c62d1-c055-4bf7-9db9-4997016640ca.binning_data.json,941969,0,136,2016-03-15 19:25:01.722,com.sec.android.app.shealth,2016-03-15 19:25:01.722,,1.8302494,1724.04,97.6,1917,VfS0qUERdZ,com.sec.android.app.shealth,0,131c62d1-c055-4bf7-9db9-4997016640ca.achievement.json,131c62d1-c055-4bf7-9db9-4997016640ca,1432512000000,
187,4d640090-7731-49a4-8ac5-720c87febd4a.binning_data.json,103535,0,0,2016-03-15 19:25:30.907,com.sec.android.app.shealth,2016-03-15 19:25:30.907,,2.486645,146.44,7.9599996,187,VfS0qUERdZ,com.sec.android.app.shealth,0,4d640090-7731-49a4-8ac5-720c87febd4a.achievement.json,4d640090-7731-49a4-8ac5-720c87febd4a,1439164800000,
18394,1598ed41-334e-4fc7-a163-91416308c892.binning_data.json,0,0,561,2016-03-15 19:24:07.618,com.sec.android.app.shealth,2016-03-15 19:24:07.618,,0.0,14669.228,798.923,17639,VfS0qUERdZ,com.sec.android.app.shealth,0,1598ed41-334e-4fc7-a163-91416308c892.achievement.json,1598ed41-334e-4fc7-a163-91416308c892,1416096000000,
91,f4a6e232-bb68-44a4-a40a-665b4cd28016.binning_data.json,8601,0,0,2016-03-15 19:24:15.967,com.sec.android.app.shealth,2016-03-15 19:24:15.967,,0.0,67.380005,3.91,91,VfS0qUERdZ,com.sec.android.app.shealth,0,f4a6e232-bb68-44a4-a40a-665b4cd28016.achievement.json,f4a6e232-bb68-44a4-a40a-665b4cd28016,1420416000000,
3069,69b4f952-3409-48c3-86c4-f90e46f79c35.binning_data.json,0,0,19,2016-03-15 19:24:16.523,com.sec.android.app.shealth,2016-03-15 19:24:16.523,,0.0,2507.9602,141.30031,3037,VfS0qUERdZ,com.sec.android.app.shealth,0,69b4f952-3409-48c3-86c4-f90e46f79c35.achievement.json,69b4f952-3409-48c3-86c4-f90e46f79c35,1420675200000,
2054,7e1fef1d-3d20-46e1-a9ec-a61160bcd1a1.binning_data.json,968098,0,51,2016-03-15 19:25:14.291,com.sec.android.app.shealth,2016-03-15 19:25:14.291,,1.7150522,1660.34,91.68,2003,VfS0qUERdZ,com.sec.android.app.shealth,0,7e1fef1d-3d20-46e1-a9ec-a61160bcd1a1.achievement.json,7e1fef1d-3d20-46e1-a9ec-a61160bcd1a1,1435449600000,
2059,8330e7e5-833c-4555-a5ab-72c843dda248.binning_data.json,0,0,0,2016-03-15 19:24:39.149,com.sec.android.app.shealth,2016-03-15 19:24:39.149,,0.0,1635.86,91.26,2049,VfS0qUERdZ,com.sec.android.app.shealth,0,8330e7e5-833c-4555-a5ab-72c843dda248.achievement.json,8330e7e5-833c-4555-a5ab-72c843dda248,1425686400000,
20218,7e672063-1357-46f2-bd5d-3d19e70512fc.binning_data.json,0,0,93,2016-03-15 19:24:06.526,com.sec.android.app.shealth,2016-03-15 19:24:06.526,,0.0,14859.639,847.6861,20045,VfS0qUERdZ,com.sec.android.app.shealth,0,7e672063-1357-46f2-bd5d-3d19e70512fc.achievement.json,7e672063-1357-46f2-bd5d-3d19e70512fc,1415577600000,
1399,883e0996-4b57-46b8-bcc5-cb57810f4513.binning_data.json,593349,0,156,2016-03-15 19:25:40.420,com.sec.android.app.shealth,2016-03-15 19:25:40.420,,1.9316117,1146.12,72.35999,1243,VfS0qUERdZ,com.sec.android.app.shealth,0,883e0996-4b57-46b8-bcc5-cb57810f4513.achievement.json,883e0996-4b57-46b8-bcc5-cb57810f4513,1441324800000,
8893,697a99b3-276b-468f-85f7-9f9089c77ed1.binning_data.json,5794325,0,0,2016-03-15 19:25:05.983,com.sec.android.app.shealth,2016-03-15 19:25:05.983,,0.0,7647.6997,491.18,8893,VfS0qUERdZ,com.sec.android.app.shealth,0,697a99b3-276b-468f-85f7-9f9089c77ed1.achievement.json,697a99b3-276b-468f-85f7-9f9089c77ed1,1433635200000,
5332,a79dfe30-6036-4d81-aaa9-af403eed5134.binning_data.json,2749224,10000,175,2015-12-23 05:00:04.756,com.sec.android.app.shealth,2015-12-23 05:00:04.756,,4.3055553,4273.2603,246.92,5157,OBFuvbOf82,com.sec.android.app.shealth,0,a79dfe30-6036-4d81-aaa9-af403eed5134.achievement.json,a79dfe30-6036-4d81-aaa9-af403eed5134,1450742400000,
728,cb354858-ea27-4387-aed3-fb487a6955ba.binning_data.json,0,0,10,2016-03-15 19:24:41.132,com.sec.android.app.shealth,2016-03-15 19:24:41.132,,0.0,599.12,34.019997,708,VfS0qUERdZ,com.sec.android.app.shealth,0,cb354858-ea27-4387-aed3-fb487a6955ba.achievement.json,cb354858-ea27-4387-aed3-fb487a6955ba,1426291200000,
12922,6f3ce423-ce43-4ae6-a055-8306ab07ce83.binning_data.json,4610843,0,2492,2016-03-15 19:25:12.535,com.sec.android.app.shealth,2016-03-15 19:25:12.535,,2.3751166,10951.29,686.64,10390,VfS0qUERdZ,com.sec.android.app.shealth,0,6f3ce423-ce43-4ae6-a055-8306ab07ce83.achievement.json,6f3ce423-ce43-4ae6-a055-8306ab07ce83,1435017600000,
2791,e1c852ae-9c6c-4f06-8464-63f935f3438c.binning_data.json,1464759,10000,78,2016-03-04 05:00:02.538,com.sec.android.app.shealth,2016-03-04 05:00:02.538,,6.9444447,2140.8298,129.29,2713,OBFuvbOf82,com.sec.android.app.shealth,0,e1c852ae-9c6c-4f06-8464-63f935f3438c.achievement.json,e1c852ae-9c6c-4f06-8464-63f935f3438c,1456963200000,
16570,83a4b5ef-1353-405a-bf44-84f090eaa479.binning_data.json,0,0,0,2016-03-15 19:23:36.534,com.sec.android.app.shealth,2016-03-15 19:23:36.534,,0.0,13249.96,835.911,16570,VfS0qUERdZ,com.sec.android.app.shealth,0,83a4b5ef-1353-405a-bf44-84f090eaa479.achievement.json,83a4b5ef-1353-405a-bf44-84f090eaa479,1402358400000,
12069,6d663989-6bb7-46b9-9ba5-4db7ae379b8b.binning_data.json,0,0,272,2016-03-15 19:24:07.954,com.sec.android.app.shealth,2016-03-15 19:24:07.954,,0.0,9617.128,522.0766,11652,VfS0qUERdZ,com.sec.android.app.shealth,0,6d663989-6bb7-46b9-9ba5-4db7ae379b8b.achievement.json,6d663989-6bb7-46b9-9ba5-4db7ae379b8b,1416182400000,
6774,656d7afd-7413-4c66-9320-b353f149db19.binning_data.json,0,0,21,2016-03-15 19:24:05.394,com.sec.android.app.shealth,2016-03-15 19:24:05.394,,0.0,5157.1904,295.1939,6670,VfS0qUERdZ,com.sec.android.app.shealth,0,656d7afd-7413-4c66-9320-b353f149db19.achievement.json,656d7afd-7413-4c66-9320-b353f149db19,1414972800000,
9253,834d3d4f-2cb9-40f3-9061-13558d88e26b.binning_data.json,0,0,0,2016-03-15 19:23:38.355,com.sec.android.app.shealth,2016-03-15 19:23:38.355,,0.0,7104.21,398.18,9253,VfS0qUERdZ,com.sec.android.app.shealth,0,834d3d4f-2cb9-40f3-9061-13558d88e26b.achievement.json,834d3d4f-2cb9-40f3-9061-13558d88e26b,1402963200000,
7402,fa0dd166-446b-4a7e-8c33-195189777cfc.binning_data.json,3805345,0,135,2016-03-15 19:25:25.449,com.sec.android.app.shealth,2016-03-15 19:25:25.449,,1.5453866,5880.73,318.21,7267,VfS0qUERdZ,com.sec.android.app.shealth,0,fa0dd166-446b-4a7e-8c33-195189777cfc.achievement.json,fa0dd166-446b-4a7e-8c33-195189777cfc,1437868800000,
3503,2a3f7b75-0afe-46a0-ba7d-b3d80a893c61.binning_data.json,1549814,0,73,2016-03-15 19:25:42.017,com.sec.android.app.shealth,2016-03-15 19:25:42.017,,1.8089135,2803.48,158.0,3430,VfS0qUERdZ,com.sec.android.app.shealth,0,2a3f7b75-0afe-46a0-ba7d-b3d80a893c61.achievement.json,2a3f7b75-0afe-46a0-ba7d-b3d80a893c61,1441670400000,
24,c47412f1-70ec-4128-8015-f2115ec15577.binning_data.json,16361,0,0,2016-03-15 19:24:39.987,com.sec.android.app.shealth,2016-03-15 19:24:39.987,,0.0,18.690002,1.0000001,24,VfS0qUERdZ,com.sec.android.app.shealth,0,c47412f1-70ec-4128-8015-f2115ec15577.achievement.json,c47412f1-70ec-4128-8015-f2115ec15577,1425859200000,
1488,b88c93e3-a18a-4950-a163-1d8124226c2e.binning_data.json,776270,10000,48,2016-02-25 05:00:04.968,com.sec.android.app.shealth,2016-02-25 05:00:04.968,,3.2777774,1188.8,67.06,1440,OBFuvbOf82,com.sec.android.app.shealth,0,b88c93e3-a18a-4950-a163-1d8124226c2e.achievement.json,b88c93e3-a18a-4950-a163-1d8124226c2e,1456272000000,
1481,85afe645-92c4-4004-b6f7-9198073be276.binning_data.json,897159,0,41,2016-03-15 19:24:47.730,com.sec.android.app.shealth,2016-03-15 19:24:47.730,,0.0,1276.23,79.380005,1440,VfS0qUERdZ,com.sec.android.app.shealth,1212,85afe645-92c4-4004-b6f7-9198073be276.achievement.json,85afe645-92c4-4004-b6f7-9198073be276,1428969600000,
3149,0c2abe84-66ed-48c9-ad10-ab973119c687.binning_data.json,0,0,0,2016-03-15 19:23:56.388,com.sec.android.app.shealth,2016-03-15 19:23:56.388,,0.0,2218.29,130.24,3149,VfS0qUERdZ,com.sec.android.app.shealth,0,0c2abe84-66ed-48c9-ad10-ab973119c687.achievement.json,0c2abe84-66ed-48c9-ad10-ab973119c687,1410652800000,
2903,15cb72b2-dac3-4c2d-b34a-94827b203879.binning_data.json,1662930,6000,33,2015-12-11 16:46:18.533,com.sec.android.app.shealth,2015-12-10 18:57:12.598,,3.0,2242.9,125.5,2870,ROm+XQMkto,com.sec.android.app.shealth,0,15cb72b2-dac3-4c2d-b34a-94827b203879.achievement.json,15cb72b2-dac3-4c2d-b34a-94827b203879,1449705600000,
2121,37a4a18e-51dc-487e-aca4-b54948c5fbe7.binning_data.json,0,0,0,2016-03-15 19:23:50.613,com.sec.android.app.shealth,2016-03-15 19:23:50.613,,0.0,1422.04,89.979,2121,VfS0qUERdZ,com.sec.android.app.shealth,0,37a4a18e-51dc-487e-aca4-b54948c5fbe7.achievement.json,37a4a18e-51dc-487e-aca4-b54948c5fbe7,1407715200000,
5829,2eff3b1b-9d5c-467c-8185-390cb65b232f.binning_data.json,3334609,6000,78,2016-01-24 23:49:16.571,com.sec.android.app.shealth,2016-01-23 23:49:59.395,,3.0007746,4511.33,251.12,5751,ROm+XQMkto,com.sec.android.app.shealth,0,2eff3b1b-9d5c-467c-8185-390cb65b232f.achievement.json,2eff3b1b-9d5c-467c-8185-390cb65b232f,1453507200000,
3010,7c1a1d5a-25cd-423c-aad6-72b055be194c.binning_data.json,0,0,0,2016-03-15 19:23:27.952,com.sec.android.app.shealth,2016-03-15 19:23:27.952,,0.0,2376.74,130.769,3010,VfS0qUERdZ,com.sec.android.app.shealth,0,7c1a1d5a-25cd-423c-aad6-72b055be194c.achievement.json,7c1a1d5a-25cd-423c-aad6-72b055be194c,1398556800000,
