com.samsung.shealth.tracker.pedometer_step_count,6242001,2
duration,version_code,run_step,walk_step,com.samsung.health.step_count.start_time,com.samsung.health.step_count.sample_position_type,com.samsung.health.step_count.custom,com.samsung.health.step_count.update_time,com.samsung.health.step_count.create_time,com.samsung.health.step_count.count,com.samsung.health.step_count.speed,com.samsung.health.step_count.distance,com.samsung.health.step_count.calorie,com.samsung.health.step_count.time_offset,com.samsung.health.step_count.deviceuuid,com.samsung.health.step_count.pkg_name,com.samsung.health.step_count.end_time,com.samsung.health.step_count.datauuid
11219,4,0,19,2023-06-30 05:29:00.000,,,2023-06-30 05:29:50.756,2023-06-30 05:29:33.710,19,1.2799128,14.360001,0.6099999,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-06-30 05:30:00.000,4f5cbc93-9b45-4229-8335-b7ef5f6d0750,
4764,4,0,7,2023-06-30 14:18:00.000,,,2023-06-30 14:18:07.496,2023-06-30 14:18:06.842,7,1.0514716,5.01,0.23,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-06-30 14:19:00.000,39ac9692-9faf-478f-bef3-be8580e9f860,
8018,4,0,13,2023-06-30 21:41:00.000,,,2023-06-30 21:42:30.330,2023-06-30 21:41:02.145,13,1.2222222,9.8,0.33,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-06-30 21:42:00.000,fbce1e21-d19c-4e2e-b87f-55a4aea4499d,
23593,4,0,36,2023-06-30 23:08:00.000,,,2023-06-30 23:09:18.632,2023-06-30 23:08:00.175,35,1.0884403,25.679998,1.0899999,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-06-30 23:09:00.000,d0d25d22-455f-42b1-b60e-0febe815dc29,
7400,4,0,12,2023-07-01 00:09:00.000,,,2023-07-01 00:10:37.615,2023-07-01 00:10:37.615,12,1.1944444,8.84,0.38,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 00:10:00.000,60f8f852-05fb-426e-b879-e4881986f888,
25785,4,0,34,2023-07-01 03:11:00.000,,,2023-07-01 03:13:06.504,2023-07-01 03:13:06.504,34,1.1111112,28.65,1.28,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 03:12:00.000,32b11959-7355-4636-88ec-79b91c6efb0b,
12951,4,0,20,2023-06-30 05:30:00.000,,,2023-06-30 05:31:01.299,2023-06-30 05:31:01.299,20,1.1388888,14.75,0.62,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-06-30 05:31:00.000,1da20b15-26d4-49fe-b453-16d127fc3a2c,
22310,4,0,36,2023-07-01 01:38:00.000,,,2023-07-01 01:38:39.853,2023-07-01 01:38:39.853,36,1.0833333,24.17,1.79,UTC-0400,ry+ZjrbuWN,com.sec.android.app.shealth,2023-07-01 01:39:00.000,3c0094ba-e000-42a4-bdba-018645a81c84,
8234,4,0,12,2023-06-30 14:42:00.000,,,2023-06-30 14:42:21.835,2023-06-30 14:42:17.249,12,1.0517352,8.660001,0.38,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-06-30 14:43:00.000,1dd6c0c5-d7cd-42c4-8fb4-53bc3203a856,
19145,4,0,30,2023-07-01 16:36:00.000,,,2023-07-01 16:36:34.511,2023-07-01 16:36:09.329,30,1.1559036,22.13,0.98,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 16:37:00.000,60fa6e98-efd8-4ddf-83c1-b738402fc747,
12917,4,0,20,2023-06-30 21:46:00.000,,,2023-06-30 21:47:07.875,2023-06-30 21:46:55.242,20,1.1333044,14.6399975,0.63999987,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-06-30 21:47:00.000,dad29432-10d2-4f0b-af75-c3b65935d672,
4653,4,0,7,2023-07-01 17:57:00.000,,,2023-07-01 17:57:08.931,2023-07-01 17:57:08.931,7,1.1111112,5.17,0.23,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 17:58:00.000,5a65171a-2839-43c2-a108-20c0e8d9f32e,
13003,4,0,18,2023-06-30 23:09:00.000,,,2023-06-30 23:09:54.501,2023-06-30 23:09:38.712,18,0.98896015,12.86,0.5899999,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-06-30 23:10:00.000,eb1a7002-e095-4376-ac63-23c1dc51e053,
6427,4,0,10,2023-07-01 18:13:00.000,,,2023-07-01 18:14:41.337,2023-07-01 18:14:41.337,10,1.1388888,7.32,0.33,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 18:14:00.000,65d98887-51f5-4038-a1e7-2a084a2257d9,
16009,4,0,30,2023-07-01 00:10:00.000,,,2023-07-01 00:10:37.641,2023-07-01 00:10:37.641,30,1.4166666,22.68,0.94,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 00:11:00.000,28c0ff0a-3678-43a1-b976-b00841a50d7f,
16637,4,0,27,2023-07-01 00:08:00.000,,,2023-07-01 00:08:37.743,2023-07-01 00:08:37.743,27,1.1666666,19.41,1.37,UTC-0400,ry+ZjrbuWN,com.sec.android.app.shealth,2023-07-01 00:09:00.000,8dc1f7c4-b0d9-47b1-a7a6-4db505e14c74,
10923,4,0,16,2023-07-01 02:12:00.000,,,2023-07-01 02:14:59.421,2023-07-01 02:14:59.421,16,0.9722222,10.62,0.81,UTC-0400,ry+ZjrbuWN,com.sec.android.app.shealth,2023-07-01 02:13:00.000,8bf67557-a389-4b5c-b464-4d6eda69fc46,
13403,4,0,20,2023-07-01 16:43:00.000,,,2023-07-01 16:53:03.352,2023-07-01 16:53:03.352,20,1.0833334,14.52,0.65,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 16:44:00.000,ba6dceb6-8645-454c-ad31-6c8f59ac63f5,
5275,4,0,10,2023-07-01 18:03:00.000,,,2023-07-01 18:03:59.837,2023-07-01 18:03:59.644,10,1.4444444,7.62,0.32,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 18:04:00.000,90220462-b259-4692-8711-8bad6f1b2b16,
3587,4,0,7,2023-06-30 05:37:00.000,,,2023-06-30 05:38:35.891,2023-06-30 05:38:35.891,7,1.5555556,5.58,0.22,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-06-30 05:38:00.000,8862e869-e574-4ec8-bd4a-5026de879bfb,
7951,4,0,13,2023-07-01 18:56:00.000,,,2023-07-01 19:11:27.408,2023-07-01 18:56:00.185,13,1.2110761,9.629999,0.41,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 18:57:00.000,0b8771ba-41d7-40c6-93e3-182cb22214b2,
6975,4,0,10,2023-07-01 18:19:00.000,,,2023-07-01 18:19:27.844,2023-07-01 18:19:25.386,10,1.0235871,7.14,0.32999998,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 18:20:00.000,5cf3a0fe-22cd-4175-a7fe-eaf94b9015d0,
6809,4,0,13,2023-07-01 23:04:00.000,,,2023-07-01 23:04:59.953,2023-07-01 23:04:54.365,13,1.5168936,10.33,0.41,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 23:05:00.000,a62f73b1-2519-46c6-bd13-22eb56f2e7d4,
5588,4,0,10,2023-07-01 19:11:00.000,,,2023-07-01 19:11:31.951,2023-07-01 19:11:29.419,10,1.3795577,7.71,0.31,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 19:12:00.000,546dadba-09b7-4e7a-9c47-364a16edf536,
10265,4,0,14,2023-07-01 23:16:00.000,,,2023-07-01 23:29:09.391,2023-07-01 23:29:09.391,14,0.9722222,9.98,0.45,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 23:17:00.000,52388edb-1829-4b95-82ca-fc761405eb5e,
5299,4,0,8,2023-07-01 23:05:00.000,,,2023-07-01 23:05:07.052,2023-07-01 23:05:00.699,8,1.1000948,5.83,0.24,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 23:06:00.000,811133e1-7711-4543-8bfd-85e0db211442,
60000,4,0,89,2023-07-01 23:33:00.000,,,2023-07-01 23:35:01.874,2023-07-01 23:35:01.874,89,1.0768334,64.61,2.69,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 23:34:00.000,951134d6-7340-4a43-941e-465d0a6c80e5,
12360,4,0,17,2023-07-01 23:17:00.000,,,2023-07-01 23:29:09.472,2023-07-01 23:29:09.472,17,1.0,12.36,0.56,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-07-01 23:18:00.000,54acdcd6-3c43-43e8-b328-acd43e7e658a,
4478,4,0,7,2023-06-30 14:10:00.000,,,2023-06-30 14:13:04.274,2023-06-30 14:13:04.274,7,1.1388888,5.1,0.23,UTC-0400,riNzA2w1UR,com.sec.android.app.shealth,2023-06-30 14:11:00.000,72e07363-0ef1-4dd8-a41b-4f4e069f223e,
38813,4,0,61,2023-07-01 23:29:00.000,,,2023-07-01 23:35:00.513,2023-07-01 23:35:00.513,61,1.0555555,40.97,3.09,UTC-0400,ry+ZjrbuWN,com.sec.android.app.shealth,2023-07-01 23:30:00.000,9a59b2d2-6cb8-4d6b-9f26-c566f5d4ecb7,
