date,exercise_sessions,exercise_duration_min,exercise_steps,exercise_distance,exercise_calorie,total_steps,exercise_step_fraction
2014-04-23,1,49.57,0.0,3.23,202.32,0,
2014-04-24,0,0.0,0.0,0.0,0.0,6440,0.0
2014-04-25,3,58.62,0.0,4.95,310.73,10170,0.0
2014-04-26,0,0.0,0.0,0.0,0.0,10659,0.0
2014-04-27,0,0.0,0.0,0.0,0.0,3010,0.0
2014-04-28,1,30.24,0.0,2.95,196.57,5858,0.0
2014-04-29,0,0.0,0.0,0.0,0.0,6372,0.0
2014-04-30,1,30.4,0.0,3.13,211.42,188,0.0
2014-05-01,0,0.0,0.0,0.0,0.0,5274,0.0
2014-05-02,1,30.93,0.0,3.05,208.45,17822,0.0
2014-05-04,0,0.0,0.0,0.0,0.0,14905,0.0
2014-05-05,1,30.36,0.0,2.88,197.58,0,
2014-05-06,0,0.0,0.0,0.0,0.0,3035,0.0
2014-05-07,0,0.0,0.0,0.0,0.0,3760,0.0
2014-05-08,1,30.96,0.0,2.95,206.14,5723,0.0
2014-05-10,0,0.0,0.0,0.0,0.0,3671,0.0
2014-05-11,0,0.0,0.0,0.0,0.0,2264,0.0
2014-05-12,1,30.34,0.0,2.83,190.19,6028,0.0
2014-05-14,0,0.0,0.0,0.0,0.0,543,0.0
2014-05-15,0,0.0,0.0,0.0,0.0,5652,0.0
2014-05-16,1,28.23,0.0,2.86,200.55,6046,0.0
2014-05-17,0,0.0,0.0,0.0,0.0,2310,0.0
2014-05-18,1,30.94,0.0,3.22,220.36,7986,0.0
2014-05-19,1,36.21,0.0,3.99,298.73,14140,0.0
2014-05-20,0,0.0,0.0,0.0,0.0,18900,0.0
2014-05-21,0,0.0,0.0,0.0,0.0,5174,0.0
2014-05-22,1,34.07,0.0,3.77,278.58,7635,0.0
2014-05-23,1,31.34,0.0,3.02,215.92,6927,0.0
2014-05-24,0,0.0,0.0,0.0,0.0,155,0.0
2014-05-25,0,0.0,0.0,0.0,0.0,1449,0.0
2014-05-26,0,0.0,0.0,0.0,0.0,3495,0.0
2014-05-27,1,33.41,0.0,3.96,306.35,15481,0.0
2014-05-29,1,31.57,0.0,3.36,236.82,5522,0.0
2014-05-30,0,0.0,0.0,0.0,0.0,10096,0.0
2014-05-31,0,0.0,0.0,0.0,0.0,1073,0.0
2014-06-01,1,48.34,0.0,4.39,310.37,9256,0.0
2014-06-02,0,0.0,0.0,0.0,0.0,5520,0.0
2014-06-03,1,38.06,0.0,4.11,298.95,13393,0.0
2014-06-04,0,0.0,0.0,0.0,0.0,3222,0.0
2014-06-05,0,0.0,0.0,0.0,0.0,11940,0.0
2014-06-06,0,0.0,0.0,0.0,0.0,1084,0.0
2014-06-07,0,0.0,0.0,0.0,0.0,4189,0.0
2014-06-08,1,36.47,0.0,3.97,278.47,10017,0.0
2014-06-10,1,35.99,0.0,4.17,313.27,16570,0.0
2014-06-11,0,0.0,0.0,0.0,0.0,7607,0.0
2014-06-12,0,0.0,0.0,0.0,0.0,7138,0.0
2014-06-13,1,82.9,0.0,4.21,310.53,8755,0.0
2014-06-14,0,0.0,0.0,0.0,0.0,4141,0.0
2014-06-15,1,31.94,0.0,3.77,292.01,6418,0.0
2014-06-16,1,33.06,0.0,3.25,222.74,14230,0.0
2014-06-17,0,0.0,0.0,0.0,0.0,9253,0.0
2014-06-18,1,28.1,0.0,2.82,206.92,5663,0.0
2014-06-19,0,0.0,0.0,0.0,0.0,6367,0.0
2014-06-20,0,0.0,0.0,0.0,0.0,9619,0.0
2014-06-21,1,37.78,0.0,3.99,316.28,8902,0.0
2014-06-22,1,31.62,0.0,2.78,179.4,5325,0.0
2014-06-23,1,41.88,0.0,3.58,257.91,4677,0.0
2014-06-24,0,0.0,0.0,0.0,0.0,11093,0.0
2014-06-25,0,0.0,0.0,0.0,0.0,8482,0.0
2014-06-26,0,0.0,0.0,0.0,0.0,7008,0.0
2014-06-27,0,0.0,0.0,0.0,0.0,7112,0.0
2014-06-28,0,0.0,0.0,0.0,0.0,1568,0.0
2014-06-29,1,38.14,0.0,4.0,284.05,7808,0.0
2014-06-30,0,0.0,0.0,0.0,0.0,15305,0.0
2014-07-01,0,0.0,0.0,0.0,0.0,9353,0.0
2014-07-02,0,0.0,0.0,0.0,0.0,1968,0.0
2014-07-03,0,0.0,0.0,0.0,0.0,7384,0.0
2014-07-04,0,0.0,0.0,0.0,0.0,4103,0.0
2014-07-05,0,0.0,0.0,0.0,0.0,131,0.0
2014-07-06,0,0.0,0.0,0.0,0.0,1588,0.0
2014-07-07,0,0.0,0.0,0.0,0.0,8365,0.0
2014-07-08,0,0.0,0.0,0.0,0.0,7155,0.0
2014-07-09,0,0.0,0.0,0.0,0.0,3681,0.0
2014-07-10,0,0.0,0.0,0.0,0.0,3397,0.0
2014-07-11,0,0.0,0.0,0.0,0.0,3353,0.0
2014-07-12,0,0.0,0.0,0.0,0.0,3548,0.0
2014-07-13,0,0.0,0.0,0.0,0.0,10054,0.0
2014-07-14,0,0.0,0.0,0.0,0.0,10299,0.0
2014-07-15,0,0.0,0.0,0.0,0.0,1723,0.0
2014-07-16,0,0.0,0.0,0.0,0.0,11164,0.0
2014-07-17,0,0.0,0.0,0.0,0.0,4264,0.0
2014-07-18,0,0.0,0.0,0.0,0.0,2416,0.0
2014-07-19,0,0.0,0.0,0.0,0.0,8084,0.0
2014-07-20,0,0.0,0.0,0.0,0.0,170,0.0
2014-07-21,0,0.0,0.0,0.0,0.0,1698,0.0
2014-07-22,0,0.0,0.0,0.0,0.0,5871,0.0
2014-07-24,0,0.0,0.0,0.0,0.0,2363,0.0
2014-07-25,0,0.0,0.0,0.0,0.0,2824,0.0
2014-07-26,0,0.0,0.0,0.0,0.0,4994,0.0
2014-07-27,0,0.0,0.0,0.0,0.0,3348,0.0
2014-07-29,0,0.0,0.0,0.0,0.0,3406,0.0
2014-07-30,0,0.0,0.0,0.0,0.0,4334,0.0
2014-08-01,0,0.0,0.0,0.0,0.0,6194,0.0
2014-08-02,0,0.0,0.0,0.0,0.0,2894,0.0
2014-08-03,0,0.0,0.0,0.0,0.0,10247,0.0
2014-08-05,0,0.0,0.0,0.0,0.0,10279,0.0
2014-08-06,0,0.0,0.0,0.0,0.0,3471,0.0
2014-08-08,0,0.0,0.0,0.0,0.0,829,0.0
2014-08-09,0,0.0,0.0,0.0,0.0,5381,0.0
2014-08-10,0,0.0,0.0,0.0,0.0,819,0.0
2014-08-11,0,0.0,0.0,0.0,0.0,2121,0.0
2014-08-12,0,0.0,0.0,0.0,0.0,2567,0.0
2014-08-13,0,0.0,0.0,0.0,0.0,3598,0.0
2014-08-14,0,0.0,0.0,0.0,0.0,4971,0.0
2014-08-16,0,0.0,0.0,0.0,0.0,3713,0.0
2014-08-17,0,0.0,0.0,0.0,0.0,3758,0.0
2014-08-18,0,0.0,0.0,0.0,0.0,5122,0.0
2014-08-19,0,0.0,0.0,0.0,0.0,5200,0.0
