date,type,duration_min,distance,calorie,source
2011-06-16,walking,60,,,mfp
2013-04-15,running,16,,,mfp
2013-04-16,running,22,,,mfp
2013-04-18,running,23,,,mfp
2013-04-18,running,5,,,mfp
2013-04-22,running,24,,,mfp
2013-04-23,running,58,,,mfp
2013-04-24,running,22,,,mfp
2013-06-14,walking,60,,,mfp
2013-08-10,walking,60,,,mfp
2014-03-08,walking,74,,,mfp
2014-04-23,walking,49.57,3.22941,202.32,samsung
2014-04-25,walking,9.21,0.55876,30.89,samsung
2014-04-25,walking,19.32,1.39918,77.121,samsung
2014-04-25,running,30.09,2.99523,202.721,samsung
2014-04-28,running,30.24,2.95255,196.57,samsung
2014-04-30,running,30.4,3.13042,211.42,samsung
2014-05-02,running,30.93,3.05292,208.45,samsung
2014-05-05,running,30.36,2.88102,197.58,samsung
2014-05-08,running,30.96,2.94879,206.14,samsung
2014-05-12,running,30.34,2.82864,190.19,samsung
2014-05-16,running,28.23,2.86046,200.549,samsung
2014-05-18,running,30.94,3.22252,220.36,samsung
2014-05-19,running,36.21,3.98701,298.73,samsung
2014-05-22,running,34.07,3.76915,278.581,samsung
2014-05-23,running,31.34,3.02023,215.92,samsung
2014-05-27,running,33.41,3.9595697,306.35,samsung
2014-05-29,running,31.57,3.35632,236.82,samsung
2014-06-01,running,48.34,4.38976,310.371,samsung
2014-06-03,running,38.06,4.1058,298.95,samsung
2014-06-08,running,36.47,3.97047,278.469,samsung
2014-06-10,running,35.99,4.17142,313.27,samsung
2014-06-13,running,82.9,4.20675,310.529,samsung
2014-06-15,running,31.94,3.76753,292.01,samsung
2014-06-16,running,33.06,3.24972,222.74,samsung
2014-06-18,running,28.1,2.82427,206.92,samsung
2014-06-21,running,37.78,3.98799,316.28,samsung
2014-06-22,running,31.62,2.78372,179.4,samsung
2014-06-23,running,41.88,3.57917,257.909,samsung
2014-06-29,running,38.14,4.00116,284.05,samsung
2014-11-23,walking,35.73,2410.07,131.0,samsung
2014-11-24,running,25.55,2971.11,244.0,samsung
2014-11-26,running,30.95,4098.56,337.0,samsung
2014-11-29,running,28.02,3119.27,257.0,samsung
2014-12-03,running,31.82,3999.91,328.0,samsung
2014-12-05,running,30.88,3763.86,309.0,samsung
2014-12-07,running,35.03,4372.44,359.0,samsung
2014-12-09,running,34.47,4247.66,349.0,samsung
2014-12-15,running,34.73,4467.72,367.0,samsung
2014-12-17,running,36.37,4336.93,355.0,samsung
2015-01-15,running,34.65,4450.33,366.0,samsung
2015-01-21,running,32.78,3943.53,324.0,samsung
2015-01-29,running,36.67,4710.38,387.0,samsung
2015-02-04,running,37.2,4215.24,346.0,samsung
2015-02-08,running,31.08,3776.25,310.0,samsung
2015-04-13,running,18.58,2293.84,188.0,samsung
2015-04-17,running,24.63,2956.06,243.0,samsung
2015-04-20,running,25.43,3109.42,254.0,samsung
2015-04-24,running,36.2,4679.72,387.0,samsung
2015-04-27,running,34.97,3912.22,322.751,samsung
2015-05-01,running,41.55,4937.07,409.723,samsung
2015-05-04,running,112.85,5505.55,455.558,samsung
2015-05-06,running,37.93,3538.86,293.626,samsung
2015-05-08,running,27.52,3309.71,272.159,samsung
2015-05-11,running,20.25,2904.84,238.648,samsung
2015-05-13,running,28.8,3901.08,320.442,samsung
2015-05-15,running,77.25,8113.93,667.281,samsung
2015-05-18,running,6.73,1033.92,85.142,samsung
2015-05-18,running,56.83,6466.79,538.268,samsung
2015-05-24,walking,21.7,1758.59,95.721,samsung
2015-05-26,running,46.97,6167.14,510.295,samsung
2015-05-29,running,22.78,3370.13,282.186,samsung
2015-06-01,running,34.47,4023.15,332.212,samsung
2015-06-03,running,26.4,3735.58,315.695,samsung
2015-06-05,running,40.32,5732.78,478.613,samsung
2015-06-08,running,5.53,793.238,71.181,samsung
2015-06-10,running,30.2,4527.14,375.125,samsung
2015-06-10,running,2.67,456.067,42.244,samsung
2015-06-12,running,30.57,4156.51,343.555,samsung
2015-06-15,running,30.17,4159.22,341.189,samsung
2015-06-22,running,64.37,6552.21,538.847,samsung
2015-06-23,running,2.93,479.054,40.423,samsung
2015-07-03,running,31.8,5204.1,432.315,samsung
2015-07-11,running,21.67,3364.09,276.862,samsung
2015-07-12,running,30.15,4334.02,356.945,samsung
2015-07-13,running,32.47,4540.49,372.501,samsung
2015-07-15,running,30.08,4562.22,375.164,samsung
2015-07-23,running,30.07,4991.34,408.44,samsung
2015-07-27,running,30.98,4968.77,409.249,samsung
2015-08-02,running,32.77,3399.12,279.391,samsung
2015-08-11,running,18.27,2951.94,242.764,samsung
2015-09-02,running,33.83,4946.07,405.846,samsung
2015-09-05,running,28.97,4748.84,388.789,samsung
2015-11-22,walking,14.65,878.7,45.0,samsung
2015-11-22,walking,59.0,2938.953,161.0,samsung
2015-11-22,walking,17.98,1248.44,66.0,samsung
2015-12-04,running,59.23,5012.152,413.0,samsung
2015-12-07,running,13.28,2088.119,169.0,samsung
2015-12-07,walking,13.88,983.77,56.0,samsung
2015-12-07,walking,23.37,1722.64,98.0,samsung
2015-12-13,walking,48.6,3420.221,186.0,samsung
2015-12-26,walking,22.22,1290.64,69.0,samsung
2015-12-30,walking,26.73,1893.92,102.0,samsung
2016-01-17,walking,19.46,1224.47,70.0,samsung
2016-02-01,walking,27.7,1773.35,93.0,samsung
2016-02-06,walking,29.0,2335.205,126.0,samsung
2016-02-07,walking,16.77,1048.95,57.0,samsung
2016-02-07,walking,19.47,1288.64,75.0,samsung
2016-02-12,walking,24.2,905.26,50.0,samsung
2016-02-12,walking,24.01,1711.18,98.0,samsung
2016-02-19,walking,13.23,875.84,53.0,samsung
2016-02-27,running,12.03,1627.818,134.0,samsung
2016-02-27,walking,11.54,841.42,47.0,samsung
