date,name,calories,minutes,source
2011-04-26,Hospital,300,240,html
2011-05-03,Hospital,300,240,html
2011-05-10,Hospital,300,240,html
2011-05-16,Hospital,300,240,html
2011-05-17,Hospital,300,240,html
2011-05-24,Hospital,300,240,html
2011-05-31,Hospital,300,240,html
2011-06-07,Hospital,300,240,html
2011-06-08,Hospital,300,240,html
2011-06-11,"Vision, P3, L5",300,48,html
2011-06-14,Hospital,300,240,html
2011-06-16,Hospital,300,240,html
2011-06-16,"Walking, 2.5 mph, leisurely pace",336,60,html
2011-06-17,Hospital,300,240,html
2011-06-20,Hospital,300,240,html
2011-06-21,Hospital,300,240,html
2011-07-05,Hospital,300,240,html
2011-07-06,Hospital,300,240,html
2011-07-08,Hospital,300,240,html
2011-07-12,Hospital,300,240,html
2011-07-13,Hospital,300,240,html
2011-07-14,Hospital,300,240,html
2011-07-15,Hospital,300,240,html
2011-07-18,Hospital,300,240,html
2011-07-19,Hospital,300,240,html
2011-07-21,Hospital,300,240,html
2011-07-26,Hospital,300,240,html
2011-07-27,Hospital,300,240,html
2011-07-28,Hospital,300,240,html
2011-07-29,Hospital,300,240,html
2011-08-02,Hospital,300,240,html
2011-08-05,Hospital,300,240,html
2011-08-09,Hospital,300,240,html
2011-08-15,Hospital,300,240,html
2011-08-16,Hospital,300,240,html
2011-08-18,Hospital,300,240,html
2011-08-23,Hospital,300,240,html
2011-08-30,Hospital,300,240,html
2011-09-06,Hospital,300,240,html
2011-09-11,Hospital,300,240,html
2011-09-20,Hospital,300,240,html
2011-09-21,Hospital,300,240,html
2011-09-27,Hospital,300,240,html
2011-10-04,Hospital,300,240,html
2011-10-11,Hospital,300,240,html
2011-10-13,Hospital,300,240,html
2011-10-15,Hospital,300,240,html
2011-10-18,Hospital,300,240,html
2011-10-25,Hospital,300,240,html
2011-11-01,Hospital,300,240,html
2011-11-08,Hospital,300,240,html
2011-11-15,Hospital,300,240,html
2011-11-22,Hospital,300,240,html
2011-11-23,Hospital,300,240,html
2011-11-25,Hospital,300,240,html
2011-11-26,Hospital,300,240,html
2011-11-27,Hospital,300,240,html
2011-11-29,Hospital,300,240,html
2011-12-06,Hospital,300,240,html
2011-12-13,Hospital,300,240,html
2011-12-20,Hospital,300,240,html
2011-12-22,Hospital,300,240,html
2011-12-23,Hospital,300,240,html
2011-12-27,Hospital,300,240,html
2012-01-03,Hospital,300,240,html
2012-01-08,Hospital,300,240,html
2012-01-10,Hospital,300,240,html
2012-01-16,Hospital,300,240,html
2012-01-17,Hospital,300,240,html
2012-01-23,Hospital,300,240,html
2012-01-24,Hospital,300,240,html
2012-01-24,Hospital,300,240,html
2012-01-31,Hospital,300,240,html
2012-02-13,Hospital,300,240,html
2012-02-14,Hospital,300,240,html
2012-02-20,Hospital,300,240,html
2012-02-21,Hospital,300,240,html
2012-02-28,Hospital,300,240,html
2012-03-06,Hospital,600,480,html
2012-03-13,Hospital,300,240,html
2012-03-20,Hospital,300,240,html
2012-03-21,Hospital,300,240,html
2012-03-23,Hospital,600,480,html
2012-03-27,Hospital,300,240,html
2012-04-03,Hospital,300,240,html
2012-04-06,Hospital,300,240,html
2012-04-10,Hospital,300,240,html
2012-04-17,Hospital,300,240,html
2012-04-24,Hospital,300,240,html
2012-05-01,Hospital,300,240,html
2012-05-08,Hospital,300,240,html
2012-05-14,"Bicycling, 10-12 mph, light (cycling, biking, bike riding)",704,80,html
2012-05-15,"Bicycling, <10 mph, leisure (cycling, biking, bike riding)",146,25,html
2012-05-16,"Bicycling, <10 mph, leisure (cycling, biking, bike riding)",146,25,html
2012-05-22,Hospital,300,240,html
2012-05-29,Hospital,300,240,html
2012-06-04,Hospital,600,480,html
2012-06-05,Hospital,300,240,html
2012-06-08,Hospital,300,240,html
2012-06-11,Hospital,300,240,html
2012-06-12,Hospital,300,240,html
2012-06-14,Hospital,600,480,html
2012-06-15,Hospital,300,240,html
2012-06-19,Hospital,600,480,html
2012-06-22,Hospital,300,240,html
2012-06-26,Hospital,300,240,html
2012-06-28,Hospital,600,480,html
2012-07-03,Hospital,300,240,html
2012-07-05,Hospital,300,240,html
2012-07-10,Hospital,300,240,html
2012-07-12,Hospital,300,240,html
2012-07-17,Hospital,600,480,html
2012-07-19,Hospital,600,480,html
2012-07-24,Hospital,600,480,html
2012-07-26,Hospital,300,240,html
2012-07-31,Hospital,300,240,html
2012-08-02,Hospital,300,240,html
2012-08-06,Hospital,600,480,html
2012-08-07,Hospital,600,480,html
2012-08-09,Hospital,600,480,html
2012-08-14,Hospital,600,480,html
2012-08-21,Hospital,300,240,html
2012-08-28,Hospital,300,240,html
2012-08-30,Hospital,300,240,html
2012-09-04,Hospital,300,240,html
2012-09-11,Hospital,300,240,html
2012-09-18,Hospital,300,240,html
2012-09-19,Hospital,300,240,html
2012-09-21,Hospital,300,240,html
2012-09-25,Hospital,300,240,html
2012-10-02,Hospital,300,240,html
2012-10-06,Hospital,300,240,html
2012-10-08,Hospital,300,240,html
2012-10-09,Hospital,300,240,html
2012-10-16,Hospital,300,240,html
2012-10-23,Hospital,600,480,html
2012-10-30,Hospital,300,240,html
2012-11-06,Hospital,300,240,html
2012-11-13,Hospital,300,240,html
2012-11-20,Hospital,600,480,html
2012-11-27,Hospital,300,240,html
2012-12-04,Hospital,300,240,html
2012-12-11,Hospital,300,240,html
2012-12-18,Hospital,300,240,html
2012-12-20,Hospital,300,240,html
2012-12-21,Hospital,300,240,html
2012-12-26,Hospital,300,240,html
2012-12-28,Hospital,300,240,html
2013-01-04,Hospital,300,240,oxps
2013-01-08,Hospital,300,240,oxps
2013-01-15,Hospital,300,240,oxps
2013-01-22,Hospital,300,240,oxps
2013-01-29,Hospital,300,240,oxps
2013-02-05,Hospital,300,240,oxps
2013-02-07,Hospital,300,240,oxps
2013-02-12,Hospital,300,240,oxps
2013-02-18,Hospital,300,240,oxps
2013-02-19,Hospital,300,240,oxps
2013-02-19,Hospital,300,240,oxps
2013-03-05,Hospital,300,240,oxps
2013-03-06,Hospital,300,240,oxps
2013-03-12,Hospital,300,240,oxps
2013-03-19,Hospital,300,240,oxps
2013-03-25,Hospital,300,240,oxps
2013-03-26,Hospital,300,240,oxps
2013-03-27,Hospital,300,240,oxps
2013-03-28,Hospital,300,240,oxps
2013-03-29,Hospital,300,240,oxps
2013-04-02,Hospital,300,240,oxps
2013-04-06,Hospital,300,240,oxps
2013-04-09,Hospital,300,240,oxps
2013-04-15,"Running (jogging), 5 mph (12 min mile)",169,16,oxps
2013-04-16,Hospital,300,240,oxps
2013-04-16,"Running (jogging), 5 mph (12 min mile)",232,22,oxps
2013-04-18,"Running (jogging), 5 mph (12 min mile)",243,23,oxps
2013-04-18,"Running (jogging), 5 mph (12 min mile)",53,5,oxps
2013-04-22,"Running (jogging), 5 mph (12 min mile)",253,24,oxps
2013-04-23,Hospital,300,240,oxps
2013-04-23,"Running (jogging), 5 mph (12 min mile)",612,58,oxps
2013-04-24,"Running (jogging), 5 mph (12 min mile)",232,22,oxps
2013-05-07,Hospital,300,240,oxps
2013-05-14,Hospital,300,240,oxps
2013-05-16,Hospital,300,240,oxps
2013-05-21,Hospital,300,240,oxps
2013-05-28,Hospital,300,240,oxps
2013-05-28,"Bicycling, 10-12 mph, light (cycling, biking, bike riding)",469,60,oxps
2013-05-31,Hospital,300,240,oxps
2013-06-03,Hospital,450,480,oxps
2013-06-04,Hospital,450,480,oxps
2013-06-06,Hospital,450,480,oxps
2013-06-10,Hospital,450,480,oxps
2013-06-11,Hospital,450,480,oxps
2013-06-14,"Walking, 2.5 mph, leisurely pace",336,60,oxps
2013-06-17,Hospital,450,480,oxps
2013-06-18,Hospital,450,480,oxps
2013-06-21,Hospital,450,480,oxps
2013-07-01,Hospital,450,480,oxps
2013-07-02,Hospital,450,480,oxps
2013-07-08,Hospital,450,480,oxps
2013-07-09,Hospital,450,480,oxps
2013-07-12,Hospital,300,240,oxps
2013-07-15,Hospital,450,480,oxps
2013-07-16,Hospital,450,480,oxps
2013-07-22,Hospital,450,480,oxps
2013-07-23,Hospital,450,480,oxps
2013-07-29,Hospital,450,480,oxps
2013-07-30,Hospital,450,480,oxps
2013-08-02,Hospital,450,480,oxps
2013-08-06,Hospital,450,480,oxps
2013-08-07,Hospital,450,480,oxps
2013-08-10,"Walking, 3.0 mph, mod. pace, walking dog",256,60,oxps
2013-08-13,Hospital,300,240,oxps
2013-08-16,Hospital,450,480,oxps
2013-08-20,Hospital,300,240,oxps
2013-08-23,Hospital,300,240,oxps
2013-08-27,Hospital,450,480,oxps
2013-09-03,Hospital,300,240,oxps
2013-09-13,Hospital,300,240,oxps
2013-09-17,Hospital,300,240,oxps
2013-09-19,Hospital,300,240,oxps
2013-09-23,Hospital,300,240,oxps
2013-10-01,Hospital,300,240,oxps
2013-10-07,Hospital,300,240,oxps
2013-10-08,Hospital,300,240,oxps
2013-10-15,Hospital,300,240,oxps
2013-10-22,Hospital,300,240,oxps
2013-10-29,Hospital,300,240,oxps
2013-11-05,Hospital,300,240,oxps
2013-11-12,Hospital,300,240,oxps
2013-11-19,Hospital,300,240,oxps
2013-11-21,Hospital,300,240,oxps
2013-11-22,Hospital,300,240,oxps
2013-11-26,Hospital,600,480,oxps
2013-12-03,Hospital,300,240,oxps
2013-12-10,Hospital,300,240,oxps
2013-12-12,Hospital,300,240,oxps
2013-12-13,Hospital,300,240,oxps
2013-12-31,Hospital,300,240,oxps
