date,sleep_start,sleep_end,sleep_hours,time_offset
2016-12-03,17:06,18:17,1.18,UTC-0500
2017-01-09,03:40,11:10,7.50,UTC-0500
2017-01-12,03:10,10:20,7.17,UTC-0500
2017-01-13,01:20,09:50,8.50,UTC-0500
2017-01-14,01:00,10:40,9.67,UTC-0500
2017-01-15,02:30,09:10,6.67,UTC-0500
2017-01-16,03:00,11:50,8.83,UTC-0500
2017-01-17,03:40,11:10,7.50,UTC-0500
2017-01-19,03:50,11:20,7.50,UTC-0500
2017-02-27,18:23,18:29,0.10,UTC-0500
2017-02-28,17:25,18:14,0.82,UTC-0500
2017-03-01,01:00,02:59,1.98,UTC-0500
2017-03-02,01:20,08:20,7.00,UTC-0600
2017-03-03,23:50,05:20,5.50,UTC-0600
2017-03-04,00:30,08:00,7.50,UTC-0600
2017-03-05,00:10,08:30,8.33,UTC-0600
2017-03-06,00:20,07:40,7.33,UTC-0600
2017-03-07,11:51,13:21,1.50,UTC-0600
2017-03-08,02:29,06:46,4.28,UTC-0600
2017-03-28,16:17,19:58,3.68,UTC-0400
2017-04-07,02:50,11:10,8.33,UTC-0400
2017-04-08,03:00,11:20,8.33,UTC-0400
2017-04-09,03:37,12:10,8.55,UTC-0400
2017-04-10,04:20,11:20,7.00,UTC-0400
2017-04-11,03:00,11:00,8.00,UTC-0400
2017-04-12,03:50,10:50,7.00,UTC-0400
2017-04-15,03:10,09:50,6.67,UTC-0400
2017-07-04,17:15,19:47,2.53,UTC-0400
2017-07-05,19:24,21:24,2.00,UTC-0400
2017-07-23,23:17,00:29,1.20,UTC-0400
2017-09-04,19:20,22:39,3.32,UTC-0400
2017-09-06,23:00,02:56,3.93,UTC-0400
2017-09-16,03:10,11:40,8.50,UTC-0400
2017-09-17,03:00,11:00,8.00,UTC-0400
2017-09-18,03:10,10:50,7.67,UTC-0400
2017-09-19,02:40,11:00,8.33,UTC-0400
2017-09-20,02:30,10:40,8.17,UTC-0400
2017-09-21,23:50,09:30,9.67,UTC-0400
2017-09-22,02:00,08:20,6.33,UTC-0400
2017-09-23,02:00,12:30,10.50,UTC-0400
2017-09-24,00:40,10:10,9.50,UTC-0400
2017-09-25,01:00,09:20,8.33,UTC-0400
2017-09-26,02:20,09:30,7.17,UTC-0400
2017-09-27,03:30,11:20,7.83,UTC-0400
2017-09-29,03:00,10:30,7.50,UTC-0400
2017-09-30,03:10,11:30,8.33,UTC-0400
2017-10-01,03:40,11:20,7.67,UTC-0400
2017-10-02,03:00,10:30,7.50,UTC-0400
2017-10-03,19:08,03:39,8.52,UTC-0400
2017-10-04,04:00,09:50,5.83,UTC-0400
2017-10-07,22:40,00:59,2.32,UTC-0400
2017-10-09,00:52,03:18,2.43,UTC-0400
2017-10-10,15:46,20:38,4.87,UTC-0400
2017-10-11,23:14,02:10,2.93,UTC-0400
2017-10-13,16:29,18:27,1.97,UTC-0400
2017-10-14,16:40,17:44,1.07,UTC-0400
2017-10-15,00:08,01:34,1.43,UTC-0400
2017-10-19,21:05,23:01,1.93,UTC-0400
2017-11-05,02:00,11:20,9.33,UTC-0500
2017-11-06,03:30,11:10,7.67,UTC-0500
2017-11-08,03:20,11:20,8.00,UTC-0500
2017-11-10,01:30,09:00,7.50,UTC-0500
2017-11-15,23:30,09:40,10.17,UTC-0500
2017-11-17,02:30,09:40,7.17,UTC-0500
2017-12-06,02:20,10:40,8.33,UTC-0500
2017-12-19,22:39,00:04,1.42,UTC-0500
2017-12-20,00:10,11:10,11.00,UTC-0500
2018-01-11,03:10,09:30,6.33,UTC-0500
2018-01-13,19:38,21:32,1.90,UTC-0500
2018-01-16,02:00,08:50,6.83,UTC-0500
2018-01-24,17:33,19:53,2.33,UTC-0500
2018-01-25,03:20,10:50,7.50,UTC-0500
2018-01-28,13:38,14:59,1.35,UTC-0500
2018-02-08,20:39,22:45,2.10,UTC-0500
2018-02-26,14:19,15:59,1.67,UTC-0500
2018-03-05,10:03,11:08,1.08,UTC-0500
2018-03-07,03:00,10:40,7.67,UTC-0500
2018-03-08,03:10,09:50,6.67,UTC-0500
2018-03-10,12:50,14:32,1.70,UTC-0500
2018-03-13,03:15,05:15,2.00,UTC-0400
2018-03-21,22:57,00:52,1.92,UTC-0400
2018-03-24,02:40,09:40,7.00,UTC-0400
2018-03-25,01:00,10:10,9.17,UTC-0400
2018-04-04,02:50,10:10,7.33,UTC-0400
2018-04-05,04:00,10:10,6.17,UTC-0400
2018-04-28,18:19,20:19,2.00,UTC-0400
2018-05-11,17:46,19:10,1.40,UTC-0400
2018-07-01,00:50,10:10,9.33,UTC-0400
2018-08-05,23:21,00:24,1.05,UTC-0400
2018-08-25,04:20,09:30,5.17,UTC-0400
2018-08-29,04:00,09:50,5.83,UTC-0400
2018-09-23,03:10,09:30,6.33,UTC-0400
2018-09-29,22:40,09:40,11.00,UTC-0400
2018-10-16,00:20,07:40,7.33,UTC-0400
2018-10-19,00:50,09:00,8.17,UTC-0400
2018-10-22,00:40,10:10,9.50,UTC-0400
2018-11-02,02:40,09:40,7.00,UTC-0400
2018-11-11,02:00,09:10,7.17,UTC-0500
2018-11-12,02:50,09:40,6.83,UTC-0500
2018-11-13,03:40,10:00,6.33,UTC-0500
2018-11-15,03:10,09:50,6.67,UTC-0500
2018-11-18,02:20,09:40,7.33,UTC-0500
2018-11-19,03:50,10:50,7.00,UTC-0500
2018-11-25,23:50,11:47,11.96,UTC-0500
2018-11-29,03:00,09:30,6.50,UTC-0500
2018-12-18,03:00,10:40,7.67,UTC-0500
2018-12-20,03:50,10:54,7.08,UTC-0500
2018-12-21,03:30,11:32,8.05,UTC-0500
2018-12-26,03:40,12:55,9.26,UTC-0500
2018-12-27,04:00,10:50,6.83,UTC-0500
2018-12-28,05:50,11:11,5.36,UTC-0500
2018-12-29,00:30,10:30,10.00,UTC-0500
2018-12-31,03:40,11:50,8.17,UTC-0500
2019-01-03,02:50,10:10,7.33,UTC-0500
2019-01-04,03:40,10:40,7.00,UTC-0500
2019-01-07,03:00,10:40,7.67,UTC-0500
2019-01-08,03:00,11:00,8.00,UTC-0500
2019-01-09,02:50,10:17,7.46,UTC-0500
2019-01-10,04:00,11:10,7.17,UTC-0500
2019-01-12,01:00,10:00,9.00,UTC-0500
2019-01-13,02:40,09:20,6.67,UTC-0500
2019-01-14,02:10,09:50,7.67,UTC-0500
2019-01-16,03:50,11:30,7.67,UTC-0500
2019-01-17,01:00,10:00,9.00,UTC-0500
2019-01-26,01:30,10:59,9.49,UTC-0500
2019-01-29,03:20,10:00,6.67,UTC-0500
2019-02-07,03:00,10:39,7.66,UTC-0500
2019-02-10,03:50,12:04,8.24,UTC-0500
2019-02-12,02:10,09:20,7.17,UTC-0500
2019-02-19,02:50,10:19,7.49,UTC-0500
2019-02-25,02:50,11:30,8.67,UTC-0500
2019-02-28,01:30,07:20,5.83,UTC-0500
2019-03-04,01:50,10:00,8.17,UTC-0500
2019-04-08,03:40,09:50,6.17,UTC-0400
2019-04-11,03:30,10:10,6.67,UTC-0400
