date,steps,distance,speed
2011-04-26,5500,,
2011-05-03,5500,,
2011-05-10,5500,,
2011-05-16,5500,,
2011-05-17,5500,,
2011-05-19,5500,,
2011-05-24,5500,,
2011-05-31,5500,,
2011-06-07,5500,,
2011-06-08,5500,,
2011-06-11,4800,,
2011-06-14,5500,,
2011-06-16,10500,,
2011-06-17,5500,,
2011-06-20,5500,,
2011-06-21,5500,,
2011-07-05,5500,,
2011-07-06,5500,,
2011-07-08,5500,,
2011-07-12,5500,,
2011-07-13,5500,,
2011-07-14,5500,,
2011-07-15,5500,,
2011-07-18,5500,,
2011-07-19,5500,,
2011-07-21,5500,,
2011-07-26,5500,,
2011-07-27,5500,,
2011-07-28,5500,,
2011-07-29,5500,,
2011-08-02,5500,,
2011-08-05,5500,,
2011-08-09,5500,,
2011-08-15,5500,,
2011-08-16,5500,,
2011-08-18,5500,,
2011-08-23,5500,,
2011-08-30,5500,,
2011-09-06,5500,,
2011-09-11,5500,,
2011-09-20,5500,,
2011-09-21,5500,,
2011-09-27,5500,,
2011-10-04,5500,,
2011-10-11,5500,,
2011-10-13,5500,,
2011-10-15,5500,,
2011-10-18,5500,,
2011-10-25,5500,,
2011-11-01,5500,,
2011-11-05,5500,,
2011-11-08,5500,,
2011-11-13,5500,,
2011-11-15,5500,,
2011-11-22,5500,,
2011-11-23,5500,,
2011-11-25,5500,,
2011-11-26,5500,,
2011-11-27,5500,,
2011-11-29,5500,,
2011-12-06,5500,,
2011-12-13,5500,,
2011-12-20,5500,,
2011-12-22,5500,,
2011-12-23,5500,,
2011-12-27,5500,,
2012-01-03,5500,,
2012-01-08,5500,,
2012-01-10,5500,,
2012-01-16,5500,,
2012-01-17,5500,,
2012-01-23,5500,,
2012-01-24,11000,,
2012-01-31,5500,,
2012-02-13,5500,,
2012-02-14,5500,,
2012-02-20,5500,,
2012-02-21,5500,,
2012-02-28,5500,,
2012-03-06,5500,,
2012-03-13,5500,,
2012-03-20,5500,,
2012-03-21,5500,,
2012-03-23,5500,,
2012-03-27,5500,,
2012-04-03,5500,,
2012-04-06,5500,,
2012-04-10,5500,,
2012-04-17,5500,,
2012-04-24,5500,,
2012-05-01,5500,,
2012-05-08,5500,,
2012-05-22,5500,,
2012-05-29,5500,,
2012-06-04,5500,,
2012-06-05,5500,,
2012-06-08,5500,,
2012-06-11,5500,,
2012-06-12,5500,,
2012-06-14,5500,,
2012-06-15,5500,,
2012-06-19,5500,,
2012-06-22,5500,,
2012-06-26,5500,,
2012-06-28,5500,,
2012-07-03,5500,,
2012-07-05,5500,,
2012-07-10,5500,,
2012-07-12,5500,,
2012-07-17,5500,,
2012-07-19,5500,,
2012-07-24,5500,,
2012-07-26,5500,,
2012-07-31,5500,,
2012-08-02,5500,,
2012-08-06,5500,,
2012-08-07,5500,,
2012-08-09,5500,,
2012-08-14,5500,,
2012-08-21,5500,,
2012-08-28,5500,,
2012-08-30,5500,,
2012-09-04,5500,,
2012-09-11,5500,,
2012-09-18,5500,,
2012-09-19,5500,,
2012-09-21,5500,,
2012-09-25,5500,,
2012-10-02,5500,,
2012-10-06,5500,,
2012-10-08,5500,,
2012-10-09,5500,,
2012-10-16,5500,,
2012-10-23,5500,,
2012-10-30,5500,,
2012-11-06,5500,,
2012-11-13,5500,,
2012-11-20,5500,,
2012-11-27,5500,,
2012-12-04,5500,,
2012-12-11,5500,,
2012-12-18,5500,,
2012-12-20,5500,,
2012-12-21,5500,,
2012-12-26,5500,,
2012-12-28,5500,,
2013-01-04,5500,,
2013-01-08,5500,,
2013-01-15,5500,,
2013-01-22,5500,,
2013-01-29,5500,,
2013-02-05,5500,,
2013-02-07,5500,,
2013-02-12,5500,,
2013-02-18,5500,,
2013-02-19,11000,,
2013-03-05,5500,,
2013-03-06,5500,,
2013-03-12,5500,,
2013-03-15,5500,,
2013-03-19,5500,,
2013-03-25,5500,,
2013-03-26,5500,,
2013-03-27,5500,,
2013-03-28,5500,,
2013-03-29,5500,,
2013-04-02,5500,,
2013-04-06,5500,,
2013-04-09,5500,,
2013-04-15,2133,,
2013-04-16,8433,,
2013-04-18,3734,,
2013-04-22,3200,,
2013-04-23,13233,,
2013-04-24,2933,,
2013-05-07,5500,,
2013-05-14,5500,,
