date,steps,distance,speed
2014-04-24,6440,4717.63,0.0
2014-04-25,10170,8052.93,0.0
2014-04-26,10659,7293.06,0.0
2014-04-27,3010,2376.74,0.0
2014-04-28,5858,4744.88,0.0
2014-04-29,6372,4913.82,0.0
2014-04-30,188,158.77,0.0
2014-05-01,5274,3755.79,0.0
2014-05-02,17822,14551.28,0.0
2014-05-04,14905,11517.45,0.0
2014-05-06,3035,2456.99,0.0
2014-05-07,3760,2833.65,0.0
2014-05-08,5723,3971.33,0.0
2014-05-10,3671,3086.36,0.0
2014-05-11,2264,1537.12,0.0
2014-05-12,6028,4916.8,0.0
2014-05-14,543,392.54,0.0
2014-05-15,5652,4152.03,0.0
2014-05-16,6046,4860.36,0.0
2014-05-17,2310,1700.69,0.0
2014-05-18,7986,7158.92,0.0
2014-05-19,14140,12346.02,0.0
2014-05-20,18900,14177.54,0.0
2014-05-21,5174,4092.86,0.0
2014-05-22,7635,6419.27,0.0
2014-05-23,6927,5679.87,0.0
2014-05-24,155,116.1,0.0
2014-05-25,1449,1153.73,0.0
2014-05-26,3495,2488.54,0.0
2014-05-27,15481,12209.33,0.0
2014-05-29,5522,4719.93,0.0
2014-05-30,10096,7230.76,0.0
2014-05-31,1073,795.56,0.0
2014-06-01,9256,7766.92,0.0
2014-06-02,5520,3918.53,0.0
2014-06-03,13393,10822.37,0.0
2014-06-04,3222,2387.14,0.0
2014-06-05,11940,26323.2,0.0
2014-06-06,1084,903.42,0.0
2014-06-07,4189,3318.69,0.0
2014-06-08,10017,8228.35,0.0
2014-06-10,16570,13249.96,0.0
2014-06-11,7607,5702.59,0.0
2014-06-12,7138,5346.41,0.0
2014-06-13,8755,7108.25,0.0
2014-06-14,4141,2983.75,0.0
2014-06-15,6418,5669.61,0.0
2014-06-16,14230,11071.15,0.0
2014-06-17,9253,7104.21,0.0
2014-06-18,5663,4534.99,0.0
2014-06-19,6367,4497.89,0.0
2014-06-20,9619,7026.0,0.0
2014-06-21,8902,7128.03,0.0
2014-06-22,5325,4137.87,0.0
2014-06-23,4677,3905.05,0.0
2014-06-24,11093,7802.62,0.0
2014-06-25,8482,5803.76,0.0
2014-06-26,7008,4895.95,0.0
2014-06-27,7112,4879.44,0.0
2014-06-28,1568,1062.42,0.0
2014-06-29,7808,6226.35,0.0
2014-06-30,15305,11016.15,0.0
2014-07-01,9353,6397.19,0.0
2014-07-02,1968,1490.74,0.0
2014-07-03,7384,5269.02,0.0
2014-07-04,4103,2944.29,0.0
2014-07-05,131,94.44,0.0
2014-07-06,1588,1117.04,0.0
2014-07-07,8365,5898.93,0.0
2014-07-08,7155,4923.57,0.0
2014-07-09,3681,2528.7,0.0
2014-07-10,3397,2403.9,0.0
2014-07-11,3353,2429.63,0.0
2014-07-12,3548,2501.73,0.0
2014-07-13,10054,7384.23,0.0
2014-07-14,10299,7491.3,0.0
2014-07-15,1723,1184.35,0.0
2014-07-16,11164,7816.98,0.0
2014-07-17,4264,2910.05,0.0
2014-07-18,2416,1799.29,0.0
2014-07-19,8084,5831.11,0.0
2014-07-20,170,121.54,0.0
2014-07-21,1698,1180.26,0.0
2014-07-22,5871,4209.49,0.0
2014-07-24,2363,1650.43,0.0
2014-07-25,2824,2007.83,0.0
2014-07-26,4994,3381.06,0.0
2014-07-27,3348,2320.87,0.0
2014-07-29,3406,2422.22,0.0
2014-07-30,4334,2988.03,0.0
2014-08-01,6194,4443.57,0.0
2014-08-02,2894,2019.86,0.0
2014-08-03,10247,7193.41,0.0
2014-08-05,10279,7265.42,0.0
2014-08-06,3471,2422.03,0.0
2014-08-08,829,578.44,0.0
2014-08-09,5381,3690.6,0.0
2014-08-10,819,596.59,0.0
2014-08-11,2121,1422.04,0.0
