date,wake_time,sunrise,sunset,daylight_total_hours,sunlight_hours,sunlight_fraction,lat,lon
2017-01-09,11:10,07:46,17:39,9.88,6.48,0.656,35.94,-83.96
2017-01-12,10:20,07:52,17:59,10.12,7.65,0.756,33.52,-86.81
2017-01-13,09:50,07:51,18:00,10.15,8.17,0.805,33.52,-86.81
2017-01-14,10:40,07:51,18:01,10.17,7.35,0.723,33.52,-86.81
2017-01-15,09:10,07:51,18:02,10.18,8.87,0.871,33.52,-86.81
2017-01-16,11:50,07:45,17:46,10.02,5.93,0.592,35.94,-83.96
2017-01-17,11:10,07:45,17:47,10.03,6.62,0.659,35.94,-83.96
2017-01-19,11:20,07:44,17:49,10.08,6.48,0.643,35.94,-83.96
2017-03-02,08:20,06:44,17:59,11.25,9.65,0.858,44.02,-92.47
2017-03-04,08:00,06:41,18:01,11.33,10.02,0.884,44.02,-92.47
2017-03-05,08:30,06:39,18:02,11.38,9.53,0.837,44.02,-92.47
2017-03-06,07:40,06:37,18:03,11.43,10.38,0.908,44.02,-92.47
2017-03-08,06:46,06:34,18:06,11.53,11.33,0.983,44.02,-92.47
2017-03-28,19:58,07:27,19:54,12.45,0.0,0.0,35.94,-83.96
2017-04-07,11:10,07:13,20:01,12.8,8.85,0.691,35.94,-83.96
2017-04-08,11:20,07:12,20:02,12.83,8.7,0.678,35.94,-83.96
2017-04-09,12:10,07:10,20:03,12.88,7.88,0.612,35.94,-83.96
2017-04-10,11:20,07:09,20:04,12.92,8.73,0.676,35.94,-83.96
2017-04-11,11:00,07:08,20:05,12.95,9.08,0.701,35.94,-83.96
2017-04-12,10:50,07:06,20:06,13.0,9.27,0.713,35.94,-83.96
2017-04-15,09:50,07:02,20:08,13.1,10.3,0.786,35.94,-83.96
2017-07-04,19:47,06:35,21:07,14.53,1.33,0.092,36.16,-86.78
2017-07-05,21:24,06:25,20:55,14.5,0.0,0.0,35.94,-83.96
2017-09-04,22:39,07:10,19:58,12.8,0.0,0.0,35.94,-83.96
