com.samsung.health.exercise,6060029,13
max_rpm,live_data,mean_rpm,distance,max_caloricburn_rate,additional,altitude_gain,deviceuuid,duration,update_time,datauuid,location_data,decline_distance,altitude_loss,mean_caloricburn_rate,incline_distance,max_altitude,max_cadence,create_time,time_offset,mean_speed,mean_heart_rate,custom,count_type,min_altitude,count,end_time,max_speed,exercise_type,start_time,max_power,pkg_name,mean_power,min_heart_rate,calorie,comment,max_heart_rate,mean_cadence,exercise_custom_type
,0056c182-ff92-e13c-1c4e-eee1492aa108.live_data.json,,4156.51,,,,VkNqn5W6aG,1834000,2015-11-19 02:54:33.464,0056c182-ff92-e13c-1c4e-eee1492aa108,0056c182-ff92-e13c-1c4e-eee1492aa108.location_data.json,,,,,258.41,,2015-06-13 01:40:18.061,UTC-0300,2.274,149.0,,,226.375,,2015-06-13 01:22:36.118,3.284,1002,2015-06-13 00:52:02.118,,com.sec.android.app.shealth,,88.0,343.555,,178.0,,
,5c086a62-46fc-9017-1906-199492ce0713.live_data.json,,1037.849,,,,PEzvKidhug,1002532,2018-04-22 04:03:26.503,5c086a62-46fc-9017-1906-199492ce0713,5c086a62-46fc-9017-1906-199492ce0713.location_data.json,,,,,,0.0,2018-04-22 04:03:26.503,UTC-0500,1.182209,0.0,,,,,2018-04-22 04:02:24.728,1.3888888,1001,2018-04-22 03:45:42.196,,com.sec.android.app.shealth,,0.0,65.66,,0.0,0.0,
,2c7b44f0-48f4-b284-5ed5-216dbe0b1b29.live_data.json,,2971.11,,,,VkNqn5W6aG,1533000,2015-11-19 02:54:31.662,2c7b44f0-48f4-b284-5ed5-216dbe0b1b29,,,,,,,,2014-11-25 02:40:16.843,UTC-0300,1.939,124.0,,,,,2014-11-25 02:32:53.777,2.929,1002,2014-11-25 02:07:20.777,,com.sec.android.app.shealth,,31.0,244.0,,165.0,,
,4a7a07b4-81ac-204c-c86c-ee494d839e4d.live_data.json,,10218.512,,,,ROm+XQMkto,2842000,2016-04-21 22:42:04.697,4a7a07b4-81ac-204c-c86c-ee494d839e4d,4a7a07b4-81ac-204c-c86c-ee494d839e4d.location_data.json,448.666,,,168.42,519.846,,2016-04-21 20:32:08.643,UTC-0300,3.211,120.0,,,462.099,,2016-04-21 20:32:08.560,5.687,11007,2016-04-21 19:44:47.036,,com.sec.android.app.shealth,,76.0,273.0,,142.0,,
,14e56072-7ba3-93d1-4a18-722afcb394d2.live_data.json,,618.553,,,,PEzvKidhug,633912,2017-05-20 16:48:43.359,14e56072-7ba3-93d1-4a18-722afcb394d2,14e56072-7ba3-93d1-4a18-722afcb394d2.location_data.json,,,,,,0.0,2017-05-20 16:48:43.359,UTC-0400,1.0393851,0.0,,,,,2017-05-20 16:47:43.981,1.131328,1001,2017-05-20 16:37:10.069,,com.sec.android.app.shealth,,0.0,39.18,,0.0,0.0,
,3f8ad436-df40-457b-4d38-1fdfb0f48c77.live_data.json,,4929.686,,,,ROm+XQMkto,3856000,2016-08-12 00:34:56.682,3f8ad436-df40-457b-4d38-1fdfb0f48c77,3f8ad436-df40-457b-4d38-1fdfb0f48c77.location_data.json,486.93,,,479.364,271.314,,2016-08-12 00:34:54.078,UTC-0300,1.413,193.0,,,261.495,,2016-08-12 00:34:54.034,1.568,1001,2016-08-11 23:30:39.155,,com.sec.android.app.shealth,,147.0,268.0,,208.0,,
,f303960b-8add-8cc8-8b69-db4959ebf8e4.live_data.json,,1058.374,,,,PEzvKidhug,1169484,2018-04-02 23:19:04.276,f303960b-8add-8cc8-8b69-db4959ebf8e4,f303960b-8add-8cc8-8b69-db4959ebf8e4.location_data.json,,,,,,0.0,2018-04-02 23:19:04.276,UTC-0300,1.0170764,0.0,,,,,2018-04-02 23:18:04.401,1.1944444,1001,2018-04-02 22:58:34.917,,com.sec.android.app.shealth,,0.0,76.41,,0.0,0.0,
,4a19d94b-e8da-811e-214f-262fe7d10a82.live_data.json,,1369.63,,,,ROm+XQMkto,1159320,2016-11-04 16:35:41.192,4a19d94b-e8da-811e-214f-262fe7d10a82,4a19d94b-e8da-811e-214f-262fe7d10a82.location_data.json,0.0,,,0.0,,,2016-07-28 01:02:40.197,UTC-0300,1.351045,0.0,,,,,2016-07-28 01:02:39.462,1.4722222,1001,2016-07-28 00:43:20.142,,com.sec.android.app.shealth,,0.0,78.0,,0.0,,
,d31931c1-a0fb-68b6-45c4-89f145375bbb.live_data.json,,5047.701,,,,PEzvKidhug,3632070,2017-04-02 20:58:58.733,d31931c1-a0fb-68b6-45c4-89f145375bbb,d31931c1-a0fb-68b6-45c4-89f145375bbb.location_data.json,297.162,,,337.385,290.278,0.0,2017-04-02 20:58:54.600,UTC-0300,1.3897587,148.0,,,264.204,,2017-04-02 20:58:54.449,2.33,1001,2017-04-02 19:58:20.782,,com.sec.android.app.shealth,,76.0,145.888,,167.0,0.0,
,e26493b8-ef3d-0124-95ac-27165c02d54c.live_data.json,,691.181,,,,PEzvKidhug,672786,2017-04-26 02:17:43.907,e26493b8-ef3d-0124-95ac-27165c02d54c,e26493b8-ef3d-0124-95ac-27165c02d54c.location_data.json,,,,,,0.0,2017-04-26 02:17:43.907,UTC-0300,1.1201948,0.0,,,,,2017-04-26 02:16:43.557,1.3518771,1001,2017-04-26 02:05:30.771,,com.sec.android.app.shealth,,0.0,42.15,,0.0,0.0,
,3effda73-b20f-e76e-2bf1-4e1b67d3f020.live_data.json,,3183.769,,,,ROm+XQMkto,2421000,2016-03-31 00:29:22.430,3effda73-b20f-e76e-2bf1-4e1b67d3f020,3effda73-b20f-e76e-2bf1-4e1b67d3f020.location_data.json,477.087,,,370.557,286.866,,2016-03-31 00:29:19.398,UTC-0300,1.144,158.0,,,259.926,,2016-03-31 00:29:19.356,1.375,1001,2016-03-30 23:48:58.118,,com.sec.android.app.shealth,,73.0,172.0,,203.0,,
,2958bdfa-924f-36ca-4051-2d60100cceda.live_data.json,,1587.9,,,,PEzvKidhug,1440284,2018-01-21 00:00:10.282,2958bdfa-924f-36ca-4051-2d60100cceda,2958bdfa-924f-36ca-4051-2d60100cceda.location_data.json,,,,,,0.0,2018-01-21 00:00:10.282,UTC-0400,1.1274921,0.0,,,,,2018-01-20 23:59:09.102,1.3888888,1001,2018-01-20 23:35:08.818,,com.sec.android.app.shealth,,0.0,102.6,,0.0,0.0,
,9364607d-7793-49bc-2d35-c2b4717be198.live_data.json,,4159.22,,,,VkNqn5W6aG,1810000,2015-11-19 02:54:33.599,9364607d-7793-49bc-2d35-c2b4717be198,9364607d-7793-49bc-2d35-c2b4717be198.location_data.json,,,,,275.462,,2015-06-15 23:11:26.209,UTC-0300,2.3,161.0,,,239.706,,2015-06-15 22:36:10.388,3.237,1002,2015-06-15 22:06:00.388,,com.sec.android.app.shealth,,139.0,341.189,,183.0,,
,0ca6bea7-c493-bea5-1f2d-6849dd5a69fe.live_data.json,,954.98,,,,PEzvKidhug,772490,2016-11-26 05:07:43.184,0ca6bea7-c493-bea5-1f2d-6849dd5a69fe,0ca6bea7-c493-bea5-1f2d-6849dd5a69fe.location_data.json,,,,,,0.0,2016-11-26 05:07:43.184,UTC-0400,1.3157843,0.0,,,,,2016-11-26 05:06:41.784,1.5555556,1001,2016-11-26 04:53:49.294,,com.sec.android.app.shealth,,0.0,54.19,,0.0,0.0,
,d0e38afe-c05a-c6c7-49fc-ce74cdc332e8.live_data.json,,2198.96,,,,ROm+XQMkto,1867006,2016-11-04 16:34:28.413,d0e38afe-c05a-c6c7-49fc-ce74cdc332e8,d0e38afe-c05a-c6c7-49fc-ce74cdc332e8.location_data.json,0.0,,,0.0,,,2016-07-02 02:36:36.947,UTC-0300,1.3971711,0.0,,,,,2016-07-02 02:36:35.771,2.0428765,1001,2016-07-02 02:05:28.765,,com.sec.android.app.shealth,,0.0,128.0,,0.0,,
,62e25b92-c53d-11ca-029b-1418a6b3db82.live_data.json,,1904.086,,,,ROm+XQMkto,1649000,2016-07-01 01:49:31.647,62e25b92-c53d-11ca-029b-1418a6b3db82,62e25b92-c53d-11ca-029b-1418a6b3db82.location_data.json,551.794,,,58.137,301.851,,2016-07-01 01:49:28.737,UTC-0300,0.836,141.0,,,258.298,,2016-07-01 01:49:28.680,1.212,1001,2016-07-01 01:21:59.848,,com.sec.android.app.shealth,,74.0,99.0,,173.0,,
,ecddb84c-6707-124c-4dbd-e0d9247d64c0.live_data.json,,4372.44,,,,VkNqn5W6aG,2102000,2015-11-19 02:54:33.157,ecddb84c-6707-124c-4dbd-e0d9247d64c0,ecddb84c-6707-124c-4dbd-e0d9247d64c0.location_data.json,553.904,,,525.422,275.748,,2014-12-08 01:42:05.274,UTC-0300,2.083,98.0,,,268.25,,2014-12-07 23:43:01.200,2.832,1002,2014-12-07 23:07:59.200,,com.sec.android.app.shealth,,5.0,359.0,,161.0,,
