com.samsung.shealth.sleep,6060029,2
com.samsung.health.sleep.datauuid,efficiency,original_efficiency,original_bed_time,has_sleep_data,com.samsung.health.sleep.pkg_name,com.samsung.health.sleep.create_time,com.samsung.health.sleep.time_offset,com.samsung.health.sleep.end_time,com.samsung.health.sleep.custom,original_wake_up_time,quality,com.samsung.health.sleep.deviceuuid,extra_data,com.samsung.health.sleep.start_time,com.samsung.health.sleep.update_time,com.samsung.health.sleep.comment
1b5b5109-1a77-410d-b07c-c9448b3819db,0.0,,,,com.sec.android.app.shealth,1547662377583,UTC-0400,1547656200000,,,0,Mz5pMh3q+T,,1547628600000,1547662377583,
8e2c0a24-ab43-4c2a-a5fd-9a3c05d57554,0.0,,,,com.sec.android.app.shealth,1548777254751,UTC-0400,1548774000000,,,0,Mz5pMh3q+T,,1548750000000,1548777254751,
c174c49b-1cd8-44be-b47f-f5fc61caee63,0.0,,,,com.sec.android.app.shealth,1538234426221,UTC-0300,1538228400000,,,0,Mz5pMh3q+T,,1538188800000,1538234426221,
56520fa9-c197-8b5e-c140-a13c735f6cf4,95.83333,,,1,com.sec.android.app.shealth,1480807940244,UTC-0400,1480807020000,,,,PEzvKidhug,,1480802760000,1480807940244,
d0f82a32-1e25-4dc7-a4f9-33f939eff5ba,0.0,,,,com.sec.android.app.shealth,1551367622420,UTC-0400,1551356400000,,,0,Mz5pMh3q+T,,1551335400000,1551367622420,
51a998af-db3d-47a8-9257-54bdc6b1147b,0.0,,,,com.sec.android.app.shealth,1546107076301,UTC-0400,1546097400000,,,0,Mz5pMh3q+T,,1546061400000,1546107076301,
cedf5f94-14af-433f-a5cf-a84e1454ed99,0.0,,,,com.sec.android.app.shealth,1547047048634,UTC-0400,1547047047304,,,0,Mz5pMh3q+T,,1547020200000,1547047048634,
c0551ab0-eaa9-901e-297d-b0dd3487c691,70.32967,,,1,com.sec.android.app.shealth,1488915371248,UTC-0500,1488914460000,,,,PEzvKidhug,,1488909060000,1488915371248,
5669c2c4-ce2a-4b6b-7044-f16aa9e93a56,98.1982,,,1,com.sec.android.app.shealth,1490745901752,UTC-0300,1490745480000,,,,PEzvKidhug,,1490732220000,1490745901752,
9044b342-e41a-4d2f-b37d-bb87f3a9be15,0.0,,,,com.sec.android.app.shealth,1506467671413,UTC-0300,1506345600000,,,0,EHdtKydEi4,,1506315600000,1506467671413,
5d3c0396-c98c-489f-adaf-e30a76811edc,0.0,,,,com.sec.android.app.shealth,1555951320210,UTC-0300,1555941600000,,,0,4V/TlqPcbG,,1555912200000,1555951320210,
abbe3128-089d-4a4f-a337-92d5e25334a9,0.0,,,,com.sec.android.app.shealth,1515681725777,UTC-0400,1515681000000,,,0,EHdtKydEi4,,1515658200000,1515681725777,
bac9c15c-c0bf-4893-bbbc-af966e8ff2b9,0.0,,,,com.sec.android.app.shealth,1510930633195,UTC-0400,1510929600000,,,0,EHdtKydEi4,,1510903800000,1510930633195,
8defdec7-c7fe-41bb-89e3-cbd8d62ad44a,0.0,,,,com.sec.android.app.shealth,1506467681313,UTC-0300,1506262200000,,,0,EHdtKydEi4,,1506228000000,1506467681313,
