com.samsung.shealth.tracker.pedometer_day_summary,6225039,5
step_count,binning_data,active_time,recommendation,run_step_count,update_time,source_package_name,create_time,source_info,speed,distance,calorie,walk_step_count,deviceuuid,pkg_name,healthy_step,achievement,datauuid,day_time
537,5fc3af11-1584-4c4e-8277-0614c5a2c282.binning_data.json,276619,10000,32,2016-03-12 05:03:22.083,com.sec.android.app.shealth,2016-03-11 17:00:07.159,,3.1944444,435.93,25.48,505,OBFuvbOf82,com.sec.android.app.shealth,0,5fc3af11-1584-4c4e-8277-0614c5a2c282.achievement.json,5fc3af11-1584-4c4e-8277-0614c5a2c282,1457654400000,
819,5d6ee550-35c7-49cc-9172-fa30f3f5efda.binning_data.json,0,0,0,2016-03-15 19:23:50.482,com.sec.android.app.shealth,2016-03-15 19:23:50.482,,0.0,596.59,35.041,819,VfS0qUERdZ,com.sec.android.app.shealth,0,5d6ee550-35c7-49cc-9172-fa30f3f5efda.achievement.json,5d6ee550-35c7-49cc-9172-fa30f3f5efda,1407628800000,
5676,5fc7d7e0-a64c-4974-9b3f-4be4cb38944f.binning_data.json,3415510,5000,0,2019-08-22 22:48:11.268,com.sec.android.app.shealth,2019-08-21 16:21:12.715,5fc7d7e0-a64c-4974-9b3f-4be4cb38944f.source_info.json,1.2090726,4129.6,233.49998,5676,VfS0qUERdZ,com.sec.android.app.shealth,0,5fc7d7e0-a64c-4974-9b3f-4be4cb38944f.achievement.json,5fc7d7e0-a64c-4974-9b3f-4be4cb38944f,1566345600000,
7231,447e9a0b-4267-4a7d-b844-b7c04aeab001.binning_data.json,3820830,0,235,2016-03-15 19:22:39.106,com.sec.android.app.shealth,2016-03-15 19:22:39.106,,1.4857764,5676.9,320.36,6996,VfS0qUERdZ,com.sec.android.app.shealth,0,447e9a0b-4267-4a7d-b844-b7c04aeab001.achievement.json,447e9a0b-4267-4a7d-b844-b7c04aeab001,1456790400000,
6232,613a1734-2799-4540-976d-c2a6fc0d927f.binning_data.json,2846419,10000,1604,2016-03-14 04:00:04.333,com.sec.android.app.shealth,2016-03-14 04:00:04.333,,3.166667,5505.15,356.37,4628,OBFuvbOf82,com.sec.android.app.shealth,4489,613a1734-2799-4540-976d-c2a6fc0d927f.achievement.json,613a1734-2799-4540-976d-c2a6fc0d927f,1457827200000,
6795,b01a0418-1f1c-4c4d-87e5-af1e60e3e756.binning_data.json,3041182,6000,3827,2016-03-12 05:16:03.929,com.sec.android.app.shealth,2016-03-11 21:22:01.735,,3.6248012,6536.1,514.07,2968,ROm+XQMkto,com.sec.android.app.shealth,3852,b01a0418-1f1c-4c4d-87e5-af1e60e3e756.achievement.json,b01a0418-1f1c-4c4d-87e5-af1e60e3e756,1457654400000,
10357,76769d78-fe1a-463f-8d2a-f6486196ddd1.binning_data.json,0,0,0,2016-03-15 19:23:58.118,com.sec.android.app.shealth,2016-03-15 19:23:58.118,,0.0,7270.31,435.539,10357,VfS0qUERdZ,com.sec.android.app.shealth,0,76769d78-fe1a-463f-8d2a-f6486196ddd1.achievement.json,76769d78-fe1a-463f-8d2a-f6486196ddd1,1411430400000,
3360,3f7f43f7-dd62-4c68-8b49-0f6bac0e16dc.binning_data.json,1770201,10000,76,2016-02-18 05:00:03.030,com.sec.android.app.shealth,2016-02-18 05:00:03.030,,4.2816887,2675.7,143.39,3284,OBFuvbOf82,com.sec.android.app.shealth,0,3f7f43f7-dd62-4c68-8b49-0f6bac0e16dc.achievement.json,3f7f43f7-dd62-4c68-8b49-0f6bac0e16dc,1455667200000,
2406,56f37bb9-2e38-4132-96a7-cc72122c5581.binning_data.json,1290874,10000,39,2016-02-26 05:00:04.683,com.sec.android.app.shealth,2016-02-26 05:00:04.683,,3.166667,1926.5599,107.22,2367,OBFuvbOf82,com.sec.android.app.shealth,0,56f37bb9-2e38-4132-96a7-cc72122c5581.achievement.json,56f37bb9-2e38-4132-96a7-cc72122c5581,1456358400000,
2909,27de5af9-4094-466d-a960-d63fe0b980d9.binning_data.json,1577357,10000,52,2016-02-14 05:00:05.853,com.sec.android.app.shealth,2016-02-14 05:00:05.853,,2.6388888,2308.16,123.76,2857,OBFuvbOf82,com.sec.android.app.shealth,0,27de5af9-4094-466d-a960-d63fe0b980d9.achievement.json,27de5af9-4094-466d-a960-d63fe0b980d9,1455321600000,
9353,ddd217bb-2e0d-49b7-a7e1-49505208072b.binning_data.json,0,0,0,2016-03-15 19:23:42.170,com.sec.android.app.shealth,2016-03-15 19:23:42.170,,0.0,6397.19,395.34,9353,VfS0qUERdZ,com.sec.android.app.shealth,0,ddd217bb-2e0d-49b7-a7e1-49505208072b.achievement.json,ddd217bb-2e0d-49b7-a7e1-49505208072b,1404172800000,
13393,809775d5-0884-4aca-bee3-8c8f77266e17.binning_data.json,0,0,0,2016-03-15 19:23:34.987,com.sec.android.app.shealth,2016-03-15 19:23:34.987,,0.0,10822.37,674.881,13393,VfS0qUERdZ,com.sec.android.app.shealth,0,809775d5-0884-4aca-bee3-8c8f77266e17.achievement.json,809775d5-0884-4aca-bee3-8c8f77266e17,1401753600000,
7008,fe9ec6ed-38d0-44fb-b9c5-760030a02de9.binning_data.json,0,0,0,2016-03-15 19:23:40.858,com.sec.android.app.shealth,2016-03-15 19:23:40.858,,0.0,4895.95,292.94,7008,VfS0qUERdZ,com.sec.android.app.shealth,0,fe9ec6ed-38d0-44fb-b9c5-760030a02de9.achievement.json,fe9ec6ed-38d0-44fb-b9c5-760030a02de9,1403740800000,
2804,93681ba2-ad10-40fa-a904-7cbeab797604.binning_data.json,1374870,10000,103,2016-03-01 05:00:04.376,com.sec.android.app.shealth,2016-03-01 05:00:04.376,,3.3888888,2322.61,132.17,2701,OBFuvbOf82,com.sec.android.app.shealth,0,93681ba2-ad10-40fa-a904-7cbeab797604.achievement.json,93681ba2-ad10-40fa-a904-7cbeab797604,1456704000000,
6574,acf3c416-4ded-4be3-93a8-380cf4c42da8.binning_data.json,3342355,10000,193,2016-02-17 05:00:04.642,com.sec.android.app.shealth,2016-02-17 05:00:04.642,,4.1944447,5268.85,279.65,6381,OBFuvbOf82,com.sec.android.app.shealth,0,acf3c416-4ded-4be3-93a8-380cf4c42da8.achievement.json,acf3c416-4ded-4be3-93a8-380cf4c42da8,1455580800000,
543,15fc2822-cad2-4b3f-9943-fcc2862fb777.binning_data.json,0,0,0,2016-03-15 19:23:30.220,com.sec.android.app.shealth,2016-03-15 19:23:30.220,,0.0,392.54,23.18,543,VfS0qUERdZ,com.sec.android.app.shealth,0,15fc2822-cad2-4b3f-9943-fcc2862fb777.achievement.json,15fc2822-cad2-4b3f-9943-fcc2862fb777,1400025600000,
