date,"value (°F)"
"2026-01-27 18:26:41",97.3
"2024-12-07 15:43:44",97.8
"2024-12-05 12:13:37",97.6
"2024-12-04 23:26:01",97.2
"2024-12-04 23:25:52",96.7
"2024-11-09 00:22:37",97.3
"2024-11-08 12:27:28",97.5
"2024-11-07 14:43:00",97.8
"2024-11-06 19:49:33",97.3
"2024-11-06 12:11:52",97.5
"2024-10-10 11:00:12",96.8
"2024-09-20 10:15:10",97.2
"2024-09-19 01:08:07",97.8
"2024-09-17 21:26:33",97.3
"2024-09-17 20:51:14",97.6
"2024-09-17 20:51:08",97.8
"2024-09-17 20:51:03",95.1
"2024-09-17 15:57:11",95.6
"2024-09-17 15:57:06",96.5
"2024-09-17 15:56:59",95.5
"2024-09-09 10:58:17",97.9
"2024-09-06 16:56:45",97.6
"2024-09-01 18:30:26",98.4
"2024-09-01 13:42:20",98.5
"2024-09-01 13:42:13",98.5
"2024-09-01 11:37:26",98.4
"2024-09-01 11:21:27",98.0
"2024-09-01 11:21:21",97.7
"2024-09-01 11:20:28",98.3
"2024-08-31 22:29:53",99.2
"2024-08-31 22:25:39",98.5
"2024-08-31 22:17:39",97.1
"2024-08-31 22:17:31",97.2
"2024-08-31 21:02:10",99.7
"2024-08-31 20:25:48",100.3
"2024-08-31 18:18:26",99.2
"2024-08-31 18:18:21",99.4
"2024-08-31 17:41:09",99.9
"2024-08-31 16:47:03",99.2
"2024-08-31 16:46:58",99.0
"2024-08-31 16:46:48",98.9
"2024-08-31 16:46:35",100.0
"2024-08-31 12:44:36",99.1
"2024-08-31 11:56:06",99.2
"2024-08-31 11:55:58",99.3
"2024-08-31 10:21:39",99.2
"2024-08-31 10:21:32",98.6
"2024-08-31 10:21:24",99.4
"2024-08-31 07:18:03",99.5
"2024-08-31 07:17:55",99.7
"2024-08-31 03:17:06",100.8
"2024-08-31 00:17:22",101.7
"2024-08-31 00:17:14",100.5
"2024-08-31 00:17:07",101.1
"2024-08-31 00:17:00",101.1
"2024-08-30 22:40:35",101.6
"2024-08-30 22:40:28",100.2
"2024-08-30 22:40:19",101.7
"2024-08-30 22:31:19",99.7
"2024-08-30 22:31:12",101.6
"2024-08-30 22:27:42",102.2
"2024-08-30 22:13:49",101.5
"2024-08-30 21:41:29",100.4
"2024-08-30 21:40:39",100.5
"2024-08-30 21:22:20",100.0
"2024-08-30 21:22:09",100.1
"2024-08-30 21:15:07",100.1
"2024-08-30 20:54:33",100.9
"2024-08-30 20:31:19",99.3
"2024-08-30 19:58:12",99.7
"2024-08-30 19:19:49",99.1
"2024-08-30 19:19:42",99.1
"2024-08-30 18:45:57",99.4
"2024-08-28 11:46:08",97.1
"2024-08-17 14:50:21",97.0
"2024-07-30 12:11:56",96.8
"2024-07-30 12:11:51",96.8
"2024-07-16 14:06:54",97.3
"2024-07-11 19:28:43",98.0
"2024-07-02 15:47:35",96.3
"2024-07-02 15:47:29",95.1
"2024-06-30 21:10:54",98.1
"2024-06-30 19:38:06",98.7
"2024-06-30 12:41:46",98.2
"2024-06-30 12:41:37",98.2
"2024-06-30 12:41:28",98.6
"2024-06-27 10:06:55",97.2
"2024-06-27 10:02:20",97.2
"2024-06-27 10:02:15",97.2
"2024-06-19 09:48:05",97.5
"2024-06-15 00:55:59",97.6
"2024-06-15 00:55:54",97.9
"2024-06-11 00:27:11",97.0
"2024-06-10 19:37:19",97.7
"2024-06-10 19:37:14",97.9
"2024-06-10 03:49:56",96.6
"2024-06-01 13:48:17",95.9
"2024-06-01 13:48:12",95.7
"2024-06-01 11:10:04",97.2
"2024-06-01 11:09:58",97.4
"2024-05-10 09:30:17",96.9
"2024-04-26 22:44:03",97.2
"2024-04-26 22:43:58",97.4
"2024-04-26 14:57:02",97.3
"2024-04-25 16:19:59",97.8
"2024-04-24 23:25:52",97.4
"2024-04-24 23:25:47",97.0
"2024-04-24 03:17:47",96.7
"2024-04-23 14:27:41",97.4
"2024-04-21 11:30:37",97.1
"2024-04-21 11:30:32",97.3
"2024-04-16 20:28:17",97.4
"2024-04-11 15:06:49",97.1
"2024-04-10 10:32:44",97.3
"2024-04-10 10:32:39",97.4
"2024-04-08 12:28:59",97.2
"2024-04-08 10:58:10",97.4
"2024-04-08 10:58:04",97.5
"2024-04-06 12:54:55",97.0
"2024-04-06 12:54:50",97.3
"2024-04-05 16:48:31",96.9
"2024-04-05 12:19:46",98.0
"2024-04-05 12:19:37",97.6
"2024-04-04 19:37:16",97.3
"2024-04-04 17:29:17",97.4
"2024-04-04 17:29:11",97.2
"2024-04-04 13:17:55",97.6
"2024-04-04 01:37:12",97.4
"2024-04-03 17:59:19",98.1
"2024-04-03 16:06:53",97.7
"2024-04-03 12:44:18",97.8
"2024-04-03 01:53:16",97.5
"2024-04-03 01:53:10",97.4
"2024-04-02 21:57:39",98.3
"2024-04-02 21:32:33",98.5
"2024-04-02 21:32:24",98.1
"2024-04-02 21:32:18",98.5
"2024-04-02 16:55:50",96.4
"2024-03-29 11:50:41",97.3
"2024-03-28 14:25:19",97.6
"2024-03-22 02:01:22",96.6
"2024-03-22 02:01:16",96.7
"2024-03-22 02:01:11",96.6
"2024-03-15 19:19:24",97.5
"2024-03-11 20:10:00",97.7
"2024-03-10 16:01:22",96.7
"2024-03-10 16:01:15",96.8
"2024-03-10 16:01:10",96.8
"2024-03-10 16:01:04",97.1
"2024-03-09 16:27:12",97.1
"2024-03-09 16:27:07",97.2
"2024-03-09 16:27:01",97.5
"2024-03-07 23:32:52",97.8
"2024-03-07 23:32:45",97.7
"2024-03-07 13:20:16",97.2
"2024-03-07 10:02:33",97.1
"2024-03-07 10:02:27",97.0
