date,duration_min,source
2016-09-14,30,chloe
2016-09-19,30,chloe
2016-09-21,30,chloe
2016-09-26,30,chloe
2016-09-28,30,chloe
2016-10-03,30,chloe
2016-10-05,30,chloe
2016-10-10,30,chloe
2016-10-12,30,chloe
2016-10-17,30,chloe
2016-10-19,30,chloe
2016-10-26,30,chloe
2016-10-31,30,chloe
2016-11-02,30,chloe
2016-11-07,30,chloe
2016-11-09,30,chloe
2016-11-14,30,chloe
2016-11-16,30,chloe
2016-11-21,30,chloe
2016-11-23,30,chloe
2016-11-28,30,chloe
2016-12-01,30,chloe
2016-12-05,30,chloe
2016-12-07,30,chloe
2016-12-12,30,chloe
2016-12-14,30,chloe
2016-12-19,30,chloe
2016-12-21,30,chloe
2016-12-28,30,chloe
2016-12-29,30,chloe
2017-01-05,30,chloe
2017-01-09,30,chloe
2017-01-11,30,chloe
2017-01-16,30,chloe
2017-01-18,30,chloe
2017-01-23,30,chloe
2017-01-26,30,chloe
2017-01-30,30,mfp
2017-02-02,30,mfp
2017-02-06,30,mfp
2017-02-09,30,mfp
2017-02-15,30,mfp
2017-02-27,30,mfp
2017-03-13,30,mfp
2017-03-15,30,mfp
2017-03-20,30,mfp
2017-03-22,30,mfp
2017-03-27,30,mfp
2017-03-29,30,mfp
2017-04-03,30,mfp
2017-04-05,30,mfp
2017-04-12,30,mfp
2017-04-19,30,mfp
2017-04-24,30,mfp
2017-04-26,30,mfp
2017-05-01,30,mfp
2017-05-03,30,mfp
2017-05-08,30,mfp
2017-05-10,30,mfp
2017-05-31,30,mfp
2017-06-01,30,mfp
2017-06-05,30,mfp
2017-06-07,30,mfp
2017-06-12,30,mfp
2017-06-14,30,mfp
2017-06-19,30,mfp
2017-06-26,30,mfp
2017-06-28,30,mfp
2017-07-10,30,mfp
2017-07-12,30,mfp
2017-07-17,30,mfp
2017-07-19,30,mfp
2017-07-24,30,mfp
2017-07-26,30,mfp
2017-07-31,30,mfp
2017-08-02,30,mfp
2017-08-09,30,mfp
2017-08-10,30,mfp
2017-08-14,30,mfp
2017-08-16,30,mfp
2017-08-23,30,mfp
2017-08-28,30,mfp
2017-08-30,30,mfp
2017-09-06,30,mfp
2017-09-13,30,mfp
2017-09-14,30,mfp
2017-09-18,30,mfp
2017-09-27,30,mfp
2017-10-02,30,mfp
2017-10-04,30,mfp
2017-10-09,30,mfp
2017-10-11,30,mfp
2017-10-16,30,mfp
2017-10-18,30,mfp
2017-10-25,30,mfp
2017-10-30,30,mfp
2017-11-06,30,mfp
2017-11-08,30,mfp
2017-11-15,30,mfp
2017-11-22,30,mfp
2017-12-04,30,mfp
2017-12-06,30,mfp
2017-12-13,30,mfp
2017-12-18,30,mfp
2017-12-20,30,mfp
2018-01-03,30,mfp
2018-01-08,30,pdf
2018-01-10,30,pdf
2018-01-13,30,pdf
2018-01-15,30,pdf
2018-01-19,30,pdf
2018-01-22,30,pdf
2018-01-24,30,pdf
2018-01-27,30,pdf
2018-01-29,30,pdf
2018-01-31,30,pdf
2018-02-02,30,pdf
2018-02-05,30,pdf
2018-02-07,30,pdf
2018-02-09,30,pdf
2018-02-12,30,pdf
2018-02-14,30,pdf
2018-02-16,30,pdf
2018-02-19,30,pdf
2018-02-21,30,pdf
2018-02-23,30,pdf
2018-02-26,30,pdf
2018-02-28,30,pdf
2018-03-02,30,pdf
2018-03-05,30,pdf
2018-03-07,30,pdf
2018-03-09,30,pdf
2018-03-12,30,pdf
2018-03-15,30,pdf
2018-03-19,30,pdf
2018-03-21,30,pdf
2018-03-23,30,pdf
2018-03-26,30,pdf
2018-03-28,30,pdf
2018-03-30,30,pdf
2018-04-02,30,pdf
2018-04-04,30,pdf
2018-04-06,30,pdf
2018-04-09,30,pdf
2018-04-27,30,pdf
2018-04-30,30,pdf
2018-05-02,30,pdf
2018-05-07,30,pdf
2018-05-09,30,pdf
2018-05-11,30,pdf
2018-05-14,30,pdf
2018-05-21,30,pdf
2018-05-30,30,pdf
2018-06-13,30,pdf
2018-06-18,30,pdf
2018-06-25,30,pdf
2019-02-13,30,pdf
2019-02-15,30,pdf
2019-02-18,30,pdf
2019-02-20,30,pdf
2019-02-22,30,pdf
2019-02-25,30,pdf
2019-02-27,30,pdf
2019-03-01,30,pdf
2019-03-04,30,pdf
2019-03-06,30,pdf
2019-03-08,30,pdf
2019-03-11,30,pdf
2019-03-13,30,pdf
2019-03-18,30,pdf
2019-03-20,30,pdf
2019-03-22,30,pdf
2019-03-25,30,pdf
2019-03-27,30,pdf
2019-03-29,30,pdf
2019-04-01,30,pdf
2019-04-03,30,pdf
2019-04-05,30,mfp
2019-04-08,30,pdf
2019-04-10,30,pdf
2019-04-12,30,pdf
2019-04-17,30,pdf
2019-04-20,30,pdf
2019-04-22,30,pdf
2019-04-25,30,pdf
2019-04-29,30,pdf
2019-05-01,30,pdf
2019-05-03,30,pdf
2019-05-06,30,pdf
2019-05-08,30,pdf
2019-05-10,30,pdf
2019-05-13,30,pdf
2019-05-17,30,pdf
2019-05-20,30,pdf
2019-05-24,30,pdf
2019-05-29,30,pdf
2019-07-08,30,pdf
2019-07-10,30,pdf
2019-07-15,30,pdf
2019-07-22,30,pdf
2019-07-24,30,pdf
2019-07-26,30,pdf
2019-07-29,30,pdf
2019-08-02,30,pdf
2019-08-05,30,pdf
2019-08-07,30,pdf
2019-08-12,30,pdf
2019-08-14,30,pdf
2019-08-16,30,pdf
2019-08-19,30,pdf
2019-09-06,30,pdf
2019-09-09,30,pdf
2019-09-11,30,pdf
2019-09-13,30,pdf
2019-09-16,30,pdf
2019-09-18,30,pdf
2019-09-23,30,pdf
2019-09-25,30,pdf
2019-09-27,30,pdf
2019-10-04,30,pdf
2019-10-14,30,pdf
2019-10-25,30,pdf
2019-10-30,30,pdf
2019-11-04,30,pdf
2019-11-11,30,pdf
2019-11-13,30,pdf
2019-11-15,30,pdf
2019-11-18,30,pdf
2019-11-20,30,mfp
2020-01-06,30,pdf
2020-01-08,30,pdf
2021-07-01,30,pdf
2021-07-03,30,pdf
2021-07-05,30,pdf
2021-07-06,30,pdf
2021-07-09,30,pdf
2021-07-11,30,pdf
2021-07-16,30,pdf
2021-07-20,30,pdf
2021-07-22,30,pdf
2021-07-23,30,pdf
2021-07-26,30,pdf
2021-07-27,30,pdf
2021-07-31,30,pdf
2021-08-02,30,pdf
2021-08-04,30,pdf
2021-08-10,30,pdf
2021-08-11,30,pdf
2021-08-12,30,pdf
2021-08-17,30,pdf
2021-08-24,30,pdf
2021-08-31,30,mfp
2021-09-07,30,pdf
2021-09-10,30,pdf
2021-09-13,30,pdf
2021-09-15,30,pdf
2021-09-20,30,pdf
2021-09-22,30,pdf
2021-09-27,30,pdf
2021-10-04,30,pdf
2021-10-07,30,pdf
2022-01-01,30,pdf
2022-01-02,30,pdf
2022-01-05,30,pdf
2022-01-07,30,pdf
2022-01-10,30,pdf
2022-01-12,30,pdf
2022-01-14,30,pdf
2022-01-17,30,pdf
2022-01-19,30,pdf
2022-01-21,30,pdf
2022-01-24,30,pdf
2022-01-26,30,pdf
2022-01-29,30,pdf
2022-01-31,30,pdf
2022-02-02,30,pdf
2022-02-04,30,pdf
2022-02-07,30,pdf
2022-02-10,30,pdf
2022-02-11,30,pdf
2022-02-14,30,pdf
2022-02-18,30,pdf
2022-02-21,30,pdf
2022-02-25,30,pdf
2022-02-28,30,pdf
2022-03-08,30,pdf
2022-03-10,30,pdf
2022-03-12,30,pdf
2022-03-15,30,pdf
2022-03-29,30,pdf
2024-06-06,30,pdf
2024-06-11,30,pdf
2024-06-13,30,pdf
2024-06-20,30,pdf
2024-06-25,30,pdf
2024-06-27,30,pdf
2024-07-02,30,pdf
2024-07-06,30,pdf
2024-07-09,30,pdf
2024-07-16,30,pdf
2024-07-19,30,pdf
2024-07-23,30,pdf
2024-07-26,30,pdf
2024-07-30,30,pdf
2024-08-01,30,pdf
2024-08-06,30,pdf
2024-08-08,30,pdf
2024-08-13,30,pdf
2024-08-15,30,pdf
2024-08-20,30,pdf
2024-08-27,30,pdf
2024-08-29,30,pdf
2024-09-03,30,pdf
2024-09-06,30,pdf
2024-09-11,30,pdf
2024-09-17,30,pdf
2024-09-19,30,pdf
2024-09-24,30,pdf
2024-09-26,30,pdf
2024-10-10,30,pdf
2024-10-15,30,pdf
2024-10-18,30,pdf
2024-10-23,30,pdf
2024-10-29,30,pdf
2024-11-01,30,pdf
2024-11-05,30,pdf
2024-11-07,30,pdf
2024-11-12,30,pdf
2024-11-14,30,pdf
2024-11-19,30,pdf
2024-11-23,30,pdf
2024-12-03,30,pdf
2024-12-06,30,pdf
2024-12-10,30,pdf
2024-12-14,30,pdf
2024-12-24,30,pdf
2024-12-27,30,pdf
2024-12-30,30,pdf
2025-01-02,30,pdf
2025-01-14,30,pdf
2025-01-16,30,pdf
2025-01-21,30,pdf
2025-01-24,30,pdf
2025-01-28,30,pdf
2025-02-04,30,pdf
2025-02-11,30,pdf
2025-02-18,30,pdf
2025-02-20,30,pdf
2025-02-25,30,pdf
2025-03-04,30,pdf
2025-03-06,30,pdf
2025-03-11,30,pdf
2025-03-13,30,pdf
2025-04-15,30,pdf
2025-04-17,30,pdf
2025-04-22,30,pdf
2025-04-29,30,pdf
2025-05-02,30,pdf
2025-05-07,30,pdf
2025-05-13,30,pdf
2025-05-16,30,pdf
2025-05-21,30,pdf
2025-05-29,30,pdf
2025-06-05,30,pdf
2025-06-10,30,pdf
2025-06-12,30,pdf
2025-06-17,30,pdf
2025-06-20,30,pdf
2025-06-24,30,pdf
2025-06-26,30,pdf
2025-07-01,30,pdf
2025-07-08,30,pdf
2025-07-10,30,pdf
2025-07-22,30,pdf
2025-07-24,30,pdf
2025-07-29,30,pdf
2025-08-01,30,pdf
2025-08-05,30,pdf
2025-08-07,30,pdf
2025-08-14,30,pdf
2025-08-19,30,pdf
2025-08-26,30,pdf
2025-08-28,30,pdf
2025-09-02,30,pdf
2025-09-09,30,pdf
2025-09-11,30,pdf
2025-09-16,30,pdf
2025-09-18,30,pdf
2025-09-25,30,pdf
2025-09-30,30,pdf
2025-10-07,30,pdf
2025-10-16,30,pdf
2025-10-23,30,pdf
